@relation SyntheticData-N_1200-D_16-Nmin_100-Zmin_4-CL_1_3-R_0
@attribute X0 real [-8.05, 6.40]
@attribute X1 real [-7.59, 8.26]
@attribute X2 real [-7.47, 7.95]
@attribute X3 real [-8.40, 7.45]
@attribute X4 real [-7.51, 8.27]
@attribute X5 real [-6.84, 8.06]
@attribute X6 real [-9.02, 7.68]
@attribute X7 real [-8.02, 6.54]
@attribute X8 real [-6.83, 7.10]
@attribute X9 real [-7.89, 8.42]
@attribute X10 real [-7.26, 10.17]
@attribute X11 real [-9.17, 8.00]
@attribute X12 real [-10.12, 7.08]
@attribute X13 real [-7.37, 8.65]
@attribute X14 real [-7.69, 8.15]
@attribute X15 real [-9.85, 8.15]
@attribute cluster_idx {0,1,2,3}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,cluster_idx,is_noise
@output Class
@data
1.47,2.13,-4.03,-2.66,0.28,4.76,3.54,-0.32,-2.03,-0.48,0.31,-1.66,1.01,4.2,-4.99,1.12,0,0,1
-2.91,0.9,-1.23,0.57,5.01,1.13,0.24,2.09,-3.18,-0.65,0.13,-1.2,1.65,-1.21,-4.32,-1.7,0,0,1
3.14,-1.74,-2.63,4.05,0.91,-1.28,1.48,0.24,-0.77,-0.77,-1.35,-1.14,3.21,-0.07,0.61,1.2,0,0,1
2.85,-0.03,1.8,2.0,-0.56,-0.72,3.94,-1.47,3.24,1.61,-0.68,-1.7,-0.06,0.44,2.88,4.43,0,0,1
-1.04,-0.26,2.05,-1.39,0.96,1.03,1.04,2.74,2.77,3.65,-0.55,0.87,1.03,2.6,1.91,0.74,0,0,1
0.24,0.45,-1.22,-2.03,3.07,1.62,-0.6,2.92,1.52,-0.78,0.35,-2.16,1.15,3.44,-2.14,-0.1,0,0,1
-4.26,-1.28,3.2,0.21,1.75,-3.1,-1.08,2.37,1.19,0.81,-0.48,0.38,0.17,-3.49,1.61,-2.75,0,0,1
-1.59,-1.37,3.06,1.8,-0.11,-3.35,-0.92,1.6,1.47,3.2,1.89,1.96,0.79,-1.27,2.06,-0.45,0,0,1
2.91,-0.14,-3.31,0.48,-0.33,1.42,-0.83,-0.4,0.04,1.04,1.29,0.33,1.6,0.53,-0.54,0.05,0,0,1
0.28,-2.41,-1.01,-0.77,-2.12,1.1,3.15,-2.53,2.88,1.39,-0.1,-0.14,0.97,1.85,0.64,1.96,0,0,1
-0.63,-3.76,1.97,5.38,2.52,-5.77,-1.75,1.36,-1.64,0.74,-4.08,1.29,-2.25,-4.01,8.15,0.42,0,0,1
0.12,-0.68,-1.94,3.09,-1.28,-1.51,2.71,-1.75,-0.57,2.38,0.33,2.94,3.42,1.69,0.22,2.71,0,0,1
-1.27,0.18,-5.12,-1.93,0.05,2.69,1.52,-1.75,-2.22,-2.22,-1.05,-1.61,1.62,5.66,-2.04,1.18,0,0,1
0.86,2.42,0.58,-0.56,-0.29,-0.72,1.16,0.1,0.57,-0.25,3.12,-4.17,-2.53,-1.73,0.16,-0.76,0,0,1
0.59,-1.4,-1.22,-2.81,-0.4,1.36,-1.05,-0.4,-1.15,-0.11,-5.01,2.11,-3.25,1.02,2.64,-1.32,0,0,1
1.19,2.26,-1.44,3.28,-0.23,-1.19,3.46,-0.39,-3.51,2.94,4.19,-1.7,2.11,-0.33,-0.95,2.47,0,0,1
2.99,1.09,-2.62,2.74,-1.99,-1.07,-1.1,-1.76,-2.37,-1.34,0.66,0.66,0.29,-0.28,-0.08,-0.8,0,0,1
3.55,1.2,-0.09,2.99,-0.14,-3.41,-1.73,-3.41,2.37,1.03,0.83,1.0,1.47,0.02,2.16,3.88,0,0,1
-3.44,-0.75,-0.04,-4.32,-0.05,3.0,-0.71,-1.1,-0.45,-0.89,-4.08,0.92,1.16,0.97,-0.74,-1.23,0,0,1
1.61,-2.35,0.21,-4.43,1.29,4.96,3.3,1.89,2.15,1.85,-0.59,-1.25,1.38,1.77,-5.84,-0.77,0,0,1
-0.55,1.0,0.87,-2.11,-0.3,1.5,-3.1,2.35,-1.14,1.33,1.74,2.29,0.36,1.38,-2.38,-2.3,0,0,1
1.53,0.54,-0.03,2.97,3.33,1.28,-2.3,4.76,-0.04,1.52,4.24,0.09,0.3,-0.74,-1.66,-1.88,0,0,1
0.36,-3.45,-0.09,2.68,0.2,-0.98,1.17,2.06,0.4,2.52,0.63,-1.48,-1.14,-0.56,5.28,0.02,0,0,1
-0.26,2.82,0.89,-1.14,1.41,-1.97,-2.69,-3.92,-2.64,-4.66,-5.01,-0.72,-0.47,-2.22,-0.98,1.02,0,0,1
-0.33,0.29,-2.18,-4.62,-3.57,2.11,1.46,-5.57,4.39,-0.3,0.53,-0.14,-2.03,0.92,-0.78,-1.06,0,0,1
-2.35,1.04,1.09,-1.11,2.38,0.12,0.99,-0.88,2.84,-1.55,-1.36,-0.49,-1.56,2.64,0.64,3.45,0,0,1
