@relation SyntheticData-N_1200-D_16-Nmin_140-Zmin_0-CL_3_2-R_0
@attribute X0 real [-9.56, 7.89]
@attribute X1 real [-8.27, 8.88]
@attribute X2 real [-6.93, 7.08]
@attribute X3 real [-8.44, 8.65]
@attribute X4 real [-9.10, 8.74]
@attribute X5 real [-8.06, 8.28]
@attribute X6 real [-8.23, 8.80]
@attribute X7 real [-6.67, 6.56]
@attribute X8 real [-9.87, 7.91]
@attribute X9 real [-7.99, 7.88]
@attribute X10 real [-10.04, 8.10]
@attribute X11 real [-7.77, 6.89]
@attribute X12 real [-7.37, 9.32]
@attribute X13 real [-8.38, 7.92]
@attribute X14 real [-6.52, 6.71]
@attribute X15 real [-7.14, 7.71]
@attribute cluster_idx {0,1,2,3,4}
@attribute is_noise {0}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,cluster_idx,is_noise
@output Class
@data
0.23,-1.65,-0.41,-1.81,1.14,1.14,-0.25,0.65,0.36,-1.78,-0.19,0.28,-1.95,-0.74,1.57,-2.16,0,0,1
-0.96,1.93,-0.65,1.23,-3.04,-0.56,-2.07,-0.68,0.97,-0.68,1.39,-0.01,1.63,-4.32,2.17,1.38,0,0,1
-0.96,0.86,-0.91,-1.87,-2.1,-0.26,1.07,-1.6,-1.61,-0.03,2.82,-0.61,0.97,-0.05,-1.34,1.18,0,0,1
-0.83,-4.92,-0.43,-0.07,1.69,0.73,-4.3,2.4,-2.05,0.1,2.53,-0.17,0.91,4.45,1.77,0.58,0,0,1
2.57,0.55,1.62,1.27,2.97,-1.97,-2.39,1.95,-0.03,0.73,-0.79,1.17,-2.26,0.88,2.4,-3.11,0,0,1
-1.11,-1.19,-4.35,-1.83,3.82,0.03,0.58,-0.34,-1.51,-2.45,3.97,1.31,-2.51,2.25,0.15,-1.21,0,0,1
-2.69,2.43,-0.24,2.2,-1.0,-1.44,-2.34,-1.55,-4.76,0.21,1.93,-1.93,4.5,0.93,-3.8,1.84,0,0,1
-3.15,4.41,-4.91,3.46,1.15,-0.98,1.36,-1.89,-3.3,0.79,0.71,-1.06,0.15,-3.54,-0.96,-4.22,0,0,1
1.7,-3.92,2.46,-1.03,-0.41,1.98,-4.92,2.61,0.53,0.72,0.62,0.74,-1.69,1.39,4.01,-1.46,0,0,1
-2.69,4.63,-1.94,1.31,1.3,-1.09,-2.54,1.86,-2.29,3.24,2.24,-1.21,-1.92,-0.2,1.32,1.88,0,0,1
1.91,1.6,-1.67,2.84,1.62,-1.12,-2.41,0.54,-2.11,0.01,-0.35,-0.36,-0.96,-3.22,1.91,-3.21,0,0,1
0.58,0.39,5.8,-1.46,0.64,-3.8,-0.42,0.06,0.73,-1.31,-0.29,0.74,4.61,1.82,-2.25,0.37,0,0,1
-2.19,-1.24,2.73,-1.95,-1.23,4.09,1.24,1.35,3.41,0.89,-1.2,1.54,0.09,-0.39,-1.47,2.93,0,0,1
3.46,-0.73,-1.41,1.37,0.49,-0.91,-3.91,2.55,-1.76,0.2,3.16,-1.09,-1.71,-0.82,4.84,-0.44,0,0,1
0.25,-4.14,0.4,-0.37,1.4,0.95,1.18,1.97,1.38,-1.9,-1.71,-0.04,-0.66,0.84,-0.73,2.98,0,0,1
0.4,3.85,-1.89,2.78,1.27,-3.6,0.18,-0.66,-1.37,-1.98,1.7,-1.94,-0.49,0.67,-0.92,2.25,0,0,1
-1.86,0.64,-1.96,-2.24,-4.36,4.81,0.97,0.11,-0.41,3.88,1.72,0.39,-2.41,-3.33,0.35,3.32,0,0,1
