@relation SyntheticData-N_1200-D_16-Nmin_60-Zmin_16-CL_3_2-R_0
@attribute X0 real [-9.44, 6.25]
@attribute X1 real [-7.06, 6.74]
@attribute X2 real [-8.80, 8.43]
@attribute X3 real [-8.39, 7.39]
@attribute X4 real [-9.83, 7.78]
@attribute X5 real [-7.61, 7.35]
@attribute X6 real [-8.37, 7.90]
@attribute X7 real [-8.43, 11.21]
@attribute X8 real [-7.53, 7.29]
@attribute X9 real [-8.34, 6.17]
@attribute X10 real [-6.14, 6.38]
@attribute X11 real [-8.17, 7.40]
@attribute X12 real [-8.64, 10.52]
@attribute X13 real [-7.44, 7.98]
@attribute X14 real [-9.83, 6.67]
@attribute X15 real [-6.86, 7.75]
@attribute cluster_idx {0,1,2,3,4}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,cluster_idx,is_noise
@output Class
@data
3.22,-5.52,-2.42,-0.5,-0.34,3.81,1.89,-3.55,2.57,0.64,-1.79,1.39,-0.29,1.76,1.62,-1.22,0,0,1
-1.4,-1.19,-2.08,3.1,-0.15,1.14,2.09,0.86,6.47,1.89,-2.48,0.69,-0.54,-0.81,1.88,-1.63,0,0,1
-1.93,-1.64,-0.48,0.5,-1.52,4.23,4.83,-1.4,3.32,0.4,-0.06,1.39,0.78,-0.67,0.34,1.23,0,0,1
2.37,-1.46,1.1,3.0,3.8,0.55,4.54,-1.22,-0.61,0.04,-0.52,2.68,3.65,-2.49,-3.04,-2.18,0,0,1
-2.12,1.81,0.72,0.91,2.95,-2.5,2.74,2.69,-0.21,-0.66,-1.24,-1.49,2.18,1.7,-1.23,-2.46,0,0,1
-2.08,2.78,0.57,1.06,-0.78,-4.42,0.22,2.91,-2.15,2.53,-0.09,-4.36,1.01,0.46,0.36,2.36,0,0,1
-1.52,1.47,3.12,-0.17,-0.56,-4.16,1.01,0.44,4.08,5.32,-1.39,-1.58,1.45,0.44,4.6,-2.19,0,0,1
-1.24,3.77,-3.44,3.12,-0.85,-0.41,-2.0,4.27,1.41,-1.99,-0.82,-0.12,0.48,-2.44,-3.59,1.0,0,0,1
-5.7,-3.1,-2.25,-3.48,-4.84,3.04,0.25,-1.4,4.06,2.61,-4.22,-0.65,-3.84,5.26,0.7,-0.42,0,0,1
-1.83,5.72,-1.41,-1.24,-2.78,-1.24,-1.94,5.62,-0.01,-1.67,-1.38,-3.6,-2.39,-0.09,1.14,0.27,0,0,1
4.02,0.65,-3.47,3.91,-2.31,1.84,-1.53,-0.22,2.53,-1.33,-1.94,3.35,-1.3,-1.2,1.5,1.27,0,0,1
1.04,5.15,2.89,1.16,-0.02,-3.38,1.26,2.15,-0.45,-0.85,2.21,-2.66,4.04,-0.17,0.26,-1.84,0,0,1
0.83,0.27,-3.47,2.43,3.05,3.33,-0.68,-0.62,2.28,-0.86,-0.78,0.12,-1.12,-3.56,0.09,1.07,0,0,1
0.84,-0.63,2.22,3.79,2.34,-0.1,2.37,-0.51,2.92,-0.49,0.99,3.24,4.8,-1.93,-1.13,-2.32,0,0,1
-3.07,3.02,-2.12,1.85,-4.28,-1.24,-4.28,4.02,-1.62,-0.12,-2.49,-2.32,-3.2,1.72,-0.11,2.36,0,0,1
2.91,-2.36,-2.53,-2.28,0.57,1.5,1.78,-3.34,-0.8,-1.82,-1.66,-0.31,1.09,4.16,0.31,-0.77,0,0,1
5.02,3.05,-1.24,5.65,1.8,-6.62,-2.83,0.5,-4.38,3.94,1.04,-1.4,0.73,-3.68,-1.93,5.37,0,0,1
2.63,-1.93,0.67,-1.3,2.21,-4.0,0.04,-1.68,-6.82,1.28,-1.77,-1.6,-0.27,4.58,-2.75,-0.1,0,0,1
0.21,5.89,6.99,-0.17,4.13,-7.61,1.5,2.94,-4.31,1.45,2.77,-4.75,6.84,-0.73,-1.95,-3.73,0,1,0
1.02,2.03,1.19,0.23,0.11,-1.65,-1.76,2.49,-1.15,2.3,-2.25,-2.75,0.04,-1.54,0.64,-1.08,0,0,1
0.08,-3.74,5.38,-1.09,1.32,1.05,0.61,-5.1,-0.49,2.8,0.94,-3.05,-1.02,-2.47,-1.25,3.55,1,0,1
1.22,-1.16,-1.45,-0.05,0.62,2.67,-1.62,-2.46,-0.7,-1.94,-0.57,0.81,-0.83,1.21,1.51,-1.27,1,0,1
0.89,0.36,-0.25,-0.33,-2.89,0.63,-1.12,2.96,-0.95,0.89,-2.03,0.45,-1.61,-2.49,-0.11,0.86,1,0,1
1.12,-1.19,-0.32,-1.41,-1.2,1.99,-1.6,-0.02,-1.35,2.46,-2.19,-0.05,1.03,0.88,5.52,-1.05,1,0,1
-2.26,-0.88,-0.93,1.42,1.05,-0.51,0.22,-3.51,0.66,1.19,-0.55,-0.99,-0.34,0.53,3.16,1.53,1,0,1
0.37,1.43,1.75,-0.28,1.55,-1.69,-0.53,0.17,-0.3,-0.62,1.5,-0.73,1.69,1.33,-0.29,-0.62,1,0,1
2.08,-1.13,4.23,0.47,-4.75,0.99,-4.84,-2.62,-3.01,-0.49,0.53,0.56,1.21,-0.29,1.12,1.09,1,0,1
0.93,-2.36,-1.8,-2.04,2.78,-1.54,2.6,0.53,-1.03,-0.48,0.55,-1.23,1.96,1.25,-1.27,-0.14,1,0,1
