@relation SyntheticData-N_1200-D_4-Nmin_100-Zmin_0-CL_2_2-R_0
@attribute X0 real [-3.10, 2.99]
@attribute X1 real [-4.11, 4.63]
@attribute X2 real [-6.04, 5.64]
@attribute X3 real [-3.87, 4.35]
@attribute cluster_idx {0,1,2,3}
@attribute is_noise {0}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,cluster_idx,is_noise
@output Class
@data
0.44,-1.17,0.23,-0.53,0,0,1
-0.1,1.38,-0.29,-0.39,0,0,1
2.8,-1.4,-2.2,-1.53,0,0,1
-1.53,0.15,0.88,-0.1,0,0,1
0.36,-1.44,-1.01,-1.26,0,0,1
0.66,-0.25,-0.51,-0.74,0,0,1
-0.76,-1.73,0.62,-0.37,0,0,1
-0.83,0.44,-0.4,-0.4,0,0,1
0.62,1.16,0.41,0.17,0,0,1
0.57,-2.39,-1.05,-1.39,0,0,1
0.95,-0.27,-0.59,-0.57,0,0,1
-0.96,-0.1,0.64,-0.02,0,0,1
-1.03,-2.19,-0.26,-1.17,0,0,1
0.63,0.55,-0.53,-0.42,0,0,1
0.64,-2.38,-0.87,-1.08,0,0,1
-1.2,0.57,-1.22,-1.17,0,0,1
-0.24,1.36,0.37,0.3,0,0,1
0.24,1.9,-0.07,0.04,0,0,1
0.23,-0.71,-0.08,-0.4,0,0,1
-0.2,-0.69,0.44,-0.28,0,0,1
-0.35,1.09,-1.01,-0.69,0,0,1
-0.01,0.98,0.77,0.18,0,0,1
-0.3,1.3,0.79,0.42,0,0,1
0.31,2.87,0.05,0.24,0,0,1
-2.04,0.66,2.3,0.85,0,0,1
-0.26,-0.5,-0.82,-1.01,0,0,1
0.55,-0.68,-0.06,-0.46,0,0,1
-0.5,-0.15,0.57,-0.01,0,0,1
0.96,-1.7,-1.68,-1.69,0,0,1
-0.08,0.74,-1.02,-0.83,0,0,1
-0.6,-0.85,0.49,-0.47,0,0,1
-0.12,2.29,0.38,0.47,0,0,1
-2.09,1.0,2.43,0.74,0,0,1
-0.06,0.01,1.01,0.28,0,0,1
0.13,0.01,0.57,-0.04,0,0,1
-2.49,1.68,1.11,0.27,0,0,1
0.44,1.13,0.91,0.57,0,0,1
1.57,-1.4,-1.84,-1.39,0,0,1
-0.86,-0.26,0.51,-0.29,0,0,1
-1.51,1.24,-0.56,-0.75,0,0,1
-0.23,-0.08,-0.25,-0.44,0,0,1
0.99,-1.32,0.2,-0.37,0,0,1
-0.98,-1.14,1.22,-0.16,0,0,1
-1.8,-0.34,0.4,-0.64,0,0,1
-0.82,1.4,1.37,0.47,0,0,1
-0.64,1.84,-0.22,-0.37,0,0,1
-1.3,-0.3,1.21,0.15,0,0,1
-0.9,2.4,0.82,0.43,0,0,1
0.86,1.39,-1.35,-0.83,0,0,1
-0.96,0.69,-0.55,-0.82,0,0,1
0.02,-1.17,0.07,-1.17,1,0,1
-0.4,0.21,-0.72,-0.24,1,0,1
-1.75,-2.99,-1.23,-2.73,1,0,1
-0.68,-2.54,-0.45,-2.25,1,0,1
-0.58,0.21,-2.45,-0.03,1,0,1
-0.16,-2.05,0.37,-1.88,1,0,1
0.38,0.56,-1.04,0.27,1,0,1
-0.49,-0.14,-1.96,-0.28,1,0,1
0.81,0.85,0.32,0.35,1,0,1
