@relation SyntheticData-N_1200-D_4-Nmin_140-Zmin_8-CL_2_2-R_0
@attribute X0 real [-4.03, 4.20]
@attribute X1 real [-3.78, 3.78]
@attribute X2 real [-4.26, 3.05]
@attribute X3 real [-3.18, 3.30]
@attribute cluster_idx {0,1,2,3}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,cluster_idx,is_noise
@output Class
@data
-0.86,0.79,0.8,-1.56,0,0,1
-1.34,-0.49,1.27,0.57,0,0,1
-0.15,-0.56,0.11,0.26,0,0,1
0.57,-0.34,0.81,-0.44,0,0,1
0.76,0.34,-0.11,-1.6,0,0,1
-0.94,-3.14,1.89,2.63,0,0,1
-0.52,-0.64,-0.52,1.03,0,0,1
-0.79,-0.83,0.81,0.48,0,0,1
0.59,-0.38,0.53,0.02,0,0,1
1.06,-1.52,0.37,-0.5,0,0,1
0.82,-1.26,-0.14,2.06,0,0,1
-1.5,0.15,0.42,0.6,0,0,1
-0.51,-1.06,0.8,1.22,0,0,1
-0.54,0.76,-0.94,-0.21,0,0,1
1.91,-0.98,0.23,-1.19,0,0,1
0.07,-1.03,0.48,0.5,0,0,1
0.7,0.54,-1.28,-0.98,0,0,1
0.22,-0.81,0.27,-0.77,0,0,1
-0.99,0.74,0.47,-1.27,0,0,1
1.98,-1.32,-0.06,-0.4,0,0,1
-1.31,0.84,0.36,0.2,0,0,1
0.69,0.94,-0.2,-1.26,0,0,1
0.55,-0.22,-0.29,0.35,0,0,1
-0.86,-0.77,0.35,1.23,0,0,1
2.01,0.49,-1.78,-2.06,0,0,1
0.57,-0.94,0.94,0.64,0,0,1
-0.15,-0.91,0.37,1.39,0,0,1
-2.6,0.44,1.2,-0.08,0,0,1
-2.01,-0.39,1.45,2.11,0,0,1
0.38,0.01,-0.43,-0.82,0,0,1
1.66,0.82,-0.73,-2.41,0,0,1
1.51,2.06,-0.72,-3.18,0,0,1
-1.04,0.78,0.53,0.03,0,0,1
0.98,-0.16,-0.91,-0.67,0,0,1
0.2,0.98,-0.25,-1.59,0,0,1
-1.01,0.2,0.34,0.81,0,0,1
-3.65,0.0,1.83,2.74,0,0,1
-0.24,1.79,-0.71,-2.27,0,0,1
2.6,-1.51,-0.29,-0.53,0,0,1
1.67,0.25,0.06,-2.59,0,0,1
0.86,0.15,-0.79,-0.83,0,0,1
-0.68,0.8,-0.38,-0.87,0,0,1
1.71,0.27,-1.1,-0.56,0,0,1
-2.27,1.67,-0.36,-0.85,0,0,1
-0.5,0.67,-0.21,0.81,0,0,1
-0.44,-0.95,-0.03,0.2,0,0,1
-0.92,0.08,0.03,-0.57,0,0,1
-0.27,-0.27,0.6,-0.66,0,0,1
-1.96,0.53,0.86,-0.22,0,0,1
-1.47,0.78,0.61,0.82,0,0,1
1.37,-0.4,0.48,-1.06,0,0,1
1.38,-0.6,-0.19,-1.68,0,0,1
-0.99,0.69,0.67,-0.77,0,0,1
0.11,1.22,0.02,-1.41,0,0,1
-0.24,0.33,0.77,0.26,0,0,1
0.26,-0.55,0.9,-0.6,0,0,1
-1.28,0.14,0.16,0.93,0,0,1
0.26,-0.1,-0.14,0.5,0,0,1
-0.47,-1.96,0.69,1.64,0,0,1
1.21,1.62,-0.81,-1.96,0,0,1
0.42,0.52,-0.44,-0.83,0,0,1
-1.31,-0.36,0.51,0.85,0,0,1
-1.03,-0.14,-0.18,1.23,0,0,1
0.74,-0.71,-0.01,-0.77,0,0,1
0.02,-0.58,0.21,0.61,0,0,1
-2.59,-1.02,1.88,3.12,0,0,1
0.36,-0.71,0.68,0.25,0,1,0
-0.79,1.44,-1.0,0.03,0,0,1
-0.27,-0.97,0.44,-0.15,0,0,1
0.14,0.2,0.01,-0.91,0,0,1
0.24,-0.41,1.84,-1.99,1,0,1
1.42,-0.13,1.04,-0.2,1,0,1
3.24,0.32,0.17,0.26,1,0,1
0.07,-0.24,-1.41,1.02,1,0,1
-0.04,2.39,-4.26,1.97,1,0,1
0.34,0.6,-0.44,-0.19,1,0,1
-0.59,-1.09,1.93,-0.14,1,0,1
0.44,1.46,-0.35,-0.61,1,0,1
0.33,-0.98,1.72,-0.81,1,0,1
1.24,1.33,-1.06,-0.48,1,0,1
1.26,0.58,0.28,-0.24,1,0,1
-0.43,-0.37,0.71,0.11,1,0,1
-2.3,-0.64,-0.83,0.85,1,0,1
0.66,0.79,-0.98,0.52,1,0,1
0.37,0.37,-0.58,0.76,1,0,1
0.86,0.28,-1.44,1.24,1,0,1
-0.05,-0.99,-0.52,0.67,1,0,1
0.25,-0.11,-0.75,0.12,1,0,1
-1.33,0.49,-0.82,0.41,1,0,1
0.4,0.77,-1.78,0.34,1,0,1
-0.51,-1.2,2.06,-1.71,1,0,1
