@relation SyntheticData-N_1200-D_4-Nmin_60-Zmin_4-CL_3_2-R_0
@attribute X0 real [-3.29, 4.12]
@attribute X1 real [-5.20, 4.75]
@attribute X2 real [-5.35, 5.21]
@attribute X3 real [-4.54, 4.97]
@attribute cluster_idx {0,1,2,3,4}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,cluster_idx,is_noise
@output Class
@data
0.92,-1.57,0.72,-0.29,0,0,1
0.46,-1.31,1.05,-0.67,0,0,1
0.7,-0.03,1.68,-0.63,0,0,1
1.39,1.45,-1.63,-1.0,0,0,1
1.07,0.57,0.81,1.21,0,0,1
0.2,-1.18,0.16,-0.52,0,0,1
-0.68,-0.83,0.36,-0.27,0,0,1
-0.13,1.09,0.68,0.29,0,0,1
0.17,-0.71,-1.07,-0.4,0,0,1
-0.9,-0.13,2.23,0.27,0,0,1
-0.69,0.62,0.26,-0.05,0,0,1
0.24,-1.03,0.19,0.3,0,0,1
0.31,-0.95,1.74,-2.54,0,0,1
0.63,-0.94,0.14,-0.26,0,0,1
-0.08,-1.42,-0.66,0.5,0,0,1
-0.55,-0.11,-0.22,-0.47,0,0,1
-1.62,0.64,0.97,1.06,0,0,1
0.01,-1.35,0.35,0.22,0,0,1
-0.31,1.41,0.41,-0.81,0,0,1
-0.05,1.19,0.32,-0.77,0,0,1
2.5,-1.09,-0.52,-1.37,1,0,1
-2.66,1.73,-0.82,-0.26,1,0,1
0.45,-0.54,-0.12,-0.06,1,0,1
1.96,-2.01,3.15,2.51,1,0,1
2.07,-1.67,0.21,0.27,1,0,1
2.18,-0.57,0.44,0.42,1,0,1
-1.69,0.94,0.17,-0.19,1,0,1
-0.92,0.71,-1.75,-0.69,1,0,1
-0.98,0.57,-0.7,-2.33,1,0,1
0.21,0.44,0.11,-1.22,1,0,1
-1.5,1.94,0.18,-0.67,1,0,1
4.12,-0.82,-0.8,-1.43,1,0,1
0.63,-0.16,-0.37,-0.83,1,0,1
-2.34,1.72,0.2,0.75,1,0,1
0.47,0.02,0.11,-0.87,1,0,1
-1.09,0.6,0.04,-0.87,1,0,1
0.81,0.26,0.22,-0.24,1,0,1
-0.21,0.43,0.32,0.42,1,0,1
-3.05,0.92,-0.06,1.09,1,0,1
1.57,-0.83,0.37,-0.32,1,0,1
-1.6,-0.4,2.01,-1.35,2,0,1
