@relation SyntheticData-N_1200-D_8-Nmin_100-Zmin_0-CL_1_2-R_0
@attribute X0 real [-5.64, 4.48]
@attribute X1 real [-5.27, 4.95]
@attribute X2 real [-4.02, 5.15]
@attribute X3 real [-5.48, 5.98]
@attribute X4 real [-5.60, 6.07]
@attribute X5 real [-6.66, 6.61]
@attribute X6 real [-5.65, 5.50]
@attribute X7 real [-4.83, 5.74]
@attribute cluster_idx {0,1,2}
@attribute is_noise {0}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,cluster_idx,is_noise
@output Class
@data
2.26,-0.77,-0.41,1.29,-1.64,-0.3,-0.39,1.33,0,0,1
2.16,0.62,1.11,3.59,0.98,0.79,-0.3,1.34,0,0,1
-2.35,2.31,-0.72,-0.65,1.11,0.95,1.54,1.77,0,0,1
0.87,-0.85,-2.02,1.31,-2.02,-3.01,-0.53,2.06,0,0,1
3.83,-2.47,1.85,-1.07,-1.18,-0.63,-0.08,-2.24,0,0,1
-1.48,0.23,1.27,0.35,1.41,1.91,0.18,-2.29,0,0,1
3.76,1.07,2.3,-0.71,-1.52,-2.43,-3.51,-1.66,0,0,1
0.17,-0.74,3.26,1.58,1.42,0.84,-1.37,-1.96,0,0,1
-3.26,2.14,-1.65,-0.98,-0.29,-1.21,-0.31,1.53,0,0,1
1.41,2.8,1.91,-0.5,1.54,2.69,1.13,0.93,0,0,1
-0.78,2.75,0.68,-0.8,-2.22,0.37,-3.34,-0.35,0,0,1
1.81,-2.07,1.12,-1.6,-0.61,1.05,0.78,-2.74,0,0,1
-1.7,0.85,-0.42,-0.73,2.65,0.27,1.2,1.7,0,0,1
1.42,-2.48,0.51,-1.66,-1.12,-1.49,1.18,-1.18,0,0,1
-1.79,-1.1,-0.64,-0.31,1.11,-1.34,0.08,-1.52,0,0,1
-0.8,0.95,-0.19,1.47,0.35,0.15,0.18,2.63,0,0,1
-2.29,0.52,1.97,-4.61,3.29,2.7,2.51,0.08,0,0,1
1.52,1.79,0.36,2.26,-1.66,0.1,-2.75,0.17,0,0,1
1.72,0.52,-1.02,2.5,-1.37,-1.26,-1.12,0.75,0,0,1
-0.37,0.99,-0.71,0.25,-2.55,-1.2,-3.14,1.41,0,0,1
-0.88,-1.34,2.09,0.41,2.22,2.53,0.39,-3.16,0,0,1
3.26,0.56,0.5,0.31,-1.85,-1.44,-2.22,-1.5,0,0,1
1.96,2.65,1.24,1.07,-3.99,-2.04,-5.63,0.32,0,0,1
1.02,-1.81,0.04,-1.84,-0.77,-1.82,0.81,0.83,0,0,1
0.98,0.45,2.43,0.31,-1.51,-0.49,-3.62,-1.74,0,0,1
-3.62,1.02,0.69,-1.21,2.49,-0.4,-0.28,-0.97,0,0,1
1.0,0.96,1.5,1.22,0.71,2.68,-0.45,-0.58,0,0,1
1.39,1.93,-0.87,3.42,-2.55,0.0,-2.82,1.53,0,0,1
-1.86,0.98,0.3,0.09,2.3,-0.32,0.63,0.78,0,0,1
-1.29,2.26,2.72,-2.73,2.47,1.63,0.13,0.21,0,0,1
