@relation SyntheticData-N_1200-D_8-Nmin_100-Zmin_0-CL_3_1-R_0
@attribute X0 real [-3.46, 3.74]
@attribute X1 real [-5.45, 5.30]
@attribute X2 real [-4.48, 5.10]
@attribute X3 real [-3.69, 4.00]
@attribute X4 real [-4.61, 5.46]
@attribute X5 real [-5.89, 5.35]
@attribute X6 real [-5.52, 4.26]
@attribute X7 real [-6.43, 5.07]
@attribute cluster_idx {0,1,2,3}
@attribute is_noise {0}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,cluster_idx,is_noise
@output Class
@data
1.5,1.54,-1.26,0.62,1.17,-2.43,0.12,0.32,0,0,1
0.2,-0.63,-3.25,-0.84,2.17,2.27,1.76,1.03,0,0,1
-1.54,1.83,1.26,1.73,0.09,2.93,-3.2,-1.9,0,0,1
0.32,-1.89,-0.21,-1.27,-0.76,1.91,-0.76,1.08,0,0,1
-1.56,2.23,2.51,-0.11,-0.31,2.36,-5.52,-0.93,0,0,1
0.4,2.61,0.68,1.32,1.16,-2.74,-3.09,-1.07,0,0,1
-0.02,-2.48,1.7,-0.85,-3.07,1.61,-4.66,0.39,0,0,1
-0.06,-2.0,0.58,0.78,-1.45,2.61,-1.09,-1.94,0,0,1
-0.03,0.56,-0.63,-0.79,2.65,-2.0,1.84,-0.71,0,0,1
0.14,-2.72,1.37,-2.22,-0.9,1.02,-0.91,-0.2,0,0,1
-0.36,-0.04,0.4,-2.57,0.68,-0.62,-0.94,1.96,0,0,1
-2.13,-2.18,2.04,-1.81,-1.25,2.98,-1.45,-0.53,0,0,1
2.38,0.38,-3.09,-0.16,1.6,-2.11,0.42,2.27,0,0,1
-0.08,-1.18,-0.52,0.43,-1.04,-0.53,4.16,-1.81,0,0,1
0.84,-0.36,-0.44,-0.39,0.98,-1.36,-0.37,0.26,0,0,1
0.95,-2.77,-2.65,-0.32,0.29,0.56,1.9,0.17,0,0,1
1.8,1.37,-1.1,1.41,-2.33,-2.51,-1.43,-0.13,0,0,1
0.76,1.16,1.55,-2.38,-0.28,-2.35,-3.96,2.93,0,0,1
-0.67,1.32,-0.97,1.84,0.61,-0.48,0.28,-2.08,0,0,1
0.39,-2.31,-0.16,-0.8,0.35,1.53,-0.75,0.39,0,0,1
0.59,1.55,-0.47,0.36,0.36,-3.13,0.36,1.02,0,0,1
0.25,2.62,0.22,0.39,1.99,-2.47,-1.24,0.54,0,0,1
-0.08,0.61,-1.58,0.41,0.92,2.45,-0.86,0.3,0,0,1
0.34,2.33,-0.96,2.32,1.65,0.42,-2.83,-1.99,0,0,1
-0.14,-0.61,-0.55,-0.12,-0.25,-1.4,2.53,-1.14,0,0,1
-2.0,0.06,1.34,0.19,-0.52,1.11,-1.32,-2.03,0,0,1
-0.11,1.98,-1.24,2.33,1.39,-0.17,-0.1,-2.07,0,0,1
0.27,0.55,-2.71,-2.07,3.03,-0.88,1.78,2.8,0,0,1
