@relation SyntheticData-N_1200-D_8-Nmin_100-Zmin_8-CL_2_3-R_0
@attribute X0 real [-7.55, 6.48]
@attribute X1 real [-5.35, 4.75]
@attribute X2 real [-5.62, 6.76]
@attribute X3 real [-4.95, 7.19]
@attribute X4 real [-5.32, 4.45]
@attribute X5 real [-5.59, 5.77]
@attribute X6 real [-5.91, 5.35]
@attribute X7 real [-5.00, 6.70]
@attribute cluster_idx {0,1,2,3,4}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,cluster_idx,is_noise
@output Class
@data
2.49,-1.25,0.4,-0.01,-1.46,0.54,-1.08,-0.64,0,0,1
1.02,1.44,-1.47,0.64,0.4,-0.86,1.14,0.45,0,0,1
-0.5,0.62,-0.33,-2.62,-1.87,0.2,-0.4,-1.34,0,0,1
-0.28,-3.64,-3.71,1.52,-0.61,2.85,0.96,-1.78,0,0,1
-1.78,1.67,-0.84,0.2,0.19,0.3,1.49,0.67,0,0,1
-1.89,-0.41,-1.07,0.38,0.18,0.24,-1.46,0.76,0,0,1
3.42,1.68,-1.04,-2.12,-5.2,2.08,0.45,-3.09,0,0,1
2.44,-2.85,-0.32,-1.61,-3.32,-1.18,-3.94,-0.23,0,0,1
-0.47,0.26,-0.59,-0.77,-0.28,0.39,0.98,-0.57,0,0,1
-3.5,-0.02,2.13,-0.69,0.8,0.28,-0.73,1.53,0,0,1
2.79,2.1,0.69,3.55,1.44,0.46,0.76,1.54,0,0,1
0.94,2.2,2.34,-1.56,-1.13,-0.09,1.35,-0.07,0,0,1
0.57,-1.27,-0.13,0.56,-0.87,0.04,-0.95,0.71,0,0,1
-2.44,0.14,-0.77,-0.71,-1.47,1.5,-1.0,-0.16,0,0,1
-0.93,-2.47,-3.27,0.41,1.78,1.19,0.56,-1.86,0,0,1
1.12,-2.11,1.12,2.35,2.01,-0.95,-3.35,2.15,0,0,1
0.87,0.04,1.59,-1.55,-0.26,-1.53,-2.0,0.43,0,0,1
-0.63,-1.63,1.29,-1.94,-1.93,-0.07,-3.68,0.09,0,0,1
0.08,-2.48,-0.18,1.52,-0.89,0.86,-0.77,1.08,0,0,1
0.47,-0.61,-0.42,-1.11,-3.16,1.99,-0.5,-1.48,0,0,1
-1.62,1.47,2.82,-2.34,1.55,0.47,0.39,-0.87,0,0,1
-2.46,-0.62,-0.29,1.22,3.37,-1.11,-0.97,1.95,0,0,1
-1.77,-1.92,0.88,-2.65,-1.93,0.35,-2.45,-0.5,0,0,1
-0.26,-0.21,3.69,-2.56,1.24,-1.16,-0.81,-0.0,0,0,1
0.98,-0.83,-1.24,-1.42,-1.03,-0.59,0.41,-1.02,0,0,1
-1.87,1.4,-1.26,-1.11,0.75,-0.59,3.11,-0.06,0,0,1
0.66,1.66,-0.18,3.03,3.78,-0.07,3.05,1.25,0,0,1
-1.46,0.76,-0.13,-1.51,1.2,-2.21,0.65,0.92,0,0,1
-1.68,0.27,-3.34,1.66,-1.04,1.52,0.92,0.4,0,0,1
0.77,3.56,0.61,-1.71,-0.5,-0.33,2.7,-0.73,0,0,1
0.52,1.26,3.31,-2.36,0.96,-0.07,1.87,-0.97,0,0,1
0.88,-0.95,-1.84,1.29,2.09,-2.35,-1.9,1.36,0,0,1
2.14,0.51,3.37,-3.83,-1.03,0.19,-0.75,-2.49,0,0,1
4.1,1.15,-1.12,4.36,0.19,0.63,0.03,1.21,0,0,1
2.1,2.07,1.87,-0.55,2.72,-2.78,0.97,0.82,0,0,1
1.98,-0.54,3.8,-1.25,1.8,-1.59,-1.83,0.31,0,0,1
-1.46,-0.01,-4.72,-1.8,-1.53,-1.87,1.21,-0.29,0,0,1
1.77,0.33,-0.77,3.17,1.1,-0.34,0.87,1.81,0,0,1
1.1,-0.61,-2.45,-1.61,-2.08,-0.43,0.49,-1.36,0,0,1
-2.09,-0.39,0.02,1.87,-0.83,2.22,-0.85,1.37,0,0,1
0.18,-0.81,0.93,-1.03,-1.51,0.78,-2.82,-0.41,0,0,1
-1.33,-1.07,-1.33,1.1,0.86,1.15,-0.59,0.11,0,0,1
0.85,-0.2,0.52,0.67,0.54,1.19,0.55,-0.47,0,0,1
2.3,-0.13,0.75,0.2,-2.82,0.76,-4.54,0.15,0,0,1
-0.03,-0.34,-1.65,-0.81,0.58,0.07,2.05,-1.26,0,0,1
0.7,0.72,-0.38,2.45,2.45,-2.35,-0.01,2.94,0,0,1
2.6,1.44,-0.37,-0.52,-1.02,-1.18,1.22,-0.06,0,0,1
2.34,-0.09,1.71,0.24,-1.65,0.93,-2.0,-0.07,0,0,1
-4.1,0.99,-2.18,0.74,0.79,-0.91,0.78,2.37,0,0,1
-0.34,2.4,1.18,0.25,0.37,0.71,0.79,0.46,0,0,1
-0.35,-1.65,2.05,0.53,-0.69,0.79,0.04,-0.24,1,0,1
0.87,0.78,2.09,-4.35,-2.02,2.28,-1.54,0.81,1,0,1
-1.19,0.98,-0.39,-0.18,-1.63,0.79,-0.3,-1.0,1,0,1
-0.38,0.07,2.73,-1.09,-2.99,3.74,0.08,-2.31,1,0,1
-3.83,-0.03,1.66,1.27,-1.0,3.01,-1.91,-1.27,1,0,1
1.61,-0.59,0.55,-0.44,0.09,0.61,0.95,-0.38,1,0,1
-0.05,2.69,0.21,-3.13,-1.55,1.21,-1.46,-1.37,1,0,1
-2.55,-0.21,-3.81,5.1,3.28,-3.22,0.03,0.45,1,0,1
-0.29,0.07,0.38,0.08,-1.44,1.21,-1.43,-0.5,1,0,1
0.32,-0.08,2.01,-0.88,-1.25,0.53,1.24,-1.37,1,0,1
1.35,0.32,-0.16,-2.27,0.25,-0.27,-2.62,1.76,1,0,1
-0.13,2.64,1.48,-3.36,-0.84,1.71,0.9,-1.79,1,0,1
0.05,1.81,0.35,-2.51,-0.05,2.1,-0.83,-1.07,1,0,1
3.71,-4.04,5.54,-2.44,-2.06,2.35,-1.94,1.26,1,0,1
1.98,-2.76,2.4,-0.34,-2.7,1.75,-0.17,0.46,1,0,1
1.04,0.85,-0.37,-1.91,-0.33,1.03,-1.78,-0.23,1,0,1
0.05,2.39,-3.27,0.39,0.24,-1.5,-1.69,-0.45,1,0,1
0.72,0.27,-1.01,1.87,0.4,-0.96,1.73,-1.4,1,0,1
2.39,0.73,-0.21,-2.42,1.42,-1.85,-0.1,1.91,1,0,1
-1.4,-2.66,1.65,2.77,-1.6,1.12,0.09,-0.07,1,0,1
-2.07,0.76,1.67,-0.73,1.17,-0.02,0.64,-0.31,1,0,1
-1.76,-0.37,-0.09,1.01,2.84,-0.75,0.03,0.75,1,0,1
3.1,0.97,-0.88,-1.27,-0.9,-0.89,0.29,-0.42,1,0,1
0.79,-1.57,-1.14,1.82,-0.4,-1.16,0.56,1.63,1,0,1
-2.3,-1.52,2.64,0.26,-2.13,3.36,-2.66,-0.22,1,0,1
1.56,2.41,-3.72,-0.39,0.61,-2.09,1.38,-0.66,1,0,1
-0.99,0.87,1.82,-1.85,-2.7,2.32,-0.03,-1.44,1,0,1
-0.42,-2.92,1.02,2.71,0.63,1.94,-3.24,1.02,1,1,0
1.99,-1.1,-0.03,0.4,0.25,-1.03,-1.32,0.84,1,0,1
2.29,-2.95,1.29,0.53,2.04,-1.71,-0.84,2.24,1,0,1
1.82,2.45,-1.04,-1.89,-0.76,-0.17,0.65,-1.31,1,0,1
0.9,-1.09,2.3,-1.4,-0.31,0.29,-0.26,1.02,1,0,1
1.15,-1.0,-0.22,0.78,1.51,-1.27,0.36,1.22,1,0,1
2.06,-1.65,2.55,-0.65,-0.41,-0.19,0.55,0.37,1,0,1
4.21,-2.25,4.56,-3.55,-0.73,1.35,-0.83,0.64,1,0,1
0.37,2.64,-1.51,-2.85,-0.37,-1.31,0.71,0.39,1,0,1
-3.33,0.93,-1.53,2.46,0.91,-0.34,3.35,-1.28,1,0,1
-3.25,1.71,-0.91,1.8,2.51,-0.03,1.55,-2.12,1,0,1
-2.32,-3.1,2.7,2.29,0.24,4.0,-3.29,-0.4,1,0,1
-2.67,0.62,-0.3,2.6,1.94,-0.36,0.75,-1.84,1,0,1
1.34,-0.05,-0.11,-0.51,1.54,-1.81,-0.28,0.87,1,0,1
3.06,0.29,-0.63,-2.08,-0.15,-1.04,-2.77,1.03,1,0,1
-3.01,2.82,-2.04,1.17,0.43,0.8,0.68,-1.81,1,0,1
0.26,-0.55,1.02,-0.69,0.35,0.68,1.53,-0.23,1,0,1
-0.08,-2.83,2.14,-0.56,2.14,-1.39,-0.35,3.06,1,0,1
1.42,-1.27,4.51,-3.45,-3.92,2.18,0.65,-0.3,1,0,1
-1.47,0.29,-1.52,2.98,2.26,-0.02,-0.07,-0.88,1,0,1
3.32,1.43,-0.64,-4.77,0.1,-0.86,-1.98,1.58,1,0,1
-2.94,0.7,-0.86,2.16,2.52,0.61,-0.84,-1.17,1,0,1
-0.52,1.67,0.65,-1.69,1.52,1.31,-1.88,-0.4,1,0,1
-0.1,0.4,0.42,0.21,-0.77,-1.4,-1.19,-1.06,2,0,0
-1.05,-1.65,-0.27,1.42,3.93,-0.25,-0.84,1.77,2,0,0
1.89,-0.22,0.37,-0.78,0.06,-1.84,-2.03,-0.71,2,0,0
1.92,-2.55,1.13,-1.14,1.34,-1.24,-0.54,-1.72,2,0,0
3.53,0.13,0.44,1.27,1.55,1.68,-0.75,1.41,2,0,0
3.16,0.33,-1.06,-0.44,-1.15,0.45,-1.1,1.13,2,0,0
0.28,-1.04,1.58,0.5,0.29,-2.7,-0.4,-1.52,2,0,0
-0.91,-0.27,1.65,0.22,-1.57,-1.2,0.52,-1.36,2,0,0
1.17,1.09,2.43,1.56,-1.01,-0.59,-0.35,-1.98,2,0,0
1.87,2.42,0.49,-0.01,-1.59,-0.35,0.2,1.35,2,0,0
0.82,0.69,-4.06,-2.68,-0.06,0.34,-3.9,3.88,2,0,0
2.59,-0.06,-1.22,0.48,1.05,1.24,-1.49,1.96,2,0,0
1.83,-0.37,1.99,-1.39,-1.75,1.34,0.23,-1.53,2,0,0
0.34,-0.15,0.96,0.25,0.53,-0.93,-0.59,0.04,2,0,0
0.91,-1.98,0.11,-0.04,1.45,-4.84,-1.88,-1.68,2,0,0
-1.53,-2.33,3.03,-1.15,2.39,-0.04,0.85,-1.56,2,0,0
-1.24,-0.32,-0.2,-0.41,1.4,-2.01,-1.68,0.34,2,1,1
0.42,-0.76,2.88,0.5,0.42,-2.98,0.5,-2.29,2,0,0
-1.05,0.13,-0.12,-0.37,0.27,-1.01,-1.31,0.18,2,0,0
0.11,2.16,-0.04,3.27,-2.07,-0.44,0.03,0.47,2,0,0
0.25,2.28,-0.2,-0.79,-1.95,-0.44,-0.98,0.84,2,0,0
0.61,0.54,2.08,-1.42,-0.7,-1.62,0.06,-1.35,2,0,0
1.14,-0.0,2.11,-0.02,-1.16,0.65,0.41,-1.84,2,0,0
0.07,0.15,-0.56,-4.14,0.01,1.44,-0.53,2.8,2,0,0
2.25,2.64,0.54,-3.47,-3.78,1.82,-1.33,-0.21,2,0,0
0.73,0.25,1.21,-4.13,-0.5,-1.22,-1.23,0.15,2,0,0
2.47,1.7,-0.08,-2.7,-2.23,3.19,-1.17,1.58,2,0,0
-2.15,1.14,-0.18,-1.96,-2.27,-0.12,-1.63,-0.43,2,0,0
-2.68,0.85,0.08,2.1,0.34,1.11,-1.01,0.61,2,0,0
0.18,-1.42,3.75,0.29,0.7,-1.13,0.37,-3.73,2,0,0
3.06,0.0,-1.44,-2.39,0.04,4.45,-2.19,2.42,2,0,0
-0.62,0.87,4.36,-1.18,-2.48,3.23,3.43,-1.58,2,0,0
2.21,2.09,1.07,-0.22,-1.75,0.42,0.02,0.77,2,0,0
0.12,-1.42,3.67,3.33,2.52,-2.42,1.26,-2.39,2,0,0
-1.45,0.12,-2.64,-0.96,1.26,-0.69,-2.92,2.03,2,0,0
-0.1,-0.72,1.99,-3.54,-1.52,-0.07,0.03,-1.69,2,0,0
0.04,1.87,0.42,-1.67,-1.73,5.01,0.55,2.06,2,0,0
-1.11,-1.86,-0.71,-1.43,2.47,0.27,-1.29,1.37,2,0,0
-1.02,0.08,-1.21,2.33,1.26,2.58,0.52,3.22,2,0,0
-1.63,-0.08,1.79,-1.5,-0.29,0.64,-0.18,-0.79,2,0,0
0.28,1.21,0.16,-0.86,-1.83,1.63,0.04,1.21,2,0,0
-0.01,-0.39,-0.22,-2.7,-0.91,0.19,-1.47,-0.42,2,0,0
-3.71,1.18,0.16,0.94,-1.11,0.1,-0.04,0.64,2,0,0
-0.99,0.7,0.35,0.65,-0.66,1.99,-0.48,0.2,2,0,0
1.27,1.6,1.03,-0.05,-0.54,-0.6,-0.12,1.11,2,0,0
2.07,1.46,-0.21,-0.98,-2.72,0.84,-0.59,0.7,2,0,0
-1.78,0.48,-1.37,-1.72,0.29,4.27,-2.3,1.97,2,0,0
0.02,2.07,1.97,-0.03,-1.34,-1.18,0.68,-0.11,2,0,0
1.32,-1.32,2.38,-0.37,1.15,0.31,0.42,-1.54,2,0,0
-2.15,-1.13,1.25,-0.93,1.82,-1.05,-1.06,-0.68,2,0,0
0.72,-2.91,4.4,1.25,2.32,0.42,3.29,-1.94,2,0,0
0.0,3.93,-1.44,0.07,-1.84,1.13,-1.19,3.55,2,0,0
2.11,0.36,-1.54,-1.08,-0.46,1.18,-1.53,2.22,2,0,0
-0.94,-0.57,1.95,0.19,1.37,-1.57,0.96,-0.01,2,0,0
-1.82,0.74,1.08,2.43,1.04,-1.83,0.07,0.5,2,0,0
2.25,-1.53,1.52,0.68,0.79,0.27,0.06,-1.13,2,0,0
-3.94,-1.47,-0.88,-0.73,3.89,-1.84,-1.07,2.3,2,0,0
2.89,1.09,1.46,-1.12,-1.66,-1.16,-0.23,-0.21,2,0,0
2.54,1.76,1.26,-1.01,-2.4,2.05,1.38,1.07,2,0,0
1.68,2.44,2.86,0.9,-3.16,0.87,0.95,-1.94,2,0,0
1.25,-0.67,0.98,2.74,0.19,-4.21,0.85,-0.93,2,0,0
-1.42,-0.28,-1.46,-3.66,0.87,1.39,-2.52,2.22,2,0,0
-0.61,-0.64,-1.78,-2.06,1.83,0.46,-2.33,2.63,2,0,0
-1.26,1.06,0.79,3.16,1.63,0.13,-0.1,0.46,2,0,0
2.18,2.16,0.32,1.19,-2.99,-0.34,0.47,0.93,2,0,0
-1.21,1.22,1.48,1.67,-0.21,0.8,0.78,0.31,2,0,0
1.67,1.75,0.15,-1.09,-2.06,-0.24,-0.44,1.19,2,0,0
2.91,1.68,1.04,0.82,-2.3,0.46,-0.25,-0.66,2,0,0
3.38,-0.4,1.69,-0.76,-2.54,0.09,0.47,-2.15,2,0,0
0.83,1.54,1.62,-0.29,-2.05,-0.79,-0.48,-1.09,2,0,0
-0.81,0.07,-2.49,-1.03,-0.61,-0.28,-2.2,1.42,2,0,0
2.64,3.0,0.17,0.41,-2.67,2.08,-0.19,1.89,2,0,0
-1.37,-0.28,2.87,-0.35,0.62,-0.97,1.04,-1.33,2,0,0
-1.54,-0.1,-0.57,-4.37,-2.29,1.57,-2.44,-1.38,2,0,0
0.03,-2.34,0.31,0.87,1.65,-4.39,-1.26,-1.9,2,0,0
2.66,2.05,-0.68,-2.65,-2.6,2.17,-1.88,1.43,2,0,0
0.88,-0.31,3.17,0.54,-2.5,-2.91,0.06,-5.0,2,0,0
0.73,1.98,1.69,-1.51,-2.7,1.43,1.82,1.45,2,0,0
-0.43,-1.97,-1.33,-3.17,2.97,-0.68,-3.52,1.08,2,0,0
-0.51,-3.48,1.23,0.15,3.81,0.05,-0.19,-0.29,2,0,0
0.66,-2.2,2.64,0.52,1.5,-0.58,1.38,-1.67,2,0,0
-0.9,0.39,-1.06,-0.42,0.34,-1.11,-2.5,0.61,2,0,0
-0.07,0.32,1.85,-1.22,1.16,0.09,0.17,0.3,2,0,0
-0.13,-0.08,0.53,-0.12,-0.34,0.72,-0.47,-0.16,2,0,0
0.72,1.74,1.22,-0.61,-0.15,1.48,0.13,1.39,2,0,0
-4.2,0.83,0.43,-1.93,0.05,0.09,-1.13,0.44,2,0,0
0.77,0.13,1.0,-0.38,0.9,2.88,-0.41,0.93,2,0,0
0.24,1.2,2.04,1.7,-2.39,-1.12,1.36,-2.03,2,0,0
