@relation SyntheticData-N_1200-D_8-Nmin_60-Zmin_0-CL_1_1-R_0
@attribute X0 real [-5.16, 4.95]
@attribute X1 real [-6.18, 7.42]
@attribute X2 real [-4.75, 5.79]
@attribute X3 real [-4.62, 5.00]
@attribute X4 real [-6.56, 6.43]
@attribute X5 real [-4.35, 4.66]
@attribute X6 real [-4.30, 4.97]
@attribute X7 real [-5.60, 5.51]
@attribute cluster_idx {0,1}
@attribute is_noise {0}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,cluster_idx,is_noise
@output Class
@data
-0.99,1.1,-0.56,-1.54,0.76,2.44,-0.46,-0.87,0,0,1
-0.25,0.25,0.32,-0.84,1.02,0.88,-0.08,-0.12,0,0,1
-2.76,1.47,-2.48,-0.61,-3.49,-1.16,-1.13,-1.27,0,0,1
-1.93,0.13,-2.06,-2.9,-0.19,1.16,-0.24,-1.05,0,0,1
-1.83,0.83,-1.89,1.93,-1.56,0.86,-0.83,0.38,0,0,1
-4.44,1.82,-0.87,-2.47,1.25,1.24,1.13,0.12,0,0,1
-2.77,1.6,-0.12,0.23,-0.75,1.69,-0.42,0.25,0,0,1
-1.13,-1.31,-1.24,-0.99,0.79,-1.71,1.56,-0.43,0,0,1
0.8,-0.12,0.31,-1.93,0.74,0.58,0.38,-2.99,0,0,1
1.48,-1.46,0.31,1.27,0.97,0.2,1.06,-0.7,0,0,1
0.04,1.66,-0.28,-0.34,1.43,0.54,0.17,1.48,0,0,1
-0.1,1.14,-2.06,0.08,-2.1,0.37,-1.57,-1.01,0,0,1
0.22,0.48,-3.14,-1.62,-0.05,-0.18,-0.56,-0.53,0,0,1
-1.55,1.33,-0.38,-0.44,0.09,1.92,0.37,-1.46,0,0,1
-2.2,1.38,2.1,1.82,-1.09,1.41,-0.19,-1.74,0,0,1
-2.07,1.98,1.75,1.82,-1.75,0.01,-0.79,-0.37,0,0,1
-0.84,1.31,0.13,2.1,-1.63,1.02,-1.79,0.59,0,0,1
-1.88,1.49,1.33,-0.22,0.32,0.36,-0.06,-0.77,0,0,1
0.24,0.18,2.78,2.76,0.79,0.51,0.91,-0.17,0,0,1
4.79,-2.2,0.16,5.0,0.63,-1.62,1.22,2.26,0,0,1
-1.18,0.44,0.9,-1.24,0.13,0.92,-0.11,-3.08,0,0,1
-1.38,0.99,-0.13,-0.99,0.21,0.65,-0.09,-0.92,0,0,1
0.83,-0.44,0.69,1.27,-0.54,2.02,0.49,-2.96,0,0,1
3.2,-1.44,1.57,-0.05,4.07,1.16,2.67,-1.5,0,0,1
-3.02,0.57,-1.16,-2.54,1.87,1.85,1.85,-1.4,0,0,1
0.06,0.52,1.24,2.58,-1.18,-0.15,-0.86,0.17,0,0,1
-4.17,3.01,-1.54,1.16,-0.97,2.28,0.97,-0.18,0,0,1
-4.79,2.74,0.73,0.05,0.05,1.19,-0.14,1.31,0,0,1
1.1,-1.06,-2.02,0.17,1.36,2.64,1.08,-1.05,0,0,1
1.15,-1.5,-1.47,-0.64,-3.22,-3.07,-1.39,-4.13,0,0,1
-2.27,0.57,-1.97,0.43,-1.39,0.8,-0.12,0.21,0,0,1
-4.62,1.29,-1.84,-0.73,-2.46,-1.38,-0.52,-0.97,0,0,1
-0.12,-0.72,3.67,-0.16,3.08,1.93,1.72,-2.39,0,0,1
0.19,1.91,0.96,2.05,0.25,4.38,-1.34,1.13,0,0,1
0.37,0.2,1.27,0.69,0.43,0.51,-0.25,-0.97,0,0,1
