@relation SyntheticData-N_1200-D_8-Nmin_60-Zmin_16-CL_2_2-R_0
@attribute X0 real [-5.98, 5.32]
@attribute X1 real [-6.88, 6.04]
@attribute X2 real [-5.04, 4.31]
@attribute X3 real [-7.09, 5.79]
@attribute X4 real [-5.79, 5.29]
@attribute X5 real [-4.78, 4.72]
@attribute X6 real [-4.66, 4.84]
@attribute X7 real [-4.74, 5.32]
@attribute cluster_idx {0,1,2,3}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,cluster_idx,is_noise
@output Class
@data
0.5,-2.17,-0.01,1.46,-1.1,-0.18,-0.3,0.77,0,0,1
0.07,-0.41,3.49,-0.57,-0.88,-2.58,-0.39,-4.74,0,0,1
3.96,-2.99,-1.86,1.43,-3.29,2.58,-0.3,5.32,0,0,1
-2.07,-3.71,0.09,2.43,1.1,0.11,2.46,3.06,0,0,1
0.65,-1.59,0.08,0.63,-1.07,1.88,2.0,2.25,0,0,1
-1.52,2.18,0.39,-2.31,2.56,-1.39,2.97,0.64,0,0,1
0.05,-0.72,-0.48,-1.15,1.05,3.21,-0.86,1.95,0,0,1
-1.51,0.23,0.99,-0.6,-0.07,-0.1,0.64,-1.77,0,0,1
2.41,-0.03,0.28,-0.06,-2.06,0.2,2.46,2.05,0,0,1
-1.13,1.9,1.54,-1.96,2.67,0.15,-0.22,-2.79,0,0,1
-1.48,0.97,-0.15,-0.0,2.17,-1.5,0.94,-0.62,0,0,1
-1.32,-2.74,-0.28,0.34,1.23,3.55,0.62,3.25,0,1,0
0.66,-0.01,0.08,0.18,-0.89,-0.58,0.84,-0.43,0,0,1
-1.23,1.08,-1.42,0.52,0.09,-1.49,1.48,0.38,0,0,1
0.77,1.63,0.25,-0.41,1.07,0.03,0.21,-1.41,0,0,1
-2.47,3.19,0.85,-0.97,4.24,-4.78,2.89,-1.71,0,0,1
-1.7,0.23,0.93,-0.91,0.07,-1.91,-0.8,-3.1,0,0,1
1.4,-3.03,0.28,0.03,-3.29,4.3,-2.7,-0.0,0,0,1
-1.68,3.03,1.93,-3.61,5.29,-3.04,-1.2,-4.21,0,0,1
2.51,-1.32,-0.41,2.23,-0.71,-0.58,0.29,1.14,0,0,1
2.91,-2.96,-0.44,2.62,-3.9,3.12,-0.21,1.1,0,0,1
-1.84,-0.93,0.01,-1.58,3.65,-1.16,-1.0,0.25,0,0,1
