@relation SyntheticData-N_600-D_16-Nmin_100-Zmin_16-CL_1_1-R_0
@attribute X0 real [-13.09, 7.09]
@attribute X1 real [-5.73, 6.33]
@attribute X2 real [-6.84, 7.15]
@attribute X3 real [-6.52, 7.17]
@attribute X4 real [-6.08, 5.05]
@attribute X5 real [-6.61, 7.90]
@attribute X6 real [-7.69, 6.49]
@attribute X7 real [-8.51, 8.04]
@attribute X8 real [-6.42, 7.70]
@attribute X9 real [-6.23, 7.43]
@attribute X10 real [-6.07, 6.39]
@attribute X11 real [-8.11, 7.08]
@attribute X12 real [-5.90, 5.64]
@attribute X13 real [-6.15, 7.84]
@attribute X14 real [-8.94, 11.68]
@attribute X15 real [-7.86, 5.95]
@attribute cluster_idx {0,1}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,cluster_idx,is_noise
@output Class
@data
0.83,4.95,-0.98,-1.62,0.98,-1.32,-0.3,1.62,-0.49,-1.98,0.93,1.09,0.07,0.92,2.54,-0.14,0,0,1
0.28,2.89,0.22,1.06,3.76,-1.28,-0.75,3.33,-1.21,-1.16,-2.81,-1.54,2.73,5.63,-2.6,-0.31,0,0,1
-1.15,-1.43,2.93,-3.86,-2.57,-2.21,-0.25,2.94,1.4,4.54,-1.66,-2.78,-2.01,-2.26,2.35,0.28,0,0,1
-2.46,3.88,1.11,3.36,2.78,-1.58,-1.33,2.53,0.48,2.44,-2.1,-1.9,1.93,0.76,-3.22,1.57,0,0,1
-3.06,1.29,5.39,-3.82,-2.25,1.01,-4.49,-0.09,5.87,1.19,0.33,0.66,1.4,-4.31,5.67,4.13,0,0,1
-3.67,-1.31,3.07,-3.23,-3.11,-5.43,-2.84,-0.16,2.1,-0.73,-5.72,-2.61,-1.59,1.89,-0.9,-2.87,0,0,1
0.15,-0.36,-4.18,1.27,-1.59,-2.85,-2.16,0.36,-1.65,3.34,4.04,-0.98,-0.08,-2.7,-3.87,1.61,0,0,1
-3.02,3.52,0.35,-3.87,-2.61,-3.47,-4.62,4.78,0.47,-0.76,-1.47,-4.2,0.01,-0.19,-0.65,2.33,0,0,1
-0.0,2.67,-2.16,1.36,1.52,1.0,4.15,-0.48,0.45,-1.89,-0.43,1.72,1.06,-0.13,3.53,2.99,0,0,1
-2.51,0.91,-1.4,0.85,0.21,-5.42,-2.01,0.33,-3.9,0.92,0.06,-2.14,-2.08,-0.08,-0.92,-4.82,0,0,1
3.35,0.37,-1.06,0.46,3.38,-0.93,-1.76,1.44,-2.14,-1.46,-2.32,-1.69,-0.46,-0.71,5.36,-0.12,0,0,1
-0.53,3.7,-2.71,1.56,1.78,-1.32,0.26,-0.24,-4.67,-3.08,1.88,0.99,3.33,1.57,8.13,-1.22,0,0,1
-2.46,0.25,1.12,-0.94,-5.08,-1.69,-3.56,-0.15,0.08,-1.93,0.5,0.5,4.0,2.41,0.13,-1.11,0,0,1
-0.22,-1.59,3.18,-1.15,-0.71,-1.81,2.29,-2.55,0.28,1.0,-1.61,1.82,-1.73,0.11,2.22,-4.08,0,0,1
-3.12,-1.15,-4.59,-5.66,-2.78,-1.46,-1.13,0.6,-4.49,-0.74,1.29,-4.92,-2.35,0.67,0.32,0.97,0,0,1
4.13,-1.14,-3.22,1.12,4.2,0.86,-2.02,-2.01,-1.52,-1.34,1.19,1.38,-3.07,-2.44,3.73,-1.61,0,0,1
-0.27,-0.16,-1.77,0.87,1.64,0.85,-1.61,1.98,-2.79,1.07,0.72,-1.99,1.05,2.6,-2.17,-0.57,0,0,1
-4.17,1.96,-0.14,-2.56,-0.66,-1.23,-3.05,0.48,-3.36,0.87,2.66,-1.79,1.97,0.13,5.92,-0.38,0,0,1
3.25,2.95,0.99,2.57,3.45,5.23,6.39,-2.3,-0.06,1.56,3.96,5.97,3.51,-0.3,5.54,2.36,0,0,1
-1.81,1.38,-1.95,-4.82,0.06,0.1,-0.4,3.03,-2.05,-1.33,-1.99,-4.18,-2.4,2.94,-2.04,-1.39,0,0,1
-3.77,2.96,3.44,0.01,-0.02,-3.71,-0.45,-0.25,3.39,-0.21,-3.56,1.1,1.52,2.36,2.05,-0.39,0,0,1
-2.66,0.25,-0.02,3.8,-2.19,-4.43,-1.11,-0.57,0.29,-0.6,-2.63,-0.01,2.24,5.08,-5.27,-1.9,0,0,1
4.38,0.3,1.49,0.74,4.11,0.18,-0.09,1.56,2.55,2.71,-2.42,0.59,-1.78,-0.96,-1.43,-0.4,0,0,1
-0.81,1.07,0.02,1.97,0.42,0.33,1.29,-2.97,3.89,-3.74,-2.21,4.07,1.23,2.42,1.1,-0.65,0,0,1
-0.11,0.9,-1.3,0.48,-1.31,-1.16,-2.79,-1.79,-0.36,-2.42,2.28,2.54,0.88,1.46,-0.56,-1.58,0,0,1
-0.33,-1.98,-1.49,1.62,-1.86,-0.74,1.71,0.34,0.72,3.41,-1.66,-1.81,-1.93,-3.0,-3.56,0.27,0,0,1
