@relation SyntheticData-N_600-D_16-Nmin_100-Zmin_16-CL_3_3-R_0
@attribute X0 real [-6.10, 8.28]
@attribute X1 real [-10.16, 7.81]
@attribute X2 real [-9.67, 6.59]
@attribute X3 real [-6.97, 6.94]
@attribute X4 real [-7.25, 7.18]
@attribute X5 real [-8.33, 6.91]
@attribute X6 real [-8.53, 7.54]
@attribute X7 real [-8.61, 5.99]
@attribute X8 real [-6.83, 6.48]
@attribute X9 real [-7.12, 7.34]
@attribute X10 real [-7.34, 6.37]
@attribute X11 real [-7.57, 6.37]
@attribute X12 real [-7.14, 6.58]
@attribute X13 real [-7.82, 7.79]
@attribute X14 real [-7.12, 6.37]
@attribute X15 real [-8.16, 7.76]
@attribute cluster_idx {0,1,2,3,4,5}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,cluster_idx,is_noise
@output Class
@data
-3.24,-0.9,-3.34,-0.5,-2.45,-2.12,0.12,2.0,-3.77,0.38,-0.37,2.96,1.17,2.8,1.4,-2.45,0,0,1
3.87,1.94,1.16,-2.09,-0.68,-0.84,-1.13,1.37,3.4,2.24,-2.65,-0.62,-4.85,-3.05,-4.25,1.42,0,0,1
0.11,-1.59,-5.19,0.19,-7.11,-8.33,6.71,5.67,-1.13,5.42,1.84,0.64,-2.13,4.33,1.58,-3.2,0,0,1
5.57,-3.33,-0.18,-1.99,-2.36,0.74,-0.44,-5.57,-0.12,0.56,-1.45,-3.23,-3.91,2.05,-3.57,4.08,0,0,1
-2.87,0.64,1.24,-4.08,-2.9,-0.71,3.63,-1.14,-3.29,3.28,0.56,1.44,6.06,2.56,1.86,-0.58,0,0,1
-0.54,2.51,2.7,-3.97,-0.97,-2.57,-2.56,-6.55,1.19,0.03,-1.15,-2.35,-1.71,5.02,4.14,4.61,0,0,1
-0.33,-1.31,2.55,-4.14,2.77,2.93,-0.4,0.37,-1.0,-1.0,-2.36,3.84,0.46,-0.41,1.56,2.16,0,0,1
-1.96,-0.16,-3.79,3.49,-6.05,-0.22,4.59,5.92,-1.83,3.61,1.25,-0.59,1.18,0.73,-2.23,-4.35,0,0,1
1.4,1.12,-0.52,-1.39,1.25,-2.84,-0.41,-1.02,-0.1,-0.19,0.86,-0.99,-0.81,2.56,-1.1,0.03,0,0,1
0.55,-0.61,0.33,-2.09,-1.64,-0.08,-1.04,-0.43,-3.58,2.36,-1.75,1.61,0.92,-0.7,-0.36,-1.08,0,0,1
