@relation SyntheticData-N_600-D_16-Nmin_100-Zmin_4-CL_1_2-R_0
@attribute X0 real [-7.10, 6.92]
@attribute X1 real [-8.23, 8.38]
@attribute X2 real [-7.52, 6.93]
@attribute X3 real [-8.98, 6.97]
@attribute X4 real [-7.68, 7.84]
@attribute X5 real [-6.44, 7.30]
@attribute X6 real [-6.58, 7.89]
@attribute X7 real [-8.84, 6.84]
@attribute X8 real [-6.61, 9.11]
@attribute X9 real [-8.71, 7.30]
@attribute X10 real [-6.21, 5.23]
@attribute X11 real [-8.50, 7.50]
@attribute X12 real [-7.04, 6.74]
@attribute X13 real [-6.16, 6.31]
@attribute X14 real [-7.75, 6.60]
@attribute X15 real [-9.90, 7.19]
@attribute cluster_idx {0,1,2}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,cluster_idx,is_noise
@output Class
@data
0.78,2.64,-3.34,0.72,-3.49,2.38,-2.23,1.02,5.24,-0.08,-2.29,0.77,-0.71,-0.37,-2.46,0.98,0,0,1
1.77,-1.53,-3.22,-1.38,1.04,-0.66,-3.11,0.75,1.93,0.51,2.09,-2.99,3.61,3.99,2.41,4.35,0,0,1
-1.36,-2.26,2.12,-1.13,2.43,3.44,0.17,2.35,-2.72,0.85,2.6,-1.1,2.57,-0.66,6.6,-1.18,0,0,1
2.43,0.73,1.0,5.27,-0.88,0.42,-0.77,-0.62,-1.11,-0.32,-3.72,-0.23,-1.91,-2.82,-0.15,-4.04,0,0,1
-0.92,-2.95,-6.19,3.88,-2.83,1.41,-0.45,0.34,-1.88,-0.79,-1.87,-4.47,-3.49,1.06,-0.57,-0.76,0,0,1
-0.89,-4.46,-1.23,1.77,-2.03,2.11,-1.13,-2.16,-0.99,-2.05,-0.17,-3.58,0.4,2.26,-1.0,-1.43,0,0,1
1.26,1.52,-0.55,-0.5,-0.46,1.11,1.01,0.59,3.58,1.34,-3.2,4.39,-3.06,-2.56,-4.96,0.42,0,0,1
-1.49,-3.56,1.24,0.16,2.5,3.77,-2.91,-0.37,-3.0,1.18,-0.77,-3.15,0.32,1.92,4.12,2.11,0,0,1
4.72,-6.26,-3.85,1.17,2.69,-1.82,-1.22,0.54,-1.71,1.97,-2.23,-2.24,1.85,4.62,2.65,1.1,0,0,1
-4.28,2.73,1.14,0.86,-1.76,0.23,1.29,0.51,0.36,-0.01,0.81,1.23,0.03,-2.8,-1.16,-4.49,0,0,1
0.55,-3.12,-0.14,1.25,-1.37,4.57,-1.75,0.94,-1.25,-0.41,0.12,-1.05,3.64,-0.93,1.99,-0.01,0,0,1
-2.3,2.17,4.27,1.3,1.27,0.6,-2.21,-2.15,0.64,-2.34,-1.16,0.93,-0.61,-2.06,2.57,-3.59,0,0,1
-1.69,-0.51,-0.41,0.81,3.29,0.88,-2.85,-1.41,0.9,1.17,0.4,-3.24,-2.93,-0.82,4.44,1.04,0,0,1
1.39,-0.84,-0.95,0.56,-2.77,6.12,-0.3,2.95,2.29,1.31,-4.19,2.53,1.2,-0.93,-3.87,0.97,0,0,1
-1.69,-3.32,-3.53,-2.06,-1.03,3.84,0.84,1.93,-2.72,-2.32,1.5,-1.85,-1.36,3.88,0.77,1.3,0,0,1
0.56,-3.51,-4.0,-2.02,2.99,-1.03,-1.55,1.91,-0.25,0.52,0.89,-2.19,-1.74,2.88,4.81,1.54,0,0,1
2.56,0.38,0.7,4.76,-3.47,-2.83,1.16,-4.05,-2.12,1.46,-0.41,0.1,2.81,0.52,1.73,0.83,0,0,1
0.58,-3.94,-2.36,-2.03,0.03,1.84,-1.52,0.79,4.01,-2.94,-1.01,-0.25,1.8,2.67,-2.63,-1.71,0,0,1
-1.35,-2.12,1.04,4.96,-2.03,-1.85,-1.38,-5.28,-1.16,1.2,2.46,-6.13,-0.18,-0.43,2.42,0.43,0,0,1
-1.08,2.43,1.99,2.48,2.76,-1.64,0.62,-0.21,-0.57,1.91,-3.32,1.56,-1.28,-0.71,-1.55,-0.63,0,0,1
1.19,0.23,0.71,-2.96,0.91,1.51,1.42,2.24,2.58,1.76,2.0,1.92,2.68,0.14,-0.42,4.11,0,0,1
3.64,-3.05,-0.85,-0.5,-1.49,-1.11,0.14,-2.24,0.27,-3.36,-1.09,1.03,2.33,3.73,-4.43,-0.39,0,0,1
0.52,-0.69,-1.5,3.07,-1.04,-2.51,-2.14,-1.61,1.67,5.15,1.83,-2.06,3.84,-3.24,1.74,2.67,0,0,1
2.22,0.96,0.15,1.5,-4.77,-2.95,2.59,-1.73,1.21,3.77,0.27,3.92,4.72,-2.97,-2.88,-0.03,0,0,1
-1.81,-1.65,-1.01,1.37,-0.43,2.15,-3.24,-0.89,2.41,-0.66,-0.31,-3.39,1.63,0.6,-1.37,0.59,0,0,1
-0.04,1.8,-3.67,-3.81,-2.21,4.28,2.21,4.73,2.86,-3.68,-0.6,5.24,-2.33,-1.85,-3.85,-1.72,0,0,1
-4.24,1.52,1.73,4.45,-1.12,1.21,-4.42,-2.25,-0.33,1.85,-0.55,-3.39,1.44,-1.35,6.44,-0.41,0,0,1
-2.08,0.21,1.91,1.28,-0.44,4.87,-2.01,1.49,-0.57,-0.06,-0.62,-0.02,1.22,-3.05,1.63,-1.49,0,0,1
0.95,0.01,2.93,-1.33,2.14,2.57,1.45,3.35,-2.54,-4.38,-0.92,3.85,2.92,1.99,2.47,-4.61,0,0,1
-0.65,1.63,4.82,1.84,1.45,-0.42,-0.92,-0.93,0.42,0.52,-0.69,0.83,0.79,-2.63,2.87,-1.79,0,1,0
-1.61,2.48,2.9,3.24,-0.66,-2.77,-1.94,-4.18,0.67,-0.92,0.27,-1.85,0.12,-1.14,-0.78,-2.65,0,0,1
-1.85,-0.43,0.68,1.4,-2.6,4.36,1.78,1.69,-0.43,-1.93,2.04,-0.46,1.98,-1.34,0.86,-0.49,0,0,1
2.19,-2.54,-2.63,0.4,-1.9,-3.27,1.28,-1.94,0.09,3.47,-0.48,-0.68,-2.05,0.32,-3.21,2.04,0,0,1
-1.85,1.57,5.0,2.69,-0.53,0.75,0.82,-0.15,-1.36,1.94,1.51,-2.18,-0.38,-3.27,4.07,-0.72,0,0,1
1.11,2.18,2.62,3.02,-0.96,0.47,1.3,-0.19,-0.06,0.42,-1.3,1.97,0.37,-3.34,1.45,-2.28,0,0,1
2.61,-0.87,-2.35,0.73,-2.47,3.09,0.74,2.31,-0.97,0.87,0.16,0.89,1.92,-1.54,0.44,1.64,0,0,1
1.22,1.82,2.25,1.42,-0.65,-3.2,-5.64,-5.95,1.36,0.07,3.42,-4.17,0.75,-1.84,2.42,1.68,0,0,1
-0.0,-0.5,3.01,-4.49,5.28,-0.95,1.34,1.49,-2.67,-2.42,0.64,3.64,3.1,4.19,1.03,-0.53,0,0,1
1.53,-0.48,-2.25,0.91,-0.34,0.52,2.06,1.45,-2.98,0.95,-1.51,0.27,-4.75,-0.49,0.01,-1.56,0,0,1
-3.01,-0.56,0.65,-4.45,2.12,2.89,0.67,2.4,-0.76,-3.63,0.9,1.38,-1.47,2.06,-0.46,0.11,0,0,1
-1.73,-1.18,0.51,-1.71,0.9,-0.79,-2.2,-1.6,-0.55,-0.98,3.85,-2.72,1.07,1.1,2.71,2.76,0,0,1
0.84,0.44,2.93,1.55,-3.99,0.94,1.63,-0.98,-1.02,1.6,-1.88,4.82,4.21,-0.79,-1.12,-0.06,0,0,1
4.22,-1.98,-0.83,-1.56,2.25,-0.88,1.67,2.36,-0.94,-1.41,-2.35,3.86,-0.36,1.31,0.79,-1.95,0,0,1
4.6,-3.22,-1.1,-0.93,3.61,-3.85,2.79,1.83,-1.71,1.02,-1.61,3.67,3.44,2.65,-1.86,-2.07,0,0,1
4.6,-4.83,-3.15,0.84,0.16,2.11,0.5,0.76,-2.05,3.32,-0.76,-1.28,-1.31,0.12,0.71,3.32,0,0,1
-2.9,2.11,-0.21,2.4,0.13,0.19,0.23,-0.79,-0.93,-1.18,-1.42,-1.12,-1.12,0.28,-2.34,-0.48,0,0,1
2.45,1.5,-1.67,0.94,-2.33,-0.77,0.73,-0.6,1.4,-0.73,-1.34,1.83,1.46,1.2,-4.02,-0.61,0,0,1
-3.66,0.17,1.47,2.82,0.3,4.66,-2.58,0.04,-0.25,0.88,2.63,-5.39,-1.2,-3.35,4.61,1.48,0,0,1
