@relation SyntheticData-N_600-D_4-Nmin_140-Zmin_16-CL_2_1-R_0
@attribute X0 real [-3.38, 2.50]
@attribute X1 real [-3.98, 2.63]
@attribute X2 real [-4.19, 3.42]
@attribute X3 real [-3.08, 3.25]
@attribute cluster_idx {0,1,2}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,cluster_idx,is_noise
@output Class
@data
2.16,-1.1,1.63,-2.02,0,0,1
-1.41,-1.21,0.99,-0.51,0,0,1
0.03,0.77,-0.83,1.02,0,0,1
-2.77,1.07,-1.83,2.18,0,0,1
-1.01,-1.2,0.76,0.02,0,0,1
-0.09,1.28,-1.98,3.0,0,0,1
0.55,-1.1,1.55,-1.39,0,0,1
1.61,-2.36,1.96,-0.84,0,0,1
1.29,-1.13,0.74,0.57,0,0,1
1.39,-2.75,2.73,-1.46,0,0,1
-1.02,-1.91,0.96,-1.74,0,0,1
0.89,-0.38,0.39,0.07,0,0,1
2.17,-0.96,0.6,-0.37,0,1,0
-0.82,0.5,-0.6,-0.48,0,0,1
0.23,-0.78,0.84,-1.33,0,0,1
-0.04,0.58,-1.77,0.21,0,0,1
1.54,-0.2,-0.11,1.54,0,0,1
-1.44,0.57,0.77,-0.9,0,0,1
-1.47,-0.77,0.22,-1.8,0,0,1
1.21,-1.53,1.42,0.1,0,0,1
-1.85,0.41,-0.6,1.79,0,0,1
0.22,0.99,-0.36,2.41,0,0,1
1.5,-2.39,3.42,-1.81,0,1,0
0.11,-0.77,1.85,1.25,0,0,1
-0.96,-0.28,0.09,0.32,0,0,1
-0.56,-0.19,-0.55,2.16,0,0,1
-1.86,1.59,-2.28,2.76,0,0,1
-2.45,0.7,-0.69,1.9,0,0,1
0.89,-0.36,-0.45,0.05,0,0,1
0.47,0.44,-1.55,0.85,0,0,1
-0.55,-0.47,0.41,-0.13,0,0,1
-0.35,0.64,-0.73,2.03,0,0,1
0.06,0.18,0.08,1.12,0,0,1
1.74,-1.56,0.37,-0.38,0,0,1
-0.62,0.07,0.51,-0.79,0,0,1
-0.97,-1.27,0.78,-0.79,0,0,1
-0.55,0.54,-0.88,1.47,0,0,1
-0.06,-0.7,0.49,0.51,0,0,1
-0.43,-1.2,1.43,-1.78,0,1,0
0.63,-1.77,3.28,-1.96,0,0,1
-0.14,1.09,-1.49,2.47,0,0,1
-1.07,0.01,-0.6,1.39,0,0,1
1.24,-1.47,1.41,-0.77,0,0,1
2.13,-1.74,2.24,-0.66,0,0,1
-0.73,-1.3,1.09,-0.48,0,0,1
1.11,-0.14,0.33,-0.64,0,0,1
0.02,-1.42,1.75,-1.0,0,0,1
1.55,-2.32,1.98,-0.28,0,0,1
-1.35,0.64,-0.67,0.47,0,0,1
2.5,-2.21,2.32,-1.34,0,0,1
-1.15,-1.44,0.33,-0.75,0,0,1
-0.27,-0.4,0.63,-0.51,0,0,1
1.42,-0.82,0.25,-0.0,0,0,1
-0.12,-0.34,-0.18,1.06,0,0,1
-1.39,-1.36,1.44,-1.98,0,0,1
-0.06,-1.81,1.36,0.44,0,0,1
-1.04,0.41,-0.31,-1.0,0,0,1
-0.62,0.75,-0.41,1.62,0,0,1
0.85,0.2,-0.4,1.47,0,0,1
1.95,-0.89,1.09,0.51,0,0,1
-0.56,-2.64,3.1,-3.08,0,0,1
0.18,-0.53,0.51,1.9,0,0,1
0.5,-1.16,2.14,0.14,0,0,1
-1.59,0.77,0.0,1.45,0,0,1
0.09,-0.87,1.74,-1.39,0,0,1
0.69,-1.27,2.1,-1.03,0,0,1
-0.84,-0.29,-0.27,0.68,0,1,0
-0.67,1.22,-1.85,2.43,0,0,1
-1.38,-1.58,2.03,-1.9,0,0,1
-0.67,-0.9,0.32,0.15,0,0,1
0.04,-0.28,1.31,-1.24,1,0,1
0.63,-1.19,0.81,-0.89,1,0,1
-1.23,-0.64,1.59,0.48,1,0,1
-0.74,-1.7,2.74,-0.95,1,0,1
0.32,-1.66,0.11,0.67,1,0,1
0.79,-2.37,1.3,-0.72,1,0,1
0.21,0.63,0.05,-0.65,1,0,1
-0.3,0.05,0.39,0.33,1,0,1
-0.6,2.21,-0.11,-0.19,1,1,0
0.51,0.42,-0.72,0.19,1,0,1
0.44,-0.62,0.3,-0.39,1,0,1
0.4,-1.27,0.02,0.6,1,0,1
0.51,-0.76,0.74,-1.0,1,0,1
0.53,-0.18,-0.58,0.36,1,0,1
-1.52,1.23,0.37,1.18,1,0,1
-0.33,1.23,0.4,-0.58,1,0,1
-0.13,-1.2,1.08,-0.15,1,0,1
-0.75,-2.81,1.83,0.99,1,0,1
0.32,0.07,0.07,-0.27,1,0,1
0.12,1.33,0.01,-1.03,1,0,1
0.43,-0.09,-0.6,0.58,1,0,1
1.01,-3.33,1.36,-0.52,1,0,1
0.74,-1.51,-0.06,0.38,1,0,1
0.01,-1.15,1.25,-0.78,1,0,1
0.55,-2.58,2.16,-1.56,1,0,1
0.69,-0.11,0.55,-1.35,1,0,1
-0.82,-1.18,0.44,1.72,1,0,1
-0.59,-0.8,0.84,0.58,1,0,1
-0.19,0.46,-0.25,0.38,1,0,1
0.21,0.39,-1.07,1.13,1,0,1
0.88,-0.43,0.91,-1.82,1,0,1
0.92,-1.89,0.98,-0.92,1,0,1
-0.61,-0.53,0.9,0.28,1,0,1
-0.7,0.97,0.56,-0.31,1,0,1
1.24,-3.0,0.01,0.69,1,0,1
-0.2,0.48,1.05,-1.13,1,0,1
-0.3,-1.81,1.34,0.23,1,0,1
0.1,1.56,-0.94,0.29,1,0,1
-0.41,1.07,0.44,-0.43,1,0,1
-1.07,-1.4,1.43,0.77,1,0,1
0.3,-1.11,1.4,-1.14,1,0,1
-0.21,-0.84,1.84,-1.31,1,0,1
-0.67,-1.61,1.18,0.67,1,0,1
-0.2,-0.01,0.06,0.44,1,0,1
-0.42,0.36,0.64,-0.22,1,0,1
0.55,-0.01,0.4,-1.22,1,0,1
-1.11,1.77,-0.16,0.8,1,0,1
0.24,0.55,-0.48,0.21,1,0,1
-0.03,-2.04,1.67,-0.37,1,0,1
-0.04,-0.97,-0.16,1.38,1,0,1
0.74,-0.01,0.02,-0.83,1,0,1
-0.85,-0.39,0.87,0.51,1,0,1
-1.04,-0.99,1.74,0.24,1,0,1
0.1,-2.4,0.64,0.91,1,1,0
-0.36,-1.76,1.74,-0.2,1,0,1
0.42,-0.63,-0.22,0.4,1,0,1
0.3,-1.08,1.37,-1.22,1,0,1
1.02,-0.59,0.32,-1.38,1,0,1
0.06,-1.31,0.42,0.47,1,0,1
-0.81,-0.12,0.14,1.18,1,0,1
1.02,0.1,-0.39,-0.95,1,0,1
0.21,-0.87,1.23,-0.87,1,0,1
-0.22,-1.94,0.86,0.79,1,0,1
1.17,-0.68,0.68,-1.69,1,0,1
-0.46,-1.13,0.5,0.99,1,0,1
-1.3,0.95,-0.35,2.1,1,0,1
0.49,-0.94,1.36,-1.6,1,0,1
-0.08,1.1,0.15,-0.62,1,0,1
0.12,-0.1,0.48,-0.33,1,0,1
0.3,-1.46,-0.05,0.95,1,0,1
1.1,0.39,0.03,-0.24,2,1,1
-1.77,-1.82,0.87,-0.04,2,0,0
0.19,0.02,0.31,-0.76,2,0,0
0.8,-0.57,-0.49,0.79,2,0,0
-1.01,-0.41,1.15,-1.74,2,0,0
0.79,1.05,-0.36,-1.33,2,0,0
-1.05,-0.47,1.16,-1.55,2,0,0
-1.21,-0.99,-0.19,-0.17,2,0,0
0.14,-1.53,-0.84,1.73,2,0,0
-0.53,0.7,0.7,-1.68,2,0,0
-1.0,0.53,0.29,-1.16,2,0,0
-0.75,0.87,0.01,-1.85,2,0,0
0.36,-0.16,-0.31,0.24,2,0,0
-0.14,-0.66,-0.07,-0.18,2,0,0
0.7,1.26,-2.21,-0.65,2,0,0
0.55,0.7,0.16,-0.97,2,0,0
0.03,-2.16,-1.48,1.71,2,0,0
0.15,-0.79,-0.16,0.04,2,0,0
0.35,-0.51,-1.36,0.98,2,0,0
0.55,0.43,-0.16,-0.62,2,0,0
0.69,-0.94,-0.47,1.68,2,0,0
0.35,1.26,-0.54,-1.49,2,0,0
-1.79,-0.95,1.57,-1.58,2,0,0
-0.14,1.0,0.43,-2.01,2,0,0
-0.6,-0.22,0.44,-0.92,2,0,0
-1.08,0.05,0.63,-1.3,2,0,0
-2.27,-1.56,1.04,-0.66,2,0,0
-0.43,-1.29,-0.99,0.67,2,0,0
0.15,0.05,-1.25,-0.3,2,0,0
-1.2,-1.08,-0.29,-0.56,2,0,0
1.38,0.17,-1.75,1.27,2,0,0
-0.3,-0.05,-0.42,-0.49,2,0,0
0.52,0.9,1.25,-1.19,2,0,0
0.99,0.73,-1.24,0.18,2,0,0
0.61,1.08,-1.15,-0.89,2,1,1
-0.55,-0.78,-0.96,0.73,2,0,0
-0.68,-1.38,0.28,0.26,2,0,0
0.05,0.18,0.21,-1.11,2,0,0
1.66,0.85,-1.58,0.22,2,0,0
0.06,-0.88,-0.52,1.05,2,0,0
0.85,0.8,-0.46,-0.29,2,0,0
