@relation SyntheticData-N_600-D_4-Nmin_140-Zmin_8-CL_3_3-R_0
@attribute X0 real [-4.13, 4.82]
@attribute X1 real [-3.35, 3.44]
@attribute X2 real [-3.63, 3.50]
@attribute X3 real [-3.65, 3.76]
@attribute cluster_idx {0,1,2,3,4,5}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,cluster_idx,is_noise
@output Class
@data
-0.61,-0.44,0.38,0.5,0,0,1
1.73,0.33,-1.52,-1.3,0,0,1
-2.16,-1.61,2.46,2.65,0,0,1
0.39,0.27,-0.23,0.01,0,0,1
0.79,0.27,-0.97,-1.08,0,0,1
-0.84,-0.69,0.99,1.03,0,0,1
-2.25,-0.65,1.56,1.29,0,0,1
-0.79,-0.49,0.49,0.45,0,1,0
0.36,0.03,0.07,0.05,0,0,1
-0.86,0.22,-0.67,-1.24,0,0,1
-0.41,-0.18,0.34,0.07,0,0,1
1.08,0.21,-0.31,0.15,0,0,1
-2.13,-0.96,2.3,2.11,0,0,1
2.53,0.84,-1.83,-1.53,0,0,1
0.32,1.02,-0.84,-1.04,0,0,1
-1.38,-0.85,1.49,1.17,0,0,1
1.62,0.49,-1.74,-1.49,0,0,1
2.88,1.27,-3.63,-3.38,0,0,1
0.56,-0.18,-0.43,-0.36,0,0,1
-1.01,-0.51,-0.18,-0.59,0,0,1
-0.52,-0.57,0.01,0.47,0,0,1
-0.44,0.41,-0.58,-0.61,0,0,1
-0.05,-0.33,-0.09,-0.05,0,0,1
1.35,0.38,-1.3,-0.87,0,0,1
-0.83,-0.28,0.82,0.9,0,0,1
0.49,-0.2,-1.49,-1.38,0,0,1
-0.66,-1.19,1.55,1.53,0,0,1
-1.03,-0.71,0.8,0.97,0,0,1
0.8,0.51,-0.43,-0.47,0,0,1
0.29,0.81,-0.61,-0.66,0,0,1
0.96,0.48,-0.37,-0.17,0,0,1
-2.59,-1.0,2.83,2.75,0,0,1
2.07,0.29,-1.63,-0.73,0,0,1
-0.46,-0.36,-0.1,-0.02,0,0,1
0.15,-0.11,0.23,0.39,0,0,1
-1.5,-0.13,1.06,0.59,0,0,1
-0.38,-0.22,0.11,0.24,0,0,1
0.31,0.45,-0.1,0.1,0,1,0
-0.56,-0.07,0.8,0.74,0,0,1
0.15,-0.21,-1.46,-1.51,0,0,1
0.52,0.39,-1.49,-1.66,0,0,1
-2.68,-1.39,2.46,1.9,0,0,1
-3.02,-0.97,2.33,2.1,0,0,1
-1.12,-0.9,0.94,0.93,0,0,1
1.88,0.84,-1.46,-1.22,0,0,1
0.68,0.39,-1.0,-0.97,0,0,1
0.87,0.17,-0.79,-0.41,0,0,1
0.61,-0.24,-0.29,1.48,1,0,1
0.66,-0.66,-0.07,1.27,1,0,1
-0.19,0.14,-0.08,2.31,1,0,1
-0.24,-1.84,0.76,1.91,1,0,1
-0.6,1.96,0.77,-1.34,1,0,1
-0.36,-0.43,0.6,0.57,1,0,1
0.31,-1.55,0.81,0.6,1,0,1
-0.84,-1.04,1.91,-1.89,1,0,1
2.44,0.67,-2.58,2.24,1,0,1
-1.08,-0.28,2.73,-2.28,1,0,1
-0.27,0.87,0.72,-0.65,1,0,1
0.56,-0.34,0.03,1.18,1,0,1
0.59,1.04,0.81,-1.87,1,0,1
1.95,-0.52,-0.65,1.0,1,0,1
0.47,2.07,-0.23,-1.22,1,0,1
0.8,-0.92,-0.3,2.05,1,0,1
-0.67,-0.79,0.1,2.4,1,0,1
2.37,-0.28,-1.37,0.98,1,0,1
1.11,-0.58,0.2,0.2,1,0,1
0.88,-1.71,1.49,-1.82,1,0,1
0.6,-0.82,0.77,-0.97,1,0,1
-0.06,0.24,0.94,-0.57,1,0,1
-0.21,0.72,1.0,-0.52,1,0,1
0.14,1.4,-1.03,2.59,1,0,1
0.32,0.36,-0.24,0.59,1,0,1
0.48,-1.69,0.76,1.24,1,0,1
1.19,-0.08,-0.91,1.54,1,0,1
-0.79,-1.52,0.63,2.5,1,0,1
0.01,-0.11,2.41,-3.44,1,0,1
-0.77,0.62,-0.99,3.76,1,1,0
0.29,-0.0,0.31,-0.28,1,0,1
0.83,-1.7,1.32,-0.74,1,0,1
-0.19,0.04,0.78,0.48,1,0,1
-0.82,0.4,1.13,-0.82,1,0,1
0.88,1.07,-0.96,1.46,1,0,1
-1.23,0.24,0.91,0.15,1,0,1
-1.31,0.31,2.21,-3.26,1,1,0
-0.69,-0.52,1.46,-1.1,1,0,1
-0.05,-0.1,1.07,-0.59,1,0,1
-0.62,1.69,-0.06,-0.38,1,0,1
-0.98,0.3,1.64,-1.26,1,0,1
0.38,0.37,-0.3,1.68,1,0,1
-0.51,1.25,0.73,-0.92,1,0,1
0.04,-0.9,0.76,-0.34,1,0,1
1.19,-0.56,0.14,0.62,1,0,1
-1.59,-0.12,1.79,-0.34,1,0,1
-0.43,-0.26,2.32,-2.88,1,0,1
-0.47,-0.15,1.57,0.21,2,0,1
-0.26,-0.5,-0.15,0.76,2,0,1
-1.31,3.06,0.5,-0.09,2,0,1
-0.73,2.38,1.27,-0.58,2,0,1
-1.04,1.16,-0.14,0.63,2,0,1
0.58,0.1,1.49,0.56,2,0,1
-1.61,0.95,-0.15,0.44,2,0,1
-1.78,0.54,0.6,0.41,2,0,1
