@relation SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_1-R_0
@attribute X0 real [-4.30, 2.79]
@attribute X1 real [-5.26, 3.30]
@attribute X2 real [-4.16, 3.37]
@attribute X3 real [-3.24, 3.22]
@attribute cluster_idx {0,1}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,cluster_idx,is_noise
@output Class
@data
2.61,-0.64,1.54,3.22,0,0,1
-0.15,1.25,0.2,0.82,0,0,1
-0.42,1.08,-0.77,-1.86,0,0,1
-1.32,0.13,0.71,1.98,0,0,1
-2.14,1.77,-2.47,0.53,0,0,1
-1.11,2.58,-2.84,-2.04,0,0,1
-1.59,1.02,-0.78,-0.32,0,0,1
0.67,-0.04,0.87,2.26,0,0,1
-1.64,1.3,-0.55,-1.27,0,0,1
1.51,-0.18,0.32,2.41,0,0,1
0.33,0.49,-0.15,1.85,0,0,1
-1.14,0.9,-0.42,0.36,0,0,1
0.94,0.2,-0.15,-1.03,0,0,1
0.67,1.26,-2.11,-1.54,0,0,1
-0.52,0.63,0.58,0.59,0,0,1
0.01,-0.74,1.11,2.55,0,0,1
-1.13,0.92,-0.41,-0.65,0,0,1
-2.57,0.96,-0.62,-1.06,0,0,1
-0.39,0.97,-1.3,0.19,0,0,1
-1.93,1.04,-0.92,0.13,0,0,1
0.45,-0.65,0.42,0.98,0,0,1
0.16,0.36,0.31,1.67,0,0,1
-1.72,1.98,-1.92,-1.62,0,0,1
-0.51,0.46,1.37,0.14,0,0,1
-1.0,1.96,-2.22,-0.39,0,0,1
-0.51,-0.15,0.54,1.51,0,0,1
-1.52,0.6,0.46,-0.09,0,0,1
-0.54,1.01,-0.84,0.14,0,0,1
-0.7,0.38,0.39,0.35,0,0,1
-0.37,-0.79,1.5,1.25,0,1,0
-0.69,0.94,-0.16,-0.56,0,0,1
-0.29,1.36,-1.63,-0.1,0,0,1
-0.8,1.17,-1.49,0.36,0,0,1
0.68,-0.37,0.78,1.14,0,0,1
0.39,0.54,-0.51,3.08,0,0,1
-0.53,1.23,-0.69,0.16,0,0,1
1.48,-0.0,0.17,1.46,0,0,1
-0.88,-0.47,0.25,2.08,0,0,1
0.98,0.3,-0.27,0.19,0,0,1
-0.41,1.55,-1.69,1.42,0,0,1
-0.54,1.83,-2.07,0.18,0,0,1
-2.06,1.94,-1.17,-3.24,0,0,1
-2.23,1.09,-0.94,-0.35,0,0,1
