@relation SyntheticData-N_600-D_8-Nmin_100-Zmin_8-CL_2_1-R_0
@attribute X0 real [-2.83, 4.59]
@attribute X1 real [-5.11, 4.50]
@attribute X2 real [-4.95, 6.20]
@attribute X3 real [-3.68, 3.64]
@attribute X4 real [-5.69, 6.70]
@attribute X5 real [-4.53, 5.36]
@attribute X6 real [-4.10, 4.15]
@attribute X7 real [-6.17, 4.17]
@attribute cluster_idx {0,1,2}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,cluster_idx,is_noise
@output Class
@data
-0.39,1.02,0.78,2.72,-2.83,1.05,-1.03,0.85,0,1,0
-2.71,-1.99,-0.67,2.71,-1.12,3.4,-1.7,0.6,0,0,1
-1.07,-3.46,0.04,-1.23,4.36,-1.8,1.74,1.93,0,0,1
0.03,-0.71,-0.06,-1.14,1.6,-1.57,0.87,-0.08,0,0,1
-1.36,1.39,-0.87,1.29,-1.37,1.11,0.41,1.0,0,0,1
0.32,3.6,0.16,1.16,-0.2,-1.61,-1.27,-0.98,0,0,1
1.46,2.03,-0.11,-1.66,-0.38,-1.21,-0.31,-0.79,0,0,1
-1.5,0.41,0.89,1.0,2.27,-2.08,1.27,-0.91,0,0,1
-1.44,-0.95,0.89,-0.93,4.2,-2.3,1.99,0.2,0,0,1
0.49,-0.2,2.72,-1.81,-0.76,0.24,0.88,-1.01,0,0,1
1.04,-2.09,1.73,-0.96,-0.19,0.7,-0.56,-0.11,0,0,1
1.9,1.54,-4.4,-3.42,0.19,-0.36,-1.84,-1.23,0,0,1
0.97,-0.32,-1.76,-1.63,1.39,-1.47,-0.0,0.62,0,1,0
1.55,-0.55,1.15,-2.27,0.06,-0.56,1.66,2.16,0,0,1
1.46,0.28,-1.13,-2.75,1.19,-1.72,1.42,0.86,0,0,1
1.23,2.37,4.0,0.48,-0.74,-2.38,0.7,-1.06,0,0,1
-0.82,-0.25,1.34,-1.47,3.22,-2.84,2.55,0.64,0,0,1
3.36,3.1,-3.09,-1.51,-4.71,1.32,-2.23,-0.71,0,0,1
1.38,-0.71,2.38,-2.23,-0.25,-0.38,0.43,0.74,0,0,1
-1.4,-2.02,1.41,1.8,0.22,0.67,0.15,0.85,0,0,1
-0.67,-0.39,0.19,0.87,-1.07,1.26,-1.61,-1.96,0,0,1
-0.29,1.02,-1.7,1.73,-2.17,1.69,-2.82,-0.87,0,0,1
1.06,-1.27,1.86,-1.69,-0.56,0.67,0.28,1.6,0,0,1
1.49,2.21,0.44,-0.61,-1.47,-0.14,-1.93,-0.67,0,0,1
0.2,1.2,-0.6,0.21,-2.8,1.17,-1.39,-2.28,0,0,1
-0.6,-0.09,0.25,0.58,-0.71,1.06,-1.61,-0.87,0,0,1
0.1,-0.59,3.7,1.95,0.64,-1.34,0.38,0.01,0,0,1
2.29,-1.13,1.62,-2.86,1.0,-1.45,1.52,1.97,0,0,1
-1.16,1.32,-0.14,0.53,2.51,-2.39,0.83,-2.09,0,0,1
-0.47,0.02,3.21,-1.47,1.5,-1.81,2.19,-0.14,0,0,1
0.37,1.76,4.32,2.08,-2.55,-0.14,-0.52,-1.11,0,0,1
-0.41,-1.52,0.71,-0.58,0.6,-0.5,1.1,-0.04,0,0,1
0.37,-0.53,-0.51,-2.48,1.73,-0.65,1.15,1.43,0,1,0
0.46,-0.17,2.17,0.47,-0.02,-0.67,-0.25,0.61,0,0,1
-0.91,1.51,1.38,3.1,-3.37,1.24,0.22,0.4,0,0,1
0.99,-0.62,-2.54,-2.63,-1.21,2.42,-0.71,1.93,0,0,1
1.73,0.86,-0.99,-0.49,-2.01,1.58,-2.76,0.24,0,0,1
1.52,-0.3,2.74,-2.41,-0.81,-0.95,2.1,-0.52,0,0,1
-1.67,1.61,5.41,2.33,-0.04,-1.54,1.92,-1.86,0,0,1
-0.01,3.21,-1.27,1.66,-3.72,1.79,-1.76,-1.28,0,0,1
-1.4,-1.45,0.95,0.59,0.03,0.94,0.01,0.06,0,0,1
0.19,0.21,3.02,-0.21,-1.84,0.46,0.91,0.08,0,0,1
-0.31,-1.38,-0.83,0.16,-0.48,0.87,-1.04,-1.0,0,0,1
2.59,0.8,-1.77,-3.46,-0.69,-0.86,0.46,0.01,0,0,1
1.56,-0.05,0.29,-1.14,-1.45,-0.0,-0.17,-1.21,0,0,1
-0.91,-2.03,-2.72,-0.93,1.36,1.02,-1.35,-0.45,0,0,1
-2.83,-5.11,2.7,0.6,1.79,0.9,1.52,-0.06,0,0,1
0.82,0.62,1.08,-0.69,0.87,-0.42,-1.02,-0.14,0,0,1
0.84,0.31,-0.86,-1.8,-0.38,-0.37,0.33,0.48,0,0,1
0.79,1.9,1.24,-0.15,-0.05,-1.95,1.65,0.38,0,0,1
0.07,1.32,0.04,-0.04,-1.9,1.9,0.27,0.99,1,0,1
2.31,-0.05,-1.73,-1.36,1.16,-1.23,3.34,0.55,1,0,1
-0.01,0.16,0.24,0.68,-0.8,2.18,-1.65,1.0,1,0,1
0.88,-0.78,-0.52,1.37,-0.04,-2.05,0.63,-0.7,1,0,1
-1.11,-1.9,-0.43,-0.76,-3.27,1.59,-2.78,-0.46,1,0,1
1.09,2.86,0.92,-0.47,-1.68,2.04,2.72,-0.16,1,0,1
-1.11,0.64,-1.07,-1.13,3.46,-1.35,0.88,1.95,1,0,1
1.33,1.91,1.14,-1.5,-0.92,3.02,0.99,1.49,1,0,1
1.35,2.91,1.96,0.09,-0.84,3.3,1.22,0.55,1,0,1
0.14,2.3,2.18,-0.51,-2.18,3.67,0.06,-0.23,1,0,1
-1.51,-0.0,1.22,0.26,-0.72,0.35,-1.68,-0.65,1,0,1
1.39,1.49,-0.1,-0.67,-1.4,2.83,0.91,1.72,1,0,1
-0.96,-2.23,-0.86,0.27,-0.78,-1.84,-1.34,-1.34,1,0,1
1.06,-0.62,-1.34,-2.11,-3.35,2.25,0.63,0.15,1,0,1
0.75,-0.47,0.1,0.1,0.77,0.09,-0.28,0.23,1,0,1
2.97,2.56,-0.75,-0.64,-1.27,2.21,4.09,1.07,1,0,1
-1.65,-0.6,-0.99,-0.0,-1.0,-0.07,-0.71,-0.9,1,0,1
-0.29,1.37,2.44,1.95,2.1,-1.27,0.18,-1.29,1,0,1
1.57,0.02,0.51,0.1,1.91,-0.96,1.13,-0.1,1,0,1
0.22,0.37,0.58,-0.09,-0.79,0.82,0.18,-0.75,1,0,1
1.56,1.18,2.05,1.09,0.93,0.21,0.5,0.02,1,0,1
-0.93,-0.73,0.69,1.46,-0.36,-1.58,-1.27,-1.1,1,0,1
0.36,-0.77,-1.92,0.04,2.69,-2.38,0.82,1.7,1,0,1
4.59,3.66,1.49,-0.43,1.61,2.56,4.11,2.48,1,0,1
0.52,0.69,0.75,0.22,-1.87,1.77,-0.16,-0.13,1,0,1
0.44,-1.18,-1.16,-2.16,-1.85,2.09,-0.62,0.55,1,0,1
1.1,0.66,-0.5,0.2,-0.09,0.18,1.27,0.68,1,0,1
0.25,-1.83,-1.6,-0.58,-1.76,0.26,-0.84,0.05,1,0,1
-0.25,-2.39,-2.14,-0.53,0.31,-1.25,-1.09,0.75,1,0,1
1.78,1.4,-1.31,-2.09,-1.28,3.14,2.17,2.0,1,0,1
0.79,1.5,-0.87,-0.67,1.09,0.51,1.79,2.31,1,0,1
-1.39,-1.1,-1.42,-0.59,2.24,-2.21,-0.22,0.37,1,0,1
1.32,1.18,-0.04,-1.43,-3.28,3.95,0.92,0.33,1,0,1
0.69,2.09,-0.24,-0.47,-0.95,1.99,1.57,1.66,1,0,1
1.47,1.14,1.77,1.17,-0.21,0.09,0.73,-0.25,1,0,1
1.85,-2.53,-1.63,-0.6,0.51,-2.42,0.79,-0.38,1,0,1
-0.02,3.05,1.75,0.49,0.72,0.95,1.78,-0.03,1,0,1
-1.63,-3.26,-1.37,-0.54,-2.08,-0.18,-3.17,-0.96,1,0,1
-0.37,0.24,0.28,0.29,0.35,0.01,-0.48,0.55,1,0,1
-0.11,2.46,0.75,-1.21,0.15,1.87,1.84,0.18,1,0,1
-0.84,0.74,3.45,1.61,-1.02,0.38,-1.47,-2.78,1,0,1
1.7,-1.22,-0.82,-0.56,0.65,-1.25,1.01,-0.13,1,0,1
