@relation SyntheticData-N_600-D_8-Nmin_140-Zmin_0-CL_2_3-R_0
@attribute X0 real [-5.41, 6.08]
@attribute X1 real [-5.66, 5.90]
@attribute X2 real [-5.21, 5.12]
@attribute X3 real [-5.93, 4.30]
@attribute X4 real [-5.03, 5.53]
@attribute X5 real [-4.47, 3.30]
@attribute X6 real [-4.63, 4.99]
@attribute X7 real [-6.50, 5.40]
@attribute cluster_idx {0,1,2,3,4}
@attribute is_noise {0}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,cluster_idx,is_noise
@output Class
@data
3.05,-1.22,0.8,1.98,-1.39,1.19,1.18,-1.68,0,0,1
0.35,-0.23,-0.67,0.2,-1.34,-1.01,-0.14,1.06,0,0,1
-0.24,1.09,0.03,2.51,0.28,0.89,-2.13,1.49,0,0,1
-0.74,-2.47,0.39,3.33,1.99,-0.49,1.33,-0.88,0,0,1
0.9,-2.71,-0.14,-0.19,-0.83,-0.49,0.43,-1.91,0,0,1
-2.5,1.68,0.66,-1.38,-2.75,-0.44,-3.99,0.52,0,0,1
2.11,-0.38,0.32,-3.35,-2.29,1.21,-1.42,-1.41,0,0,1
-1.58,-1.2,-0.34,-2.94,-0.28,-0.35,-1.81,-0.67,0,0,1
-3.12,0.32,-0.3,2.33,-0.19,-3.6,-1.32,-0.13,0,0,1
-0.76,1.41,-0.87,2.39,1.63,-1.99,1.49,3.29,0,0,1
-1.91,0.64,0.41,1.41,0.85,0.7,-1.17,1.66,0,0,1
-3.0,-2.48,-1.38,1.98,1.05,-2.22,-1.45,0.93,0,0,1
0.39,-1.27,-0.22,2.03,-0.06,-1.2,0.71,0.16,0,0,1
0.53,-2.95,1.59,0.76,1.09,1.83,1.26,-2.45,0,0,1
-1.21,-3.67,-0.99,0.97,-0.17,-1.41,2.12,0.37,0,0,1
1.22,-0.41,2.55,0.67,-2.57,1.75,0.69,-2.28,0,0,1
0.57,-1.2,0.12,1.73,-2.59,0.62,1.27,2.01,0,0,1
-1.05,-0.39,0.51,-0.68,-1.05,-0.29,-0.93,-0.63,0,0,1
-1.46,0.02,2.64,-1.4,-2.43,1.05,-2.18,-3.06,0,0,1
-0.37,-0.9,0.83,0.71,-1.72,-0.52,-0.94,-1.08,0,0,1
-1.95,-0.71,1.77,-0.7,-2.52,1.42,-1.9,-0.86,0,0,1
0.22,1.21,-0.54,-0.28,1.02,-0.78,0.78,1.52,0,0,1
0.85,-3.5,-0.36,-0.54,1.51,0.01,0.59,-2.29,0,0,1
0.76,0.09,-0.12,-0.28,-0.24,1.78,-3.5,0.09,0,0,1
0.05,0.28,-1.55,3.17,1.7,-2.52,-0.13,1.35,0,0,1
-1.6,-2.64,-1.33,-0.79,-1.39,-3.06,0.68,0.28,0,0,1
-2.01,-2.71,1.23,0.58,-0.47,0.28,-0.08,-1.41,0,0,1
1.45,2.29,1.56,2.26,-1.12,1.98,-0.63,0.76,0,0,1
-1.73,0.91,1.76,0.79,-3.25,-2.08,0.26,-0.85,0,0,1
2.31,-1.24,0.3,-0.79,-1.69,2.11,-1.26,-0.9,0,0,1
1.61,-1.16,-0.95,3.38,0.92,0.62,0.88,1.29,0,0,1
0.57,-3.18,-0.92,-2.04,-1.09,-0.3,-1.65,-1.56,0,0,1
0.2,-0.77,2.95,2.92,-1.43,0.68,2.75,-2.06,0,0,1
0.87,4.51,1.03,-0.39,0.41,0.43,-2.6,0.05,0,0,1
-0.53,1.65,0.92,-1.4,-1.18,0.78,-3.73,-0.96,0,0,1
0.61,0.94,0.32,-1.05,0.06,-1.74,0.6,-0.73,0,0,1
0.95,0.38,1.25,-0.04,-0.88,0.29,-0.12,-1.61,0,0,1
-0.42,-1.16,-1.16,-1.03,-2.67,-1.16,-1.67,1.77,0,0,1
1.5,0.68,0.22,-0.67,-1.88,0.96,-0.85,0.73,0,0,1
-1.04,-2.77,-1.51,-2.02,1.86,-1.46,-1.17,-1.03,0,0,1
3.46,-2.74,-1.05,-0.58,-1.43,0.96,0.84,-0.19,0,0,1
1.79,0.36,0.25,1.66,-1.23,-1.65,1.63,-0.84,0,0,1
-4.72,-0.29,3.07,3.5,0.18,-0.21,-1.89,-2.38,0,0,1
-1.67,-3.23,-0.67,0.23,-1.65,-2.44,1.57,1.01,0,0,1
-0.94,-0.83,0.85,3.75,2.13,-0.55,-0.74,-1.96,0,0,1
2.96,0.24,1.27,2.52,-2.66,0.84,2.54,1.11,0,0,1
0.79,0.89,0.8,-1.56,0.5,0.79,0.99,-0.01,0,0,1
0.93,1.43,2.29,-1.36,-2.51,1.85,-1.57,-1.77,0,0,1
5.75,1.03,-2.97,-2.16,-3.46,-0.09,-0.66,3.47,0,0,1
0.53,2.02,0.07,-0.6,-1.99,-0.51,-0.44,2.14,0,0,1
-2.67,-2.1,-0.48,0.16,-2.09,-3.31,0.26,0.51,0,0,1
1.52,-0.54,-0.75,0.68,2.1,-1.34,3.65,0.22,0,0,1
-2.1,-0.32,-1.87,0.71,1.12,-3.26,0.12,2.21,0,0,1
2.98,-3.04,1.45,0.33,-1.5,2.69,2.2,-1.49,0,0,1
-3.0,-0.05,1.48,0.04,-0.66,0.77,-3.59,-1.39,0,0,1
-2.2,-0.7,0.29,0.53,-0.61,-2.08,1.13,-0.2,0,0,1
-0.52,0.56,2.56,0.67,-2.22,1.96,-2.86,-1.78,0,0,1
0.02,-0.93,1.5,2.47,-2.19,-0.03,0.81,-0.63,0,0,1
2.27,2.39,0.12,1.41,-1.69,0.33,-1.48,1.14,0,0,1
-1.3,-0.26,2.79,2.01,-2.04,1.97,-0.63,-0.94,0,0,1
-2.66,-2.06,3.18,-0.79,-1.77,2.98,-2.3,-3.12,0,0,1
1.65,-0.01,0.39,0.53,-1.87,1.0,0.26,0.83,0,0,1
-2.49,0.81,-2.19,1.12,3.58,-3.1,-0.6,3.11,0,0,1
-2.37,0.57,1.11,-1.72,-2.18,0.61,-4.63,-0.49,0,0,1
0.41,-1.65,-0.77,1.24,1.4,-1.19,1.58,0.13,0,0,1
2.99,1.04,1.28,0.31,-3.79,2.55,-1.41,0.39,0,0,1
-1.94,-1.27,1.73,1.84,1.13,1.46,-0.15,-1.01,0,0,1
3.87,5.9,-1.02,3.33,4.33,-0.85,1.27,2.89,0,0,1
0.59,0.74,-0.91,0.19,-1.69,-0.07,-1.06,2.67,0,0,1
