@relation SyntheticData-N_600-D_8-Nmin_140-Zmin_16-CL_3_3-R_0
@attribute X0 real [-5.99, 5.48]
@attribute X1 real [-4.78, 6.12]
@attribute X2 real [-5.62, 6.64]
@attribute X3 real [-6.79, 5.30]
@attribute X4 real [-6.48, 5.41]
@attribute X5 real [-5.63, 5.29]
@attribute X6 real [-5.29, 5.27]
@attribute X7 real [-4.77, 5.95]
@attribute cluster_idx {0,1,2,3,4,5}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,cluster_idx,is_noise
@output Class
@data
1.94,-2.88,-3.89,0.74,-0.56,0.46,2.53,2.83,0,0,1
-0.75,1.36,-1.18,0.09,0.62,-1.21,-2.88,0.67,0,0,1
-0.16,-1.26,1.57,0.04,-0.22,1.07,1.41,0.7,0,0,1
-3.09,0.67,-2.03,-1.39,0.52,-1.27,-2.86,3.17,0,0,1
-3.35,-1.95,-2.26,1.05,0.75,-0.73,-2.45,2.1,0,0,1
5.48,-1.31,1.52,1.22,-2.61,-3.47,3.96,-0.13,0,0,1
-2.33,1.04,-1.55,-3.87,1.49,2.76,0.23,5.95,0,0,1
0.89,0.32,1.71,0.39,-1.12,-0.9,0.7,-0.97,0,0,1
2.18,-0.52,1.72,1.03,-0.88,0.22,1.44,-1.52,0,0,1
5.14,1.86,3.6,0.71,-1.44,-2.22,1.19,-2.6,0,0,1
1.12,-0.4,-0.87,1.86,1.19,1.13,-1.55,-0.88,0,0,1
0.24,-1.77,-2.36,1.03,-0.04,0.12,0.43,1.58,0,1,0
2.56,-2.29,0.63,2.74,-0.28,3.25,2.31,-2.97,0,0,1
-5.22,-1.64,-1.97,0.26,1.21,-2.2,-4.32,3.24,0,0,1
0.17,3.22,1.79,-2.9,-0.26,0.26,-0.34,1.43,0,0,1
2.91,-1.54,1.41,1.72,-1.41,-0.85,2.39,-1.05,0,0,1
-2.65,0.67,-1.12,-2.38,0.67,-0.22,-1.29,4.32,0,0,1
-0.5,-0.47,-0.85,-0.06,1.05,0.98,-0.96,1.71,0,0,1
-2.63,1.07,-1.65,-2.08,0.12,-1.3,-1.76,3.42,0,0,1
-3.13,3.1,1.64,-1.47,1.07,2.14,-3.81,-1.44,0,1,0
0.36,-2.5,-0.3,0.56,-0.03,-2.79,0.01,3.04,0,1,0
0.9,0.4,-1.73,-0.46,-0.0,0.43,-0.02,1.35,0,0,1
0.67,0.41,-2.83,-0.97,1.12,3.08,-0.04,1.93,0,0,1
1.06,3.63,-1.68,-3.37,1.39,4.91,0.21,2.05,0,0,1
1.49,-0.66,-0.64,1.45,-0.67,-1.67,-0.19,-0.46,0,0,1
-1.14,1.51,-1.05,-0.49,0.62,0.67,-2.41,0.21,0,0,1
-2.46,-1.09,-0.26,0.95,-0.79,-1.13,-1.04,-0.04,0,0,1
-3.48,2.92,0.69,-1.53,1.59,0.72,-4.85,0.36,0,0,1
1.07,0.06,0.78,-1.12,0.23,0.34,0.74,2.24,0,0,1
-0.66,0.09,-1.23,-0.31,-0.4,-0.49,-0.46,1.38,0,0,1
-2.17,2.74,-0.81,-3.53,0.52,1.29,-1.49,3.12,0,0,1
0.13,-1.26,-0.07,1.75,1.37,0.76,-2.04,-0.32,0,0,1
2.61,0.53,3.9,1.12,-1.26,-0.6,1.23,-3.35,0,0,1
0.5,0.75,2.19,-0.72,0.45,0.27,-0.67,0.25,0,0,1
0.62,-0.59,1.23,1.51,0.01,0.88,-0.58,-1.94,0,0,1
-1.13,0.16,2.49,-1.89,-0.97,-0.3,1.4,1.86,0,0,1
1.0,-1.01,-1.75,3.05,-0.01,2.1,-0.08,-2.93,0,0,1
3.27,-4.19,-1.22,1.17,-2.02,-1.69,5.27,3.08,0,0,1
3.05,0.52,1.69,0.73,0.55,2.59,0.75,-1.77,0,0,1
2.75,1.01,0.56,0.62,-0.84,-0.29,0.69,-1.49,0,0,1
0.0,0.38,-1.01,-0.18,0.34,2.8,-0.03,-0.18,0,0,1
