@relation SyntheticData-N_600-D_8-Nmin_60-Zmin_32-CL_1_1-R_0
@attribute X0 real [-6.30, 5.23]
@attribute X1 real [-5.48, 4.13]
@attribute X2 real [-4.11, 5.79]
@attribute X3 real [-5.78, 5.40]
@attribute X4 real [-5.05, 5.53]
@attribute X5 real [-4.87, 5.43]
@attribute X6 real [-5.66, 3.86]
@attribute X7 real [-6.26, 4.50]
@attribute cluster_idx {0,1}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,cluster_idx,is_noise
@output Class
@data
0.02,-0.2,1.16,-1.72,0.38,3.27,-3.49,2.96,0,0,1
0.79,-1.69,-1.9,-0.6,2.29,1.05,1.24,-0.09,0,0,1
-1.58,-1.67,-1.19,2.35,0.63,-1.74,1.42,-1.06,0,0,1
-0.29,-0.02,-0.47,0.57,-0.43,0.28,0.43,0.55,0,0,1
3.11,0.05,2.15,-2.56,0.56,-2.51,-3.59,0.02,0,0,1
2.06,1.47,-2.04,-0.56,0.5,-1.79,-0.28,-3.6,0,0,1
-0.22,-1.38,-0.82,1.25,-0.49,-4.56,0.1,-3.38,0,0,1
0.38,-0.41,-0.97,-3.2,1.4,3.08,0.31,2.29,0,0,1
2.14,-0.85,1.13,-0.11,-0.33,-4.63,-2.99,-2.58,0,0,1
-0.09,1.75,-2.42,1.21,-1.58,-0.32,1.19,-2.04,0,0,1
-0.27,0.26,-0.29,-0.48,-0.85,-0.02,-0.43,-0.98,0,0,1
-1.38,-0.35,1.86,-2.17,-1.39,-0.95,-4.03,-0.35,0,0,1
-0.58,0.43,2.05,-1.23,-1.1,-2.21,-1.01,-0.1,0,0,1
0.49,0.87,1.44,-1.64,0.27,-1.88,-1.49,1.22,0,0,1
-1.02,-0.99,0.01,-0.63,-1.15,-2.93,-0.46,-3.08,0,0,1
1.11,3.33,-1.03,1.02,1.36,2.34,1.88,2.42,0,0,1
-1.5,-1.75,0.25,-2.02,0.34,0.28,-0.81,0.8,0,0,1
-3.46,-2.05,-2.99,0.89,0.1,-1.82,2.0,-3.87,0,0,1
-0.32,1.2,2.2,-3.23,1.63,-0.12,-2.18,4.34,0,0,1
-2.71,1.53,0.94,-0.76,-5.0,1.35,0.02,-1.65,0,0,1
1.39,-0.25,0.15,-3.41,1.84,0.53,-1.76,1.2,0,0,1
