,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,0.9361111111,0.7000000000000001,0.962345679,0.6865868946,0.8206055716,0.5,0.8311728395
1,0.6577777778,0.3722222222,0.6895061728,0.1783947817,0.5057995053000001,0.0,0.5308641975
2,0.6716666667,0.3444444444,0.7080246914,0.1728978093,0.49205085390000003,0.33333333330000003,0.5262345679
3,0.31555555560000004,0.48888888890000004,0.2962962963,0.1252800123,0.3805208471,0.6666666667000001,0.3925925926
4,0.6872222222000001,0.27222222220000003,0.7333333333000001,0.147831433,0.4454426883,0.0,0.5027777778
5,0.385,0.1722222222,0.4086419753,0.053061224500000004,0.26526063650000004,0.1666666667,0.29043209880000004
6,0.37666666670000004,0.5,0.362962963,0.1380088589,0.4243497384,0.6666666667000001,0.43148148150000004
7,0.6183333333000001,0.6555555556,0.6141975309000001,0.2557507364,0.6345396488,1.0,0.6348765432
8,0.5138888889000001,0.5722222222000001,0.5074074074,0.19082125600000002,0.5387909319,0.6666666667000001,0.5398148148
9,0.9344444444000001,0.7000000000000001,0.9604938272,0.6810151556,0.8198155727,0.5,0.8302469136
10,0.6061111111,0.5,0.6179012346,0.20225851520000002,0.5544715556,0.5,0.5589506173000001
11,0.6694444444000001,0.3444444444,0.7055555556,0.17136915900000002,0.4891898586,0.33333333330000003,0.525
12,0.31055555560000003,0.5,0.2895061728,0.1266362524,0.37980847560000003,0.6666666667000001,0.3947530864
13,0.6755555556,0.27222222220000003,0.7203703704000001,0.1434939696,0.44160832400000005,0.0,0.4962962963
14,0.3872222222,0.1944444444,0.4086419753,0.0597358648,0.2817712933,0.1666666667,0.3015432099
15,0.3966666667,0.4944444444,0.3858024691,0.1402291192,0.43394172470000003,0.6666666667000001,0.44012345680000003
16,0.6122222222,0.6222222222,0.6111111111,0.2430725259,0.6166400858000001,1.0,0.6166666667
17,0.515,0.5444444444000001,0.5117283951,0.18383677750000002,0.5277776268000001,0.6666666667000001,0.5280864198
18,0.9366666667,0.7111111111,0.9617283951000001,0.6920000000000001,0.8269575610000001,0.5,0.8364197531
19,0.6577777778,0.36666666670000003,0.6901234568,0.1763085399,0.5026807092,0.0,0.5283950617000001
20,0.6616666667000001,0.36666666670000003,0.6944444444,0.1777925311,0.5034457219,0.33333333330000003,0.5305555556
21,0.3261111111,0.4666666667,0.3104938272,0.12201331200000001,0.38037911550000003,0.6666666667000001,0.38858024690000004
22,0.6916666667,0.3166666667,0.7333333333000001,0.1703296703,0.48155098090000004,0.0,0.525
23,0.35111111110000004,0.1611111111,0.3722222222,0.0473306901,0.244680104,0.1666666667,0.2666666667
24,0.3977777778,0.5111111111000001,0.3851851852,0.1448697501,0.4427026986,0.6666666667000001,0.44814814810000003
25,0.5866666667,0.65,0.5796296296,0.23930471120000002,0.6137931535000001,1.0,0.6148148148
26,0.5083333333,0.5555555556,0.5030864198,0.1845148316,0.528315643,0.6666666667000001,0.5293209877
27,0.9627777778000001,0.6277777778,1.0,0.7683603525,0.7906916191000001,0.33333333330000003,0.8138888889
28,0.6088888889,0.3611111111,0.6364197531,0.1556482447,0.4779371331,0.1666666667,0.4987654321
29,0.6244444444,0.4166666667,0.6475308642000001,0.1815649353,0.5192247534000001,0.33333333330000003,0.5320987654
30,0.33722222220000003,0.5555555556,0.31296296300000004,0.14365381300000002,0.4169088278,0.6666666667000001,0.43425925930000003
31,0.7294444444,0.27222222220000003,0.7802469136,0.1673539882,0.45963311360000003,0.0,0.5262345679
32,0.3611111111,0.1555555556,0.3839506173,0.0464268372,0.2442971361,0.1666666667,0.2697530864
33,0.4211111111,0.5666666667,0.4049382716,0.16366564190000002,0.47866285140000003,1.0,0.4858024691
34,0.6066666667,0.6388888889000001,0.6030864198,0.24535807180000002,0.6207247100000001,1.0,0.6209876543
35,0.4244444444,0.5166666667,0.4141975309,0.1522586046,0.46189133600000004,0.8333333333,0.4654320988
36,0.9327777778,0.7388888889,0.9543209877000001,0.6876077852,0.8396436656,0.5,0.8466049383
37,0.6077777778,0.5055555556,0.6191358025,0.20495495500000002,0.5594568894,0.0,0.562345679
38,0.6677777778,0.3888888889,0.6987654321,0.18953120510000002,0.5195988847,0.6666666667000001,0.5438271605
39,0.245,0.4944444444,0.2172839506,0.1159059115,0.3273046345,0.6666666667000001,0.35586419750000003
40,0.6288888889,0.3777777778,0.6567901235,0.1693438757,0.4956102928,0.0,0.5172839506
41,0.3738888889,0.15,0.39876543210000004,0.045817359700000004,0.2440912017,0.1666666667,0.274382716
42,0.395,0.5722222222000001,0.375308642,0.15914339700000002,0.4631446621,1.0,0.4737654321
43,0.56,0.6555555556,0.549382716,0.2296962271,0.6001179234,1.0,0.6024691358
44,0.4377777778,0.4055555556,0.4413580247,0.1261170327,0.42287022900000004,0.8333333333,0.42345679010000004
45,0.9427777778,0.9433333333,0.9426666667,0.8460191769000001,0.9429856463,0.1666666667,0.9430000000000001
46,0.54,0.5133333333,0.5453333333,0.2711582043,0.5287528905000001,0.1666666667,0.5293333333
47,0.6977777778,0.22,0.7933333333,0.19286442410000001,0.41250675070000004,0.1666666667,0.5066666667
48,0.2738888889,0.13,0.30266666670000003,0.0558325514,0.1948418644,0.8333333333,0.2163333333
49,0.605,0.2366666667,0.6786666667,0.1673489491,0.4001959377,0.0,0.4576666667
50,0.655,0.30000000000000004,0.726,0.2248215532,0.46667638510000004,0.5,0.513
51,0.6755555556,0.6833333333,0.674,0.4124619691,0.6786343930000001,1.0,0.6786666667
52,0.3444444444,0.3866666667,0.336,0.1642075901,0.36,0.8333333333,0.3613333333
53,0.5,0.27333333330000004,0.5453333333,0.1541497573,0.3859086845,0.8333333333,0.4093333333
54,0.9427777778,0.9366666667,0.9440000000000001,0.8450803745000001,0.9402913837,0.1666666667,0.9403333333
55,0.5188888889000001,0.52,0.5186666667000001,0.265497076,0.5192742397,0.8333333333,0.5193333333
56,0.6994444444,0.23,0.7933333333,0.2001775073,0.41821734120000004,0.1666666667,0.5116666667
57,0.245,0.15,0.264,0.0620143149,0.1980583588,0.8333333333,0.20700000000000002
58,0.6027777778,0.2166666667,0.68,0.15469554600000002,0.3837360071,0.0,0.4483333333
59,0.6627777778,0.41000000000000003,0.7133333333,0.2884962701,0.5402864987,0.1666666667,0.5616666667
60,0.6744444444000001,0.6933333333,0.6706666667,0.4151678988,0.6815907862,0.8333333333,0.682
61,0.3505555556,0.3633333333,0.34800000000000003,0.1571472915,0.3554324267,0.8333333333,0.3556666667
62,0.4388888889,0.2933333333,0.468,0.148260161,0.3701040325,0.8333333333,0.3806666667
63,0.9438888889,0.9166666667000001,0.9493333333,0.8448616741,0.9328510886,0.1666666667,0.933
64,0.5433333333,0.4566666667,0.5606666667,0.25019444900000004,0.5055469803,0.8333333333,0.5086666667
65,0.7272222222,0.3366666667,0.8053333333,0.2852009186,0.5120531819,0.1666666667,0.5710000000000001
66,0.29,0.1933333333,0.3093333333,0.0828747011,0.2428707337,1.0,0.2513333333
67,0.5933333333,0.24,0.664,0.1651706394,0.3980848917,0.0,0.452
68,0.645,0.3166666667,0.7106666667,0.2292671357,0.4743639371,0.5,0.5136666667
69,0.6505555556,0.6933333333,0.642,0.39812284330000003,0.6671728051,1.0,0.6676666667000001
70,0.3272222222,0.33,0.3266666667,0.1404785714,0.3281645086,0.8333333333,0.32833333330000003
71,0.455,0.3033333333,0.4853333333,0.1564386962,0.383496459,0.8333333333,0.39433333330000003
72,0.9516666667,0.9633333333,0.9493333333,0.8691587515,0.9562984345000001,0.1666666667,0.9563333333
73,0.58,0.55,0.586,0.3035784388,0.5672489789,0.1666666667,0.5680000000000001
74,0.67,0.2433333333,0.7553333333000001,0.19358650870000002,0.41738061470000004,0.1666666667,0.4993333333
75,0.24388888890000002,0.09,0.2746666667,0.038069610000000004,0.155345118,0.8333333333,0.1823333333
76,0.5827777778000001,0.24,0.6513333333,0.1613448854,0.39494517290000003,0.0,0.4456666667
77,0.6388888889000001,0.35000000000000003,0.6966666667,0.24409370660000002,0.4935854102,0.6666666667000001,0.5233333333
78,0.7483333333000001,0.6466666667000001,0.7686666667000001,0.46136248090000004,0.7050306334,1.0,0.7076666667
79,0.3138888889,0.3966666667,0.2973333333,0.1615743355,0.3433340197,0.8333333333,0.34700000000000003
80,0.4766666667,0.2633333333,0.5193333333,0.14389389390000001,0.3694144395,0.8333333333,0.39133333330000003
81,0.8766666667,0.99,0.854,0.7279066612,0.9194654138,0.5,0.922
82,0.5088888889000001,0.3866666667,0.5333333333,0.20811287480000001,0.4541102712,0.1666666667,0.46
83,0.6305555556,0.2466666667,0.7073333333,0.180212543,0.41373025290000004,0.1666666667,0.47700000000000004
84,0.2388888889,0.19,0.2486666667,0.0767939914,0.21718414390000002,1.0,0.21933333330000002
85,0.6944444444,0.1766666667,0.798,0.1617521368,0.375104887,0.0,0.4873333333
86,0.6327777778,0.4766666667,0.664,0.303700951,0.5623664823,0.5,0.5703333333
