,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,0.9538888889,0.5666666667,0.9969135802,0.7065410661,0.7488733027000001,0.33333333330000003,0.7817901235
1,0.3655555556,0.5222222222,0.3481481481,0.1412928055,0.4259006201,0.5,0.4351851852
2,0.7688888889000001,0.09444444440000001,0.8438271605000001,0.07589156700000001,0.2821244276,0.5,0.46913580250000003
3,0.49555555560000003,0.2555555556,0.5222222222,0.0919335166,0.3650451411,0.33333333330000003,0.3888888889
4,0.5700000000000001,0.4166666667,0.587037037,0.16222222220000002,0.4940965594,0.5,0.5018518519
5,0.2705555556,0.7388888889,0.2185185185,0.16765331190000002,0.3984525686,0.6666666667000001,0.47870370370000004
6,0.515,0.28888888890000003,0.5401234568000001,0.10615584530000001,0.39319751900000005,0.5,0.4145061728
7,0.7938888889,0.1944444444,0.8604938272,0.1548654244,0.399372184,0.33333333330000003,0.5274691358
8,0.49666666670000004,0.0388888889,0.5475308642,0.0152525058,0.1453052447,0.0,0.2932098765
9,0.9533333333,0.5611111111,0.9969135802,0.7034013605,0.7460206805,0.33333333330000003,0.7790123457
10,0.3822222222,0.42777777780000004,0.3771604938,0.1213382293,0.3996898015,0.5,0.4024691358
11,0.9,0.0,1.0,0.0,0.0,0.0,0.5
12,0.5094444444,0.2333333333,0.5401234568000001,0.08668024120000001,0.354250809,0.33333333330000003,0.3867283951
13,0.595,0.3111111111,0.6265432099,0.1326675418,0.44000848210000004,0.5,0.4688271605
14,0.9,0.0,1.0,0.0,0.0,0.0,0.5
15,0.5005555556,0.28888888890000003,0.5240740741000001,0.1033023509,0.38714862850000004,0.5,0.4064814815
16,0.7655555556,0.1944444444,0.8290123457,0.13948024550000002,0.3921189067,0.1666666667,0.5117283951
17,0.48,0.044444444400000005,0.5283950617000001,0.0168803419,0.1512470062,0.1666666667,0.2864197531
18,0.9533333333,0.5722222222000001,0.9956790123,0.7066666667,0.7525496783000001,0.33333333330000003,0.7839506173
19,0.3738888889,0.5,0.3598765432,0.1374592664,0.4229887363,0.5,0.42993827160000003
20,0.7794444444,0.09444444440000001,0.8555555556000001,0.0792179123,0.2840721288,0.33333333330000003,0.47500000000000003
21,0.4994444444,0.2388888889,0.5283950617000001,0.08703703700000001,0.35486040220000004,0.33333333330000003,0.3836419753
22,0.5911111111,0.3166666667,0.6216049383000001,0.1333219501,0.44071742010000003,0.5,0.46913580250000003
23,0.9,0.0,1.0,0.0,0.0,0.0,0.5
24,0.5833333333,0.2833333333,0.6166666667,0.11908488860000001,0.4160666437,0.6666666667000001,0.45
25,0.725,0.2166666667,0.7814814815000001,0.1332066207,0.402000419,0.33333333330000003,0.49907407410000004
26,0.4538888889,0.0833333333,0.4950617284,0.0296150627,0.2031135446,0.1666666667,0.2891975309
27,0.9527777778000001,0.5722222222000001,0.9950617284000001,0.7044688645,0.7523419607,0.33333333330000003,0.7836419753
28,0.4755555556,0.5333333333,0.46913580250000003,0.1688428325,0.49962386420000005,0.5,0.5012345679
29,0.6411111111000001,0.2611111111,0.6833333333,0.1270421206,0.4222407924,0.6666666667000001,0.47222222220000004
30,0.4588888889,0.2777777778,0.4790123457,0.0930939489,0.3646403767,0.33333333330000003,0.37839506170000003
31,0.5516666667,0.2333333333,0.587037037,0.09437602020000001,0.3697590107,0.1666666667,0.4101851852
32,0.5583333333,0.5444444444000001,0.5598765432,0.19777347210000001,0.5520888509,0.1666666667,0.5521604938
33,0.5911111111,0.2222222222,0.6320987654,0.09758351100000001,0.3719435212,0.5,0.42716049380000004
34,0.7744444444,0.2166666667,0.8364197531,0.1574675325,0.4160257671,0.33333333330000003,0.5265432099
35,0.3594444444,0.0555555556,0.3932098765,0.0169521189,0.14568275990000001,0.33333333330000003,0.224382716
36,0.9511111111,0.5555555556,0.9950617284000001,0.6909090909000001,0.7411631218,0.33333333330000003,0.775308642
37,0.36,0.45,0.35000000000000003,0.12297741320000001,0.3948078076,0.5,0.4
38,0.1,1.0,0.0,0.1818181818,0.0,1.0,0.5
