Classifier_name,total_ranks,avg_ranks,final_ranks
SVCpoly,43.0,6.142857142857143,1
SVC,44.0,6.285714285714286,2
NuSVCpoly,49.0,7.0,3
SVCrbf,54.0,7.714285714285714,4
SVClinear,56.0,8.0,5
NuSVC,58.0,8.285714285714286,6
SGDClassifier,60.0,8.571428571428571,7
NuSVCrbf,62.0,8.857142857142858,8
RidgeClassifier,65.0,9.285714285714286,9
KNeighborsClassifier,66.0,9.428571428571429,10
DecisionTreeClassifier,67.0,9.571428571428571,11
NuSVClinear,68.0,9.714285714285714,12
SVCsigmoid,71.0,10.142857142857142,13
ExtraTreeClassifier,72.0,10.285714285714286,14
NuSVCsigmoid,73.0,10.428571428571429,15
GaussianProcessClassifier,76.0,10.857142857142858,16
GaussianNB,87.0,12.428571428571429,17
