,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,0.7866666667000001,0.7000000000000001,0.7962962963,0.3941284404,0.7436453061,0.5,0.7481481481000001
1,0.4311111111,0.39444444440000004,0.4351851852,0.1213707426,0.41183842,0.5,0.41481481480000004
2,0.3044444444,0.5777777778000001,0.2740740741,0.1425869344,0.3978610507,0.5,0.4259259259
3,0.4505555556,0.28888888890000003,0.46851851850000004,0.0950960094,0.36766293780000003,0.33333333330000003,0.3787037037
4,0.67,0.3722222222,0.7030864198,0.1840669456,0.5114988578,0.8333333333,0.537654321
5,0.5855555556,0.8888888889000001,0.5518518519,0.3001544679,0.7002432784,0.8333333333,0.7203703704000001
6,0.5605555556,0.27222222220000003,0.5925925926,0.1095104305,0.3975021757,0.5,0.4324074074
7,0.7922222222,0.2111111111,0.8567901235000001,0.1652168969,0.4167053518,0.33333333330000003,0.5339506173
8,0.5338888889,0.1944444444,0.5716049383,0.07626276700000001,0.3256459018,0.1666666667,0.3830246914
9,0.8972222222,0.48888888890000004,0.9425925926000001,0.48862471820000003,0.6775997766,0.33333333330000003,0.7157407407
10,0.4261111111,0.4444444444,0.42407407410000003,0.13374735270000002,0.43269358690000004,0.5,0.43425925930000003
11,0.8161111111,0.27222222220000003,0.8765432099,0.2278683285,0.4876261248,0.6666666667000001,0.574382716
12,0.5133333333,0.25,0.5425925926,0.0930173293,0.3676925494,0.33333333330000003,0.3962962963
13,0.7088888889,0.2333333333,0.7617283951,0.1360531516,0.4163628521,0.1666666667,0.49753086420000003
14,0.5016666667,0.3888888889,0.5141975309,0.1350087962,0.44715959,0.8333333333,0.4515432099
15,0.5633333333,0.2777777778,0.5950617284,0.11179808840000001,0.4015002549,0.1666666667,0.43641975310000003
16,0.8277777778000001,0.2,0.8975308642000001,0.1853171775,0.41733344310000003,0.33333333330000003,0.5487654321000001
17,0.3888888889,0.1,0.4209876543,0.0314836229,0.20295993680000002,0.33333333330000003,0.2604938272
18,0.8227777778,0.7055555556,0.8358024691,0.44194297390000004,0.765589241,0.5,0.7706790123
19,0.44,0.4444444444,0.43950617280000004,0.1365277778,0.4397776384,0.5,0.4419753086
