,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,0.7683333333,0.7222222222,0.7734567901,0.3836879293,0.7461715356,0.5,0.7478395062000001
1,0.4411111111,0.42777777780000004,0.4425925926,0.1324162369,0.43370276690000004,0.5,0.4351851852
2,0.7055555556,0.2388888889,0.7574074074,0.1393541325,0.4244337492,0.6666666667000001,0.4981481481
3,0.3661111111,0.45,0.3567901235,0.1241007356,0.3996979487,0.33333333330000003,0.4033950617
4,0.6816666667,0.42777777780000004,0.7098765432,0.2120593257,0.5510619824,0.5,0.5688271605
5,0.3594444444,0.5944444444,0.33333333330000003,0.1558852719,0.44251115490000004,0.6666666667000001,0.4638888889
6,0.6905555556,0.2388888889,0.7407407407000001,0.1314698929,0.41454463490000004,0.1666666667,0.4898148148
7,0.7877777778,0.2166666667,0.8512345679000001,0.16552511420000002,0.4197022555,0.33333333330000003,0.5339506173
8,0.4211111111,0.1166666667,0.4549382716,0.0387352505,0.2293145537,0.5,0.2858024691
9,0.7677777778,0.7388888889,0.7709876543,0.38837991720000004,0.7535393358,0.6666666667000001,0.7549382716
10,0.425,0.39444444440000004,0.4283950617,0.1203479994,0.4087904147,0.5,0.4114197531
11,0.6677777778,0.1833333333,0.7216049383,0.0994539995,0.36306770580000003,0.5,0.45246913580000003
12,0.36666666670000003,0.4,0.362962963,0.1120946548,0.3807710714,0.33333333330000003,0.3814814815
13,0.6872222222000001,0.42777777780000004,0.7160493827000001,0.2151850395,0.5534511941,0.5,0.5719135802
14,0.3338888889,0.6111111111,0.3030864198,0.1544419619,0.4279249992,0.6666666667000001,0.4570987654
15,0.68,0.2277777778,0.7302469136,0.12212918660000001,0.4001804272,0.1666666667,0.4790123457
16,0.8172222222000001,0.2055555556,0.8851851852,0.18037957770000002,0.41917289100000005,0.33333333330000003,0.5453703704
17,0.4255555556,0.15,0.45617283950000004,0.049642583500000004,0.2608874647,0.5,0.3030864198
18,0.7577777778,0.7388888889,0.7598765432,0.3784328175,0.7480915751,0.6666666667000001,0.7493827160000001
19,0.43055555560000003,0.4,0.4339506173,0.1227919784,0.41477995430000003,0.5,0.41697530860000004
20,0.7105555556,0.2277777778,0.7641975309,0.1358333536,0.4168827084,0.6666666667000001,0.4959876543
21,0.35388888890000003,0.4666666667,0.34135802470000004,0.1260118587,0.3982003383,0.33333333330000003,0.4040123457
22,0.675,0.3888888889,0.7067901235,0.1931085687,0.5242043499,0.8333333333,0.5478395062
23,0.3655555556,0.5944444444,0.3401234568,0.1572264327,0.4472553383,0.6666666667000001,0.4672839506
24,0.7138888889,0.2222222222,0.7685185185000001,0.1326355977,0.4069429471,0.33333333330000003,0.49537037040000004
25,0.7727777778,0.2166666667,0.8345679012,0.1554462062,0.4105205939,0.33333333330000003,0.5256172840000001
26,0.4177777778,0.1388888889,0.44876543210000003,0.045537340600000004,0.2482585195,0.1666666667,0.2938271605
27,0.7838888889000001,0.7222222222,0.7907407407,0.40013783,0.7544347046000001,0.5,0.7564814815
28,0.445,0.4388888889,0.4456790123,0.1360525324,0.4401879213,0.5,0.44228395060000003
29,0.7133333333,0.2555555556,0.7641975309,0.15029175960000002,0.4392393576,0.33333333330000003,0.5098765432
30,0.3861111111,0.4055555556,0.3839506173,0.11667245970000001,0.3944566141,0.33333333330000003,0.3947530864
31,0.6916666667,0.3833333333,0.7259259259,0.1993964335,0.5274834147,0.5,0.5546296296000001
32,0.33,0.6111111111,0.2987654321,0.1537922324,0.4252498953,0.6666666667000001,0.4549382716
33,0.6366666667,0.27222222220000003,0.6771604938,0.1283047572,0.4217386447,0.1666666667,0.474691358
34,0.7083333333,0.4,0.7425925926,0.21460927540000002,0.5438621204,0.33333333330000003,0.5712962963
35,0.37555555560000004,0.1,0.4061728395,0.031046461100000002,0.2015078569,0.33333333330000003,0.2530864198
36,0.7405555556000001,0.7277777778000001,0.7419753086,0.3593964335,0.7339505424,0.5,0.7348765432000001
37,0.3883333333,0.4,0.38703703700000003,0.1154671033,0.3920044226,0.5,0.3935185185
38,0.7166666667,0.2277777778,0.7709876543,0.13782051280000002,0.41735289940000003,0.6666666667000001,0.499382716
39,0.3133333333,0.35000000000000003,0.30925925930000003,0.0924034249,0.3280528307,0.33333333330000003,0.32962962960000003
40,0.6505555556,0.41111111110000004,0.6771604938,0.1905016484,0.5276121032000001,0.8333333333,0.5441358025
41,0.25,0.7611111111000001,0.19320987650000002,0.1680602007,0.3806583687,0.6666666667000001,0.47716049380000003
42,0.5777777778000001,0.36666666670000003,0.6012345679000001,0.14686118480000002,0.4654590838,0.33333333330000003,0.4839506173
43,0.7127777778000001,0.2666666667,0.762345679,0.1551304132,0.4468409699,0.33333333330000003,0.5145061728
44,0.3922222222,0.2333333333,0.4098765432,0.0710389555,0.3037185746,0.1666666667,0.32160493830000003
45,0.6688888889,0.8200000000000001,0.6386666667,0.4522974228,0.7236518095000001,0.1666666667,0.7293333333
46,0.3888888889,0.40333333330000004,0.386,0.1801713586,0.39397542750000003,0.8333333333,0.3946666667
47,0.4294444444,0.37,0.4413333333,0.1775045661,0.40341145370000003,0.6666666667000001,0.4056666667
48,0.5461111111,0.34,0.5873333333,0.1997377659,0.44658125800000004,0.1666666667,0.4636666667
49,0.5611111111,0.5233333333,0.5686666667,0.2845030316,0.5453247394,0.33333333330000003,0.546
50,0.5305555556,0.5666666667,0.5233333333,0.286969697,0.5444930105,0.5,0.545
51,0.5211111111,0.36666666670000003,0.552,0.2035369012,0.4495665884,0.6666666667000001,0.45933333330000004
52,0.46833333330000004,0.28,0.506,0.14936398380000002,0.3763327427,0.8333333333,0.393
53,0.46722222220000004,0.61,0.43866666670000004,0.27619037760000004,0.5171586349,0.33333333330000003,0.5243333333
54,0.6611111111,0.8133333333,0.6306666667,0.4444740662,0.7161715618000001,0.1666666667,0.722
55,0.39833333330000004,0.4,0.398,0.18135245900000002,0.3986959519,0.8333333333,0.399
56,0.4027777778,0.3833333333,0.4066666667,0.1762468161,0.3947568092,0.5,0.395
57,0.5061111111000001,0.25,0.5573333333,0.1440493746,0.3724454971,0.1666666667,0.4036666667
58,0.5622222222000001,0.5366666667000001,0.5673333333,0.2901914503,0.5514710819,0.33333333330000003,0.552
59,0.5455555556,0.5733333333,0.54,0.2959183673,0.5561903825,0.5,0.5566666667
60,0.5188888889000001,0.36666666670000003,0.5493333333,0.2030020704,0.4487674787,0.6666666667000001,0.458
61,0.4666666667,0.2833333333,0.5033333333,0.1504552552,0.3774882766,0.8333333333,0.39333333330000003
62,0.4577777778,0.5933333333,0.43066666670000003,0.2672674214,0.5053748948,0.33333333330000003,0.512
63,0.6666666667000001,0.8166666667,0.6366666667,0.449495401,0.7208506293,0.1666666667,0.7266666667
64,0.39833333330000004,0.3966666667,0.3986666667,0.1800630252,0.3972396362,0.8333333333,0.3976666667
65,0.46222222220000003,0.5233333333,0.45,0.24499028290000002,0.4851496008,0.5,0.48666666670000003
66,0.6000000000000001,0.4466666667,0.6306666667,0.2712991629,0.5306082520000001,0.1666666667,0.5386666667000001
67,0.5355555556,0.5066666667,0.5413333333,0.2668099647,0.5235910152000001,0.0,0.524
68,0.5005555556,0.5633333333,0.488,0.2732384812,0.5242112032,0.6666666667000001,0.5256666667000001
69,0.5194444444,0.36666666670000003,0.55,0.2029734971,0.4487522014,0.6666666667000001,0.45833333330000003
70,0.47611111110000004,0.2933333333,0.5126666667,0.1573239931,0.3876665483,0.8333333333,0.403
71,0.44555555560000004,0.6033333333,0.41400000000000003,0.26626024330000003,0.4994753147,0.5,0.5086666667
72,0.6527777778,0.8233333333,0.6186666667,0.44152814230000004,0.7136555404,0.1666666667,0.721
73,0.3961111111,0.42666666670000003,0.39,0.1905244147,0.4075903555,0.8333333333,0.4083333333
74,0.3761111111,0.43,0.3653333333,0.18679917370000002,0.3962883237,0.5,0.3976666667
75,0.5427777778,0.30666666670000003,0.59,0.18215788360000001,0.4241730046,0.1666666667,0.4483333333
76,0.5338888889,0.5033333333,0.54,0.2647050698,0.5211077795,0.33333333330000003,0.5216666667000001
77,0.5627777778,0.55,0.5653333333,0.2953852133,0.5575071643,0.5,0.5576666667
78,0.5288888889,0.3633333333,0.562,0.2044785567,0.4515208221,0.6666666667000001,0.4626666667
79,0.4727777778,0.3266666667,0.502,0.17118540810000002,0.4049256828,0.8333333333,0.4143333333
80,0.4516666667,0.61,0.42,0.2704874317,0.5059581938000001,0.5,0.515
81,0.6566666667000001,0.81,0.626,0.44037780400000004,0.7120356544,0.1666666667,0.718
82,0.38944444440000003,0.4166666667,0.384,0.1852417913,0.399771182,0.8333333333,0.40033333330000004
83,0.4477777778,0.42666666670000003,0.452,0.2044999055,0.4384585781,0.6666666667000001,0.4393333333
84,0.6011111111,0.49,0.6233333333000001,0.29049633150000004,0.5524659945,0.1666666667,0.5566666667
85,0.5577777778,0.5133333333,0.5666666667,0.2792567089,0.5391979866000001,0.33333333330000003,0.54
86,0.6061111111,0.5833333333,0.6106666667,0.330527102,0.5968381850000001,0.1666666667,0.597
87,0.48777777780000003,0.35000000000000003,0.5153333333,0.1854050019,0.4240553459,0.6666666667000001,0.43266666670000004
88,0.4605555556,0.3033333333,0.492,0.1578373016,0.386165641,0.8333333333,0.3976666667
89,0.4272222222,0.54,0.4046666667,0.23913096450000002,0.4674407916,0.5,0.4723333333
90,0.5750000000000001,0.6095238095000001,0.5644927536000001,0.4010329952,0.5865759881,0.5,0.5870082816000001
91,0.5638888889,0.42380952380000003,0.6065217391000001,0.31203355520000003,0.5069714152,0.5,0.5151656315
92,0.42777777780000004,0.5523809524000001,0.3898550725,0.3104216233,0.4637918789,0.5,0.4711180124
93,0.47611111110000004,0.6261904762,0.4304347826,0.35810258640000003,0.5191499142,0.0,0.5283126294
94,0.4666666667,0.37857142860000004,0.4934782609,0.2487824055,0.43211211730000004,0.8333333333,0.4360248447
95,0.5272222222,0.3547619048,0.5797101449000001,0.2592522437,0.4533302145,0.6666666667000001,0.46723602480000004
96,0.455,0.569047619,0.4202898551,0.3276199527,0.4890299363,0.5,0.49466873710000003
97,0.5788888889,0.5476190476,0.5884057971000001,0.37770968660000004,0.5676009731,0.0,0.5680124224
98,0.5488888889,0.49761904760000003,0.5644927536000001,0.3396136521,0.529678414,0.5,0.5310559006000001
99,0.5811111111,0.6119047619,0.5717391304,0.4054637655,0.5914730380000001,0.5,0.5918219462000001
100,0.5605555556,0.4285714286,0.6007246377000001,0.3127901073,0.5073216282,0.5,0.5146480331000001
101,0.4294444444,0.5285714286000001,0.3992753623,0.3016112046,0.45897173820000003,0.5,0.4639233954
102,0.4744444444,0.6357142857,0.4253623188,0.36086504880000003,0.5200041227000001,0.0,0.5305383023
103,0.4627777778,0.380952381,0.4876811594,0.24864281470000002,0.4309903181,0.8333333333,0.43431677020000004
104,0.5205555556,0.33809523810000003,0.5760869565,0.247536153,0.44121882760000003,0.6666666667000001,0.4570910973
105,0.4566666667,0.5642857143000001,0.42391304350000003,0.3264913951,0.48908810300000005,0.33333333330000003,0.4940993789
106,0.5805555556,0.5380952381,0.5934782609,0.3745374258,0.5651026435000001,0.0,0.5657867495000001
107,0.555,0.5166666667,0.5666666667,0.3508445034,0.5403523605,0.5,0.5416666667
108,0.5805555556,0.6142857143,0.5702898551000001,0.4061638281,0.5917938863000001,0.5,0.5922877847
109,0.5861111111,0.46428571430000004,0.6231884058,0.3436128678,0.5379008072,0.0,0.54373706
110,0.42277777780000003,0.5404761905000001,0.3869565217,0.30395314630000003,0.45705712390000003,0.6666666667000001,0.4637163561
111,0.4755555556,0.6357142857,0.42681159420000003,0.3613638226,0.5208863611,0.0,0.53126294
112,0.4688888889,0.3880952381,0.4934782609,0.254216641,0.4374709231,0.8333333333,0.4407867495
113,0.5272222222,0.36904761900000005,0.5753623188,0.26699003390000003,0.4607451698,0.6666666667000001,0.4722049689
114,0.45333333330000003,0.5714285714,0.4173913043,0.3278716117,0.4883708531,0.5,0.49440993790000004
115,0.5833333333,0.5523809524000001,0.5927536232,0.3821949222,0.5721802419,0.0,0.5725672878
116,0.5477777778,0.5119047619,0.5586956522000001,0.34524466940000004,0.534238175,0.5,0.535300207
117,0.5805555556,0.6285714286,0.565942029,0.41166512520000004,0.5963732712,0.1666666667,0.5972567288
118,0.5611111111,0.4,0.6101449275,0.2984589499,0.4940012928,0.5,0.5050724638
119,0.42388888890000004,0.5642857143000001,0.3811594203,0.3134823921,0.4633111378,0.6666666667000001,0.4727225673
120,0.47000000000000003,0.6357142857,0.4195652174,0.35891497980000003,0.5164504747,0.0,0.5276397516
121,0.46222222220000003,0.4,0.48115942030000003,0.2575319506,0.4384594833,0.8333333333,0.4405797101
122,0.5088888889000001,0.29285714290000003,0.5746376812,0.21761403510000002,0.410001386,0.6666666667000001,0.43374741200000005
123,0.4411111111,0.5404761905000001,0.4108695652,0.31072926430000003,0.4709043345,0.5,0.4756728778
124,0.5411111111,0.5595238095,0.5355072464,0.36261290090000003,0.5473309391,0.0,0.547515528
125,0.5572222222000001,0.5547619048,0.5579710145,0.3687902825,0.5561497762000001,0.5,0.5563664596
126,0.5705555556,0.5928571429,0.5637681159,0.3918228664,0.578010433,0.5,0.5783126294000001
127,0.5433333333,0.4095238095,0.584057971,0.295037942,0.4890310413,0.5,0.4967908903
128,0.42388888890000004,0.6071428571,0.36811594200000003,0.3296133707,0.4726790658,0.6666666667000001,0.4876293996
129,0.4727777778,0.6404761905,0.4217391304,0.36184649999999996,0.5197247572,0.0,0.5311076605
130,0.4505555556,0.4166666667,0.4608695652,0.2611506141,0.4378017953,0.8333333333,0.43876811590000003
131,0.4638888889,0.3357142857,0.5028985507,0.2261284948,0.410849581,1.0,0.41930641820000003
132,0.5444444444000001,0.6261904762,0.5195652174000001,0.39074520030000004,0.5702817248000001,0.1666666667,0.5728778468
133,0.5816666667,0.55,0.5913043478000001,0.38028895770000004,0.5702610959000001,0.0,0.5706521739
134,0.5405555556,0.5071428571000001,0.5507246377,0.3394663589,0.5278005651000001,0.5,0.5289337474
135,0.6438888889000001,0.5055555556,0.6592592593000001,0.2210500611,0.5762829023,0.0,0.5824074074000001
136,0.5455555556,0.3444444444,0.5679012346,0.1316348195,0.44186276490000004,0.1666666667,0.45617283950000004
137,0.585,0.4611111111,0.5987654321,0.1815085723,0.524670372,0.33333333330000003,0.5299382716000001
138,0.4522222222,0.47222222220000004,0.45,0.1468903437,0.4603783272,0.1666666667,0.4611111111
139,0.4744444444,0.5611111111,0.46481481480000003,0.1759346144,0.5106266189,1.0,0.512962963
140,0.5233333333,0.4055555556,0.5364197531,0.1451706609,0.46562809,0.33333333330000003,0.4709876543
141,0.4738888889,0.5388888889,0.4666666667,0.17002172740000002,0.5014173725000001,0.0,0.5027777778
142,0.5988888889,0.5055555556,0.6092592593,0.20155752740000002,0.5549832662,1.0,0.5574074074
143,0.5088888889000001,0.4166666667,0.5191358025,0.14526197300000002,0.46503794130000004,0.0,0.4679012346
144,0.6372222222,0.5,0.6524691358,0.2161579304,0.5706496495,0.0,0.5762345679
145,0.5566666667,0.35000000000000003,0.5796296296,0.13645056220000001,0.4495329233,0.1666666667,0.46481481480000003
146,0.5816666667,0.5388888889,0.5864197531,0.2049491283,0.5620224308,0.6666666667000001,0.562654321
147,0.45444444440000004,0.4611111111,0.4537037037,0.14447714720000002,0.45696649240000004,0.1666666667,0.4574074074
148,0.4677777778,0.5388888889,0.45987654320000004,0.1683399003,0.4975817992,1.0,0.499382716
149,0.53,0.41111111110000004,0.5432098765,0.1487017804,0.4719951832,0.33333333330000003,0.47716049380000003
150,0.4727777778,0.55,0.46419753090000004,0.1726370189,0.5052697583,0.33333333330000003,0.5070987654
151,0.5983333333,0.4833333333,0.6111111111,0.1944136631,0.5434565555,1.0,0.5472222222
152,0.5127777778,0.4166666667,0.5234567901,0.1462168924,0.4669565081,0.1666666667,0.4700617284
153,0.655,0.4777777778,0.674691358,0.21640061230000002,0.5666189004000001,0.0,0.5762345679
154,0.5033333333,0.3555555556,0.5197530864000001,0.1255555556,0.4295335152,0.1666666667,0.437654321
155,0.5822222222,0.5333333333,0.587654321,0.20347803,0.55980487,0.33333333330000003,0.5604938272000001
156,0.46,0.47222222220000004,0.4586419753,0.1484711456,0.4639366801,0.1666666667,0.4654320988
157,0.4833333333,0.5333333333,0.4777777778,0.1711541219,0.5047234469,1.0,0.5055555556
158,0.5194444444,0.42777777780000004,0.5296296296,0.1509258849,0.4753433502,0.33333333330000003,0.47870370370000004
159,0.46333333330000004,0.5611111111,0.45246913580000003,0.1729167486,0.5037817502,0.33333333330000003,0.5067901235
160,0.6122222222,0.4611111111,0.6290123457,0.19259350900000002,0.5385575657,0.6666666667000001,0.5450617284
161,0.5005555556,0.4333333333,0.5080246914000001,0.1481737831,0.46917942770000004,0.0,0.47067901230000003
162,0.64,0.5166666667,0.6537037037,0.22259875040000002,0.5802990170000001,0.33333333330000003,0.5851851852000001
163,0.5611111111,0.4555555556,0.5728395062,0.1713225371,0.5091728877,0.1666666667,0.5141975309
164,0.5572222222000001,0.4777777778,0.5660493827,0.17751556870000001,0.5197536015,0.33333333330000003,0.5219135802
165,0.4377777778,0.5111111111000001,0.4296296296,0.1537710438,0.4679710112,0.1666666667,0.4703703704
166,0.4816666667,0.5555555556,0.4734567901,0.17641965880000002,0.5125610077,1.0,0.5145061728
167,0.5261111111,0.41111111110000004,0.5388888889,0.1476387906,0.47001535040000003,0.33333333330000003,0.47500000000000003
168,0.4744444444,0.5666666667,0.46419753090000004,0.1774287376,0.5125908957,0.33333333330000003,0.5154320988000001
169,0.5716666667,0.5055555556,0.5790123457,0.19137228010000001,0.5409714827000001,1.0,0.5422839506
170,0.49277777780000004,0.4222222222,0.500617284,0.1428024799,0.459750892,0.1666666667,0.4614197531
171,0.6483333333,0.5611111111,0.6580246914,0.24172763930000002,0.6072683935000001,0.6666666667000001,0.6095679012
172,0.5505555556,0.5,0.5561728395000001,0.18212302400000002,0.527278727,0.1666666667,0.5280864198
173,0.5483333333,0.5055555556,0.5530864198000001,0.1830558192,0.5285854684,0.33333333330000003,0.5293209877
174,0.4488888889,0.4833333333,0.4450617284,0.1489986482,0.4629823221,0.1666666667,0.46419753090000004
175,0.4694444444,0.5722222222000001,0.4580246914,0.1772688719,0.5113285665,1.0,0.5151234568
176,0.4994444444,0.4166666667,0.5086419753,0.1423833628,0.4592406147,0.1666666667,0.46265432100000004
177,0.5122222222,0.5555555556,0.5074074074,0.1856578169,0.5305435603,0.33333333330000003,0.5314814815000001
178,0.6155555556,0.45,0.6339506173,0.19003107330000002,0.5340358074,1.0,0.5419753086
179,0.4961111111,0.4666666667,0.499382716,0.1564275708,0.4827077227,0.1666666667,0.48302469140000004
180,0.6655555556,0.56,0.6866666667,0.3582912771,0.6200929744,0.1666666667,0.6233333333000001
181,0.5194444444,0.45333333330000003,0.5326666667000001,0.2391461067,0.49122069700000004,0.5,0.493
182,0.3961111111,0.5533333333,0.36466666670000003,0.23360722900000003,0.44827696110000004,0.5,0.459
183,0.4222222222,0.5833333333,0.39,0.25155128400000004,0.4763555767,0.5,0.48666666670000003
184,0.45833333330000003,0.5733333333,0.4353333333,0.2611421038,0.49958732590000005,0.0,0.5043333333
185,0.6394444444,0.59,0.6493333333,0.3528961798,0.6188159855,0.1666666667,0.6196666667
186,0.5272222222,0.4833333333,0.536,0.254288921,0.5089359499,0.33333333330000003,0.5096666667
187,0.5161111111,0.52,0.5153333333,0.2636739071,0.5174980341000001,0.0,0.5176666667
188,0.4638888889,0.56,0.4446666667,0.2582631801,0.4990120777,0.5,0.5023333333000001
189,0.6572222222,0.5566666667,0.6773333333,0.35143009810000003,0.6140425745,0.1666666667,0.617
190,0.5211111111,0.4566666667,0.534,0.2410627816,0.4934904524,0.5,0.4953333333
191,0.3866666667,0.5333333333,0.3573333333,0.2244173556,0.435847276,0.5,0.4453333333
192,0.40611111110000003,0.5833333333,0.37066666670000004,0.2464673119,0.46459468330000003,0.5,0.47700000000000004
193,0.4605555556,0.5866666667,0.4353333333,0.26625245940000003,0.5053206291,0.0,0.511
194,0.6122222222,0.5533333333,0.624,0.3223382376,0.5875937322,0.1666666667,0.5886666667
195,0.5144444444,0.4766666667,0.522,0.24650987970000002,0.4987195924,0.33333333330000003,0.4993333333
196,0.5172222222,0.52,0.5166666667,0.2641066502,0.5181549206,0.0,0.5183333333
197,0.4733333333,0.55,0.458,0.2582159624,0.5018721762,0.5,0.504
198,0.6588888889,0.5833333333,0.674,0.3631118121,0.6270300289,0.1666666667,0.6286666667
199,0.5122222222,0.45333333330000003,0.524,0.2364229514,0.48718338800000005,0.5,0.48866666670000003
200,0.3883333333,0.5433333333,0.3573333333,0.2282843287,0.4402124163,0.5,0.4503333333
201,0.4027777778,0.5766666667,0.368,0.24316624320000002,0.4599226984,0.5,0.4723333333
202,0.4538888889,0.58,0.42866666670000003,0.26186324580000003,0.4986050246,0.0,0.5043333333
203,0.6088888889,0.5766666667,0.6153333333000001,0.3294578735,0.5955900692,0.1666666667,0.596
204,0.5494444444000001,0.46333333330000004,0.5666666667,0.2553770621,0.5123653831,0.33333333330000003,0.515
205,0.4822222222,0.55,0.4686666667,0.2615228025,0.5076817598,0.8333333333,0.5093333333
206,0.6555555556,0.5733333333,0.672,0.35692348160000004,0.6206003878,0.1666666667,0.6226666667
207,0.5661111111,0.47000000000000003,0.5853333333,0.26528739290000003,0.5245059467000001,0.5,0.5276666667000001
