Value,Type,Score
0.6024133572,SVCsigmoid,G-mean
0.0,SVCsigmoid,G-mean
0.4825656029,SVCsigmoid,G-mean
0.5258135312000001,SVCsigmoid,G-mean
0.4407966677,SVCsigmoid,G-mean
0.4031612186,SVCsigmoid,G-mean
0.1966515977,SVCsigmoid,G-mean
0.5659040998,SVCsigmoid,G-mean
0.0,SVCsigmoid,G-mean
0.6033455405,SVCsigmoid,G-mean
0.5025912009,SVCsigmoid,G-mean
0.4834279181,SVCsigmoid,G-mean
0.5214645038,SVCsigmoid,G-mean
0.4211029141,SVCsigmoid,G-mean
0.4047694208,SVCsigmoid,G-mean
0.2477193867,SVCsigmoid,G-mean
0.5525075463,SVCsigmoid,G-mean
0.5243678521,SVCsigmoid,G-mean
0.5950096925,SVCsigmoid,G-mean
0.0,SVCsigmoid,G-mean
0.481279516,SVCsigmoid,G-mean
0.520589371,SVCsigmoid,G-mean
0.4218358722,SVCsigmoid,G-mean
0.3966576836,SVCsigmoid,G-mean
0.2309988038,SVCsigmoid,G-mean
0.5508723076,SVCsigmoid,G-mean
0.5325122336,SVCsigmoid,G-mean
0.6246349613000001,SVCsigmoid,G-mean
0.5126173053,SVCsigmoid,G-mean
0.4768242179,SVCsigmoid,G-mean
0.5232075408,SVCsigmoid,G-mean
0.4331260699,SVCsigmoid,G-mean
0.3979782602,SVCsigmoid,G-mean
0.1718828062,SVCsigmoid,G-mean
0.5823554367,SVCsigmoid,G-mean
0.0,SVCsigmoid,G-mean
0.6134896485,SVCsigmoid,G-mean
0.0,SVCsigmoid,G-mean
0.4478333424,SVCsigmoid,G-mean
0.5223374623,SVCsigmoid,G-mean
0.3863955687,SVCsigmoid,G-mean
0.4742549477,SVCsigmoid,G-mean
0.5182649616,SVCsigmoid,G-mean
0.5450974531,SVCsigmoid,G-mean
0.0,SVCsigmoid,G-mean
0.7063101957,SVCsigmoid,G-mean
0.0538381902,SVCsigmoid,G-mean
0.0310834936,SVCsigmoid,G-mean
0.0,SVCsigmoid,G-mean
0.0,SVCsigmoid,G-mean
0.4407016586,SVCsigmoid,G-mean
0.5757935382,SVCsigmoid,G-mean
0.4624225118,SVCsigmoid,G-mean
0.4966355112,SVCsigmoid,G-mean
0.7027613502000001,SVCsigmoid,G-mean
0.586403729,SVCsigmoid,G-mean
0.5459250252,SVCsigmoid,G-mean
0.0310834936,SVCsigmoid,G-mean
0.0,SVCsigmoid,G-mean
0.4333680218,SVCsigmoid,G-mean
0.5827982363,SVCsigmoid,G-mean
0.4705216175,SVCsigmoid,G-mean
0.4084362748,SVCsigmoid,G-mean
0.706207117,SVCsigmoid,G-mean
0.6138083556,SVCsigmoid,G-mean
0.0,SVCsigmoid,G-mean
0.4398476759,SVCsigmoid,G-mean
0.0310834936,SVCsigmoid,G-mean
0.4418958448,SVCsigmoid,G-mean
0.0,SVCsigmoid,G-mean
0.4705585043,SVCsigmoid,G-mean
0.4840849796,SVCsigmoid,G-mean
0.6700020037000001,SVCsigmoid,G-mean
0.0,SVCsigmoid,G-mean
0.6391831978,SVCsigmoid,G-mean
0.0,SVCsigmoid,G-mean
