Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy,Type
0.9361,0.7,0.9623,0.6866,0.8206,0.5,0.8312,SVC
0.6578,0.3722,0.6895,0.1784,0.5058,0.0,0.5309,SVC
0.6717,0.3444,0.708,0.1729,0.4921,0.3333,0.5262,SVC
0.3156,0.4889,0.2963,0.1253,0.3805,0.6667,0.3926,SVC
0.6872,0.2722,0.7333,0.1478,0.4454,0.0,0.5028,SVC
0.385,0.1722,0.4086,0.0531,0.2653,0.1667,0.2904,SVC
0.3767,0.5,0.363,0.138,0.4243,0.6667,0.4315,SVC
0.6183,0.6556,0.6142,0.2558,0.6345,1.0,0.6349,SVC
0.5139,0.5722,0.5074,0.1908,0.5388,0.6667,0.5398,SVC
0.9428,0.9433,0.9427,0.846,0.943,0.1667,0.943,SVC
0.54,0.5133,0.5453,0.2712,0.5288,0.1667,0.5293,SVC
0.6978,0.22,0.7933,0.1929,0.4125,0.1667,0.5067,SVC
0.2739,0.13,0.3027,0.0558,0.1948,0.8333,0.2163,SVC
0.605,0.2367,0.6787,0.1673,0.4002,0.0,0.4577,SVC
0.655,0.3,0.726,0.2248,0.4667,0.5,0.513,SVC
0.6756,0.6833,0.674,0.4125,0.6786,1.0,0.6787,SVC
0.3444,0.3867,0.336,0.1642,0.36,0.8333,0.3613,SVC
0.5,0.2733,0.5453,0.1541,0.3859,0.8333,0.4093,SVC
0.8906,0.9667,0.8674,0.8048,0.9157,0.5,0.917,SVC
0.5878,0.169,0.7152,0.1607,0.3475,0.0,0.4421,SVC
0.5944,0.1619,0.7261,0.1571,0.3429,0.5,0.444,SVC
0.3128,0.5262,0.2478,0.2633,0.3611,0.5,0.387,SVC
0.4978,0.3048,0.5565,0.2203,0.411,0.3333,0.4306,SVC
0.5189,0.2119,0.6123,0.1703,0.3598,0.5,0.4121,SVC
0.355,0.519,0.3051,0.2728,0.3973,0.6667,0.4121,SVC
0.4456,0.5143,0.4246,0.3019,0.4669,0.1667,0.4695,SVC
0.5833,0.6714,0.5565,0.4294,0.6112,0.1667,0.614,SVC
0.9611,0.7056,0.9895,0.7834,0.8352,0.1667,0.8475,SVC
0.7028,0.1556,0.7636,0.0949,0.3446,0.3333,0.4596,SVC
0.7244,0.2056,0.7821,0.1302,0.4009,0.0,0.4938,SVC
0.5994,0.4444,0.6167,0.1809,0.5211,0.0,0.5306,SVC
0.7294,0.5,0.7549,0.27,0.6144,0.1667,0.6275,SVC
0.5289,0.3111,0.5531,0.1164,0.4138,0.6667,0.4321,SVC
0.6189,0.4944,0.6327,0.206,0.5592,0.5,0.5636,SVC
0.62,0.4,0.6444,0.1744,0.5072,0.1667,0.5222,SVC
0.5956,0.3056,0.6278,0.1308,0.4367,0.1667,0.4667,SVC
0.935,0.73,0.976,0.7889,0.8439,0.3333,0.853,SVC
0.7339,0.1367,0.8533,0.1455,0.3404,0.0,0.495,SVC
0.6778,0.1233,0.7887,0.1127,0.3108,0.3333,0.456,SVC
0.6094,0.5,0.6313,0.2991,0.5617,0.5,0.5657,SVC
0.4606,0.2767,0.4973,0.1458,0.3703,0.5,0.387,SVC
0.6644,0.29,0.7393,0.2235,0.4628,0.0,0.5147,SVC
0.5367,0.4633,0.5513,0.2503,0.5054,0.0,0.5073,SVC
0.4339,0.4433,0.432,0.2066,0.4366,0.6667,0.4377,SVC
0.6067,0.2867,0.6707,0.1953,0.4381,0.0,0.4787,SVC
0.9272,0.9262,0.9275,0.8559,0.9269,0.3333,0.9269,SVC
0.4511,0.4476,0.4522,0.2758,0.4499,0.5,0.4499,SVC
0.5422,0.1833,0.6514,0.1574,0.3455,0.1667,0.4174,SVC
0.4533,0.3,0.5,0.204,0.3872,0.5,0.4,SVC
0.7856,0.3238,0.9261,0.4125,0.5467,0.5,0.6249,SVC
0.5428,0.4095,0.5833,0.2948,0.4887,0.3333,0.4964,SVC
0.38,0.519,0.3377,0.2809,0.4187,1.0,0.4284,SVC
0.3617,0.45,0.3348,0.2473,0.3877,0.3333,0.3924,SVC
0.6067,0.4119,0.6659,0.3282,0.5237,0.5,0.5389,SVC
0.9794,0.8111,0.9981,0.8863,0.8991,0.5,0.9046,SVC
0.7956,0.2111,0.8605,0.1728,0.4223,0.0,0.5358,SVC
0.8256,0.0167,0.9154,0.0188,0.1235,0.0,0.466,SVC
0.5994,0.3278,0.6296,0.141,0.454,0.5,0.4787,SVC
0.5539,0.1833,0.5951,0.0761,0.3298,0.1667,0.3892,SVC
0.8067,0.1111,0.884,0.1027,0.3126,0.0,0.4975,SVC
0.5,0.3944,0.5117,0.1363,0.4492,0.6667,0.4531,SVC
0.75,0.3056,0.7994,0.1964,0.4942,0.3333,0.5525,SVC
0.7228,0.3222,0.7673,0.1882,0.4955,0.3333,0.5448,SVC
0.9744,0.8633,0.9967,0.9182,0.9274,0.5,0.93,SVC
0.6767,0.1633,0.7793,0.1426,0.3536,0.5,0.4713,SVC
0.7572,0.2333,0.862,0.2426,0.4484,0.6667,0.5477,SVC
0.5367,0.3567,0.5727,0.2045,0.4517,0.6667,0.4647,SVC
0.3994,0.4233,0.3947,0.1903,0.4086,0.6667,0.409,SVC
0.5806,0.2067,0.6553,0.141,0.3679,0.1667,0.431,SVC
0.4972,0.6133,0.474,0.289,0.5391,0.5,0.5437,SVC
0.4722,0.4467,0.4773,0.2208,0.4617,1.0,0.462,SVC
0.5711,0.13,0.6593,0.0904,0.2883,0.1667,0.3947,SVC
0.965,0.9071,0.9826,0.9236,0.9441,0.5,0.9449,SVC
0.6172,0.2833,0.7188,0.2565,0.4502,0.0,0.5011,SVC
0.735,0.2262,0.8899,0.2846,0.4483,0.0,0.558,SVC
