,File,N,D,N_min,N_maj,IR,Z,CL_min,CL_maj,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,1,0.8827777778,0.5333333333,0.9216049383,0.4742199558,0.6992020394,0.3333333333,0.7274691358
1,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,2,0.5511111111,0.4777777778,0.5592592593,0.1759834369,0.5164503157,0.0,0.5185185185
2,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,3,0.71,0.2277777778,0.7635802469,0.1357732788,0.4169902859,0.6666666667000001,0.4956790123
3,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,1,0.4794444444,0.25,0.5049382716,0.088273084,0.3529785746,0.5,0.3774691358
4,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,2,0.7811111111,0.1888888889,0.8469135802000001,0.1472552349,0.3998965781,0.0,0.5179012346
5,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,3,0.4472222222,0.2833333333,0.4654320988,0.0929964546,0.3631265693,0.5,0.374382716
6,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,1,0.6138888889,0.2888888889,0.65,0.1290115739,0.4291237475,0.3333333333,0.4694444444
7,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,2,0.6488888889000001,0.4611111111,0.6697530864,0.2081205312,0.5553486628000001,1.0,0.5654320988
8,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,3,0.7366666667,0.1666666667,0.8,0.1123666039,0.365147882,0.0,0.4833333333
9,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,1,0.8333333333,0.6166666667,0.8574074074,0.425448505,0.7270490276,0.8333333333,0.737037037
10,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,2,0.435,0.6166666667,0.4148148148,0.1789966713,0.5044352426000001,0.0,0.5157407407
11,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,3,0.5988888889,0.1444444444,0.6493827160000001,0.0668261172,0.3039998754,0.5,0.3969135802
12,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,1,0.53,0.2166666667,0.5648148148000001,0.0851041019,0.3464657544,0.3333333333,0.3907407407
13,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,2,0.7161111111,0.4277777778,0.7481481481000001,0.231489408,0.5634129373,0.0,0.5879629630000001
14,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,3,0.4472222222,0.2111111111,0.4734567901,0.0709401709,0.3160442259,0.1666666667,0.3422839506
15,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,1,0.6072222222,0.3666666667,0.6339506173,0.1564577758,0.4765693877,0.5,0.500308642
16,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,2,0.77,0.1611111111,0.837654321,0.123245614,0.3670259931,0.1666666667,0.499382716
17,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,3,0.7344444444,0.0666666667,0.8086419753,0.0478102888,0.2321839836,0.3333333333,0.437654321
18,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,1,0.9088888889,0.55,0.9487654321,0.5467246052,0.7221733722,0.5,0.7493827160000001
19,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,2,0.5533333333,0.4277777778,0.5672839506,0.1613202085,0.4920448445,0.0,0.4975308642
20,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,3,0.7316666667,0.3333333333,0.7759259259,0.1967056577,0.5045074431000001,0.3333333333,0.5546296296000001
21,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,8,2,1,0.4377777778,0.2611111111,0.4574074074,0.0852690152,0.3438814667,0.5,0.3592592593
22,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,8,2,2,0.7066666667,0.2055555556,0.762345679,0.12304989,0.3956196647,0.0,0.4839506173
23,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,8,2,3,0.5816666667,0.1944444444,0.6246913580000001,0.0834825166,0.3397562524,0.1666666667,0.4095679012
24,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,8,3,1,0.6777777778,0.3,0.7197530864,0.1576159802,0.464512526,0.0,0.5098765432
25,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,8,3,2,0.7461111111000001,0.3166666667,0.7938271605,0.1995807825,0.5010297246000001,0.5,0.5552469136
26,DecisionTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,8,3,3,0.5744444444,0.3944444444,0.5944444444,0.1577039733,0.4841231849,0.6666666667000001,0.4944444444
