,File,N,D,N_min,N_maj,IR,Z,CL_min,CL_maj,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,1,0.91,0.6222222222,0.9419753086,0.5791676927,0.7645851172,0.5,0.7820987654
1,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,2,0.5888888889,0.4055555556,0.6092592593,0.1654084094,0.4968243537,0.0,0.5074074074
2,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,3,0.6577777778,0.2777777778,0.7000000000000001,0.1397170787,0.4409343867,0.6666666667000001,0.4888888889
3,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,1,0.4616666667,0.2222222222,0.4882716049,0.0766218776,0.3276864705,0.5,0.3552469136
4,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,2,0.7788888889000001,0.1888888889,0.8444444444,0.145965146,0.3993093726,0.0,0.5166666667
5,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,3,0.4333333333,0.1888888889,0.4604938272,0.0624424388,0.2945611747,0.1666666667,0.324691358
6,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,1,0.6038888889,0.2111111111,0.6475308642000001,0.0936849086,0.3521271814,0.5,0.4293209877
7,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,2,0.7383333333000001,0.3444444444,0.7820987654,0.208663075,0.5189519433,0.3333333333,0.5632716049000001
8,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,3,0.605,0.2888888889,0.6401234568,0.1274971942,0.4293978528,0.6666666667000001,0.4645061728
9,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,1,0.9361111111,0.6555555556,0.9672839506,0.6707609877,0.7952874188,0.5,0.8114197531
10,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,2,0.7755555556,0.4111111111,0.8160493827,0.2668650794,0.57745855,0.0,0.6135802469
11,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,3,0.7161111111,0.3111111111,0.7611111111000001,0.1800790675,0.4865304655,0.6666666667000001,0.5361111111
12,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,1,0.48,0.2388888889,0.5067901235,0.0847273963,0.3465559689,0.5,0.3728395062
13,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,2,0.7816666667000001,0.2111111111,0.8450617284,0.1623588287,0.4212614892,0.0,0.5280864198
14,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,3,0.5877777778000001,0.3222222222,0.6172839506000001,0.1346948452,0.4445560447,0.3333333333,0.4697530864
15,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,1,0.6516666667000001,0.3111111111,0.6895061728,0.1510048886,0.461865357,0.6666666667000001,0.500308642
16,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,2,0.7938888889,0.1666666667,0.8635802469,0.1400268136,0.3786360295,0.1666666667,0.5151234568
17,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,3,0.7344444444,0.0666666667,0.8086419753,0.0478102888,0.2321839836,0.3333333333,0.437654321
18,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,1,0.8538888889,0.6333333333,0.8783950617,0.4651673928,0.7455710832,0.5,0.7558641975
19,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,2,0.5922222222,0.1666666667,0.6395061728,0.0752640356,0.32534984,0.3333333333,0.4030864198
20,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,3,0.7105555556,0.2,0.7672839506,0.1209212244,0.3891307278,0.5,0.4836419753
21,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,8,2,1,0.5705555556,0.2888888889,0.6018518519,0.1187739916,0.4165566778,0.5,0.4453703704
22,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,8,2,2,0.7716666667000001,0.2611111111,0.8283950617,0.1853832442,0.4591495331,0.0,0.5447530864
23,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,8,2,3,0.3377777778,0.4944444444,0.3203703704,0.129894947,0.3977381044,0.5,0.4074074074
24,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,8,3,1,0.6388888889000001,0.3555555556,0.6703703704,0.1648682804,0.4881880606,0.5,0.512962963
25,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,8,3,2,0.7572222222,0.3444444444,0.8030864198000001,0.2212585417,0.5259359995,0.6666666667000001,0.5737654321
26,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,8,3,3,0.5805555556,0.2888888889,0.6129629630000001,0.1205570933,0.4187414437,0.5,0.4509259259
27,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,16,1,1,0.9033333333,0.5166666667,0.9462962963,0.5185454545,0.6992113135,0.5,0.7314814815
28,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,16,1,2,0.6661111111,0.2666666667,0.7104938272,0.1374986004,0.433464227,0.0,0.4885802469
29,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,16,1,3,0.5388888889,0.3444444444,0.5604938272000001,0.1299154651,0.4391811514,0.8333333333,0.4524691358
30,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,16,2,1,0.3422222222,0.3666666667,0.3395061728,0.1005251103,0.351969989,0.3333333333,0.3530864198
31,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,16,2,2,0.7000000000000001,0.5333333333,0.7185185185,0.2627154679,0.6189886367,0.3333333333,0.6259259259000001
32,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,16,2,3,0.4566666667,0.2666666667,0.4777777778,0.0894538606,0.3567183713,0.5,0.3722222222
33,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,16,3,1,0.5994444444,0.2722222222,0.6358024691,0.1188580068,0.411798239,0.3333333333,0.4540123457
34,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,16,3,2,0.8138888889,0.3444444444,0.8660493827,0.2701525054,0.5461411391000001,0.3333333333,0.6052469136
35,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,16,3,3,0.7394444444,0.0833333333,0.8123456790000001,0.0607226538,0.258019753,0.0,0.4478395062
36,ExtraTreeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_32-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,32,1,1,0.8988888889000001,0.6611111111,0.925308642,0.5659348246,0.7814495309,0.3333333333,0.7932098765000001
