,File,N,D,N_min,N_maj,IR,Z,CL_min,CL_maj,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,1,0.9066666667,0.0722222222,0.999382716,0.1338141026,0.2669166426,0.1666666667,0.5358024691000001
1,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,2,0.8494444444,0.0,0.9438271605,0.0,0.0,0.0,0.4719135802
2,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,3,0.8994444444,0.0,0.999382716,0.0,0.0,0.0,0.499691358
3,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,1,0.8994444444,0.0,0.999382716,0.0,0.0,0.0,0.499691358
4,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,2,0.9,0.0,1.0,0.0,0.0,0.0,0.5
5,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,3,0.8816666667,0.0,0.9796296296,0.0,0.0,0.0,0.4898148148
6,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,1,0.8988888889000001,0.0,0.9987654321,0.0,0.0,0.0,0.499382716
7,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,2,0.8794444444,0.05,0.9716049383,0.0752483619,0.2147356631,0.0,0.5108024691
8,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,3,0.8961111111000001,0.0,0.9956790123,0.0,0.0,0.0,0.4978395062
9,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,1,0.9055555556,0.0722222222,0.9981481481,0.1328671329,0.2667783573,0.1666666667,0.5351851852
10,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,2,0.8483333333,0.0,0.9425925926,0.0,0.0,0.0,0.4712962963
11,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,3,0.9,0.0,1.0,0.0,0.0,0.0,0.5
12,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,1,0.8983333333,0.0,0.9981481481,0.0,0.0,0.0,0.4990740741
13,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,2,0.9,0.0,1.0,0.0,0.0,0.0,0.5
14,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,3,0.8844444444,0.0,0.9827160494,0.0,0.0,0.0,0.4913580247
15,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,1,0.8988888889000001,0.0,0.9987654321,0.0,0.0,0.0,0.499382716
16,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,2,0.8805555556,0.05,0.9728395062,0.0757161981,0.2148497989,0.0,0.5114197531
17,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,3,0.8961111111000001,0.0,0.9956790123,0.0,0.0,0.0,0.4978395062
18,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,1,0.9044444444,0.05,0.999382716,0.0947420635,0.2235377513,0.1666666667,0.524691358
19,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,2,0.8505555556000001,0.0,0.9450617284,0.0,0.0,0.0,0.4725308642
20,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,3,0.8983333333,0.0,0.9981481481,0.0,0.0,0.0,0.4990740741
21,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,8,2,1,0.9,0.0,1.0,0.0,0.0,0.0,0.5
22,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,8,2,2,0.9,0.0,1.0,0.0,0.0,0.0,0.5
23,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,8,2,3,0.88,0.0,0.9777777778,0.0,0.0,0.0,0.4888888889
24,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,8,3,1,0.8988888889000001,0.0,0.9987654321,0.0,0.0,0.0,0.499382716
25,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,8,3,2,0.8788888889,0.05,0.9709876543,0.0752824411,0.2147119957,0.0,0.5104938272
26,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,8,3,3,0.8961111111000001,0.0,0.9956790123,0.0,0.0,0.0,0.4978395062
27,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,16,1,1,0.9033333333,0.0333333333,1.0,0.064516129,0.1825741858,0.1666666667,0.5166666667
28,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,16,1,2,0.84,0.0,0.9333333333,0.0,0.0,0.0,0.4666666667
29,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,16,1,3,0.8977777778,0.0055555556,0.9969135802,0.0107526882,0.0429932843,0.0,0.5012345679
30,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,16,2,1,0.9,0.0,1.0,0.0,0.0,0.0,0.5
31,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,16,2,2,0.9,0.0,1.0,0.0,0.0,0.0,0.5
32,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,16,2,3,0.8811111111000001,0.0,0.9790123457,0.0,0.0,0.0,0.4895061728
33,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,16,3,1,0.8988888889000001,0.0,0.9987654321,0.0,0.0,0.0,0.499382716
34,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,16,3,2,0.8877777778,0.05,0.9808641975,0.0797619048,0.2156903325,0.0,0.5154320988000001
35,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_16-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,16,3,3,0.895,0.0,0.9944444444,0.0,0.0,0.0,0.4972222222
36,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_32-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,32,1,1,0.9055555556,0.0555555556,1.0,0.1048387097,0.2329906551,0.1666666667,0.5277777778
37,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_32-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,32,1,2,0.8227777778,0.0,0.9141975309,0.0,0.0,0.0,0.4570987654
38,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_32-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,32,1,3,0.9,0.0,1.0,0.0,0.0,0.0,0.5
39,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_32-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,32,2,1,0.8911111111000001,0.0,0.9901234568,0.0,0.0,0.0,0.4950617284
40,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_32-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,32,2,2,0.9,0.0,1.0,0.0,0.0,0.0,0.5
41,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_32-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,32,2,3,0.8877777778,0.0,0.9864197531,0.0,0.0,0.0,0.4932098765
42,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_32-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,32,3,1,0.8983333333,0.0,0.9981481481,0.0,0.0,0.0,0.4990740741
43,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_32-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,32,3,2,0.8811111111000001,0.05,0.9734567901,0.0762059621,0.214940376,0.0,0.5117283951
44,GaussianNB-SyntheticData-N_600-D_4-Nmin_60-Zmin_32-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,32,3,3,0.8983333333,0.0,0.9981481481,0.0,0.0,0.0,0.4990740741
45,GaussianNB-SyntheticData-N_600-D_4-Nmin_100-Zmin_0-CL_1_1-R_0_extra_info.dat.json,600,4,100,500,5.0,0,1,1,0.8605555556000001,0.3233333333,0.968,0.4362627545,0.5593346821,0.0,0.6456666667000001
46,GaussianNB-SyntheticData-N_600-D_4-Nmin_100-Zmin_0-CL_1_2-R_0_extra_info.dat.json,600,4,100,500,5.0,0,1,2,0.7422222222,0.2233333333,0.846,0.2253410908,0.4314985719,0.3333333333,0.5346666667000001
47,GaussianNB-SyntheticData-N_600-D_4-Nmin_100-Zmin_0-CL_1_3-R_0_extra_info.dat.json,600,4,100,500,5.0,0,1,3,0.8227777778,0.02,0.9833333333,0.035831236,0.1321951249,0.0,0.5016666667
48,GaussianNB-SyntheticData-N_600-D_4-Nmin_100-Zmin_0-CL_2_1-R_0_extra_info.dat.json,600,4,100,500,5.0,0,2,1,0.8333333333,0.0,1.0,0.0,0.0,0.0,0.5
49,GaussianNB-SyntheticData-N_600-D_4-Nmin_100-Zmin_0-CL_2_2-R_0_extra_info.dat.json,600,4,100,500,5.0,0,2,2,0.7383333333000001,0.0,0.886,0.0,0.0,0.0,0.443
