,File,N,D,N_min,N_maj,IR,Z,CL_min,CL_maj,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,1,0.9627777778,0.6333333333,0.999382716,0.7726752057,0.7954435558,0.5,0.8163580247000001
1,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,2,0.7838888889000001,0.2666666667,0.8413580247,0.1982323232,0.4732743714,0.3333333333,0.5540123457
2,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,3,0.7044444444,0.0944444444,0.7722222222,0.0604884898,0.2659279929,0.0,0.4333333333
3,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,1,0.3944444444,0.5055555556,0.3820987654,0.143053752,0.439320694,0.6666666667000001,0.4438271605
4,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,2,0.7655555556,0.1055555556,0.8388888889,0.0818895819,0.2911338471,0.0,0.4722222222
5,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,3,0.5522222222000001,0.0833333333,0.6043209877,0.0360693923,0.2225974701,0.1666666667,0.3438271605
6,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,1,0.5216666667000001,0.4055555556,0.5345679012,0.1450248756,0.4639203771,0.6666666667000001,0.4700617284
7,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,2,0.7072222222,0.5222222222,0.7277777778000001,0.2629068364,0.6162498967000001,1.0,0.625
8,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,3,0.6505555556,0.4611111111,0.6716049383,0.2088050314,0.5564756906,0.6666666667000001,0.5663580247000001
9,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,1,0.9638888889,0.6444444444,0.999382716,0.7807560137,0.8022907599,0.5,0.8219135802
10,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,2,0.7677777778,0.2777777778,0.8222222222000001,0.1926984127,0.4770620331,0.5,0.55
11,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,3,0.73,0.0777777778,0.8024691358,0.0541792825,0.2433388875,0.0,0.4401234568
12,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,1,0.3911111111,0.5111111111000001,0.3777777778,0.143637902,0.4389730063,0.6666666667000001,0.4444444444
13,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,2,0.7755555556,0.1055555556,0.85,0.0857707022,0.2932463412,0.0,0.4777777778
14,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,3,0.5650000000000001,0.0944444444,0.6172839506000001,0.0416791035,0.2407498675,0.1666666667,0.3558641975
15,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,1,0.465,0.4777777778,0.4635802469,0.1513156676,0.4689503346,1.0,0.4706790123
16,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,2,0.7238888889,0.5222222222,0.7462962963,0.2742729816,0.6239749330000001,1.0,0.6342592593
17,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,3,0.6583333333,0.4888888889,0.6771604938,0.2225186867,0.5753146043,0.8333333333,0.5830246914
18,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,1,0.965,0.6666666667000001,0.9981481481,0.7918399683,0.8156110856000001,0.5,0.8324074074000001
19,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,2,0.7277777778000001,0.2,0.7864197531,0.1279426424,0.3958414167,0.0,0.4932098765
20,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,3,0.7016666667,0.0611111111,0.7728395062000001,0.0391039802,0.2069789792,0.0,0.4169753086
21,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,8,2,1,0.4133333333,0.5166666667,0.4018518519,0.149806995,0.4553745374,0.6666666667000001,0.4592592593
22,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,8,2,2,0.7888888889,0.0833333333,0.8672839506000001,0.0735449735,0.2659065948,0.0,0.475308642
23,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,8,2,3,0.5055555556,0.1055555556,0.55,0.0410116441,0.2408575581,0.1666666667,0.3277777778
24,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,8,3,1,0.455,0.5055555556,0.449382716,0.1564159963,0.4748147142,1.0,0.4774691358
25,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,8,3,2,0.7238888889,0.5611111111,0.7419753086,0.2890706944,0.6450605083000001,0.6666666667000001,0.6515432099
26,NuSVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,8,3,3,0.6566666667000001,0.5055555556,0.6734567901,0.2275792919,0.5834959864,0.8333333333,0.5895061728000001
