,File,N,D,N_min,N_maj,IR,Z,CL_min,CL_maj,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,1,0.3466666667,1.0,0.2740740741,0.2343767847,0.5235148484000001,0.8333333333,0.637037037
1,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,2,0.1433333333,0.9333333333,0.0555555556,0.178921996,0.2271644019,1.0,0.4944444444
2,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,3,0.3455555556,0.8444444444,0.2901234568,0.2051784373,0.4949645958,0.8333333333,0.5672839506
3,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,1,0.095,0.8944444444,0.0061728395,0.1650354991,0.0736375905,0.6666666667000001,0.450308642
4,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,2,0.2588888889,0.7444444444,0.2049382716,0.1672344175,0.3903107314,0.1666666667,0.474691358
5,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,3,0.16,0.6888888889,0.1012345679,0.1408922657,0.263808086,0.6666666667000001,0.3950617284
6,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,1,0.1327777778,0.6888888889,0.0709876543,0.1370460132,0.2205536013,0.6666666667000001,0.3799382716
7,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,2,0.4,1.0,0.3333333333,0.2500196556,0.5773104993,1.0,0.6666666667000001
8,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,3,0.23,0.8944444444,0.1561728395,0.1885302007,0.3737460125,0.8333333333,0.525308642
9,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,1,0.3405555556,0.9888888889,0.2685185185,0.230721942,0.5152110049,0.8333333333,0.6287037037000001
10,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,2,0.2494444444,0.9611111111,0.1703703704,0.2039142292,0.404157509,1.0,0.5657407407
11,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,3,0.3455555556,0.8444444444,0.2901234568,0.2051784373,0.4949645958,0.8333333333,0.5672839506
12,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,1,0.0983333333,0.7388888889,0.0271604938,0.1408210051,0.1412843369,0.6666666667000001,0.3830246914
13,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,2,0.1655555556,0.8444444444,0.0901234568,0.1683277962,0.2758699868,0.8333333333,0.4672839506
14,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,3,0.1783333333,0.6944444444,0.1209876543,0.1446336586,0.2896837354,0.5,0.4077160494
15,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,1,0.1327777778,0.6888888889,0.0709876543,0.1370460132,0.2205536013,0.6666666667000001,0.3799382716
16,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,2,0.3844444444,1.0,0.3160493827,0.2452462541,0.5621486426,0.8333333333,0.6580246914
17,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,3,0.2177777778,0.9888888889,0.1320987654,0.2018045984,0.3609712691,1.0,0.5604938272000001
18,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,1,0.3577777778,1.0,0.2864197531,0.2374770982,0.535151294,0.8333333333,0.6432098765
19,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,2,0.1444444444,0.9055555556,0.0598765432,0.174696321,0.2311301269,1.0,0.4827160494
20,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,3,0.3538888889,0.8722222222,0.2962962963,0.2126281499,0.5083615522,0.8333333333,0.5842592593
21,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,8,2,1,0.0944444444,0.8944444444,0.0055555556,0.1649435734,0.0704810778,0.6666666667000001,0.45
22,NuSVCsigmoid-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,8,2,2,0.1711111111,0.8444444444,0.0962962963,0.169261745,0.2851139338,0.8333333333,0.4703703704
