,File,N,D,N_min,N_maj,IR,Z,CL_min,CL_maj,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,KNeighborsClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,1,0.9477777778,0.6833333333,0.9771604938,0.7229532164,0.8161365158,0.5,0.8302469136
1,KNeighborsClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,2,0.8127777778,0.3055555556,0.8691358025,0.2441683017,0.5121463045,0.3333333333,0.587345679
2,KNeighborsClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,3,0.8622222222,0.0444444444,0.9530864198,0.0607918263,0.2049801154,0.0,0.4987654321
3,KNeighborsClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,1,0.4716666667,0.3055555556,0.4901234568,0.1036268603,0.3856469326,0.5,0.3978395062
4,KNeighborsClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,2,0.7938888889,0.05,0.8765432099,0.045961812,0.2014181366,0.0,0.4632716049
5,KNeighborsClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,3,0.7038888889,0.1444444444,0.7660493827,0.0886606761,0.3320264235,0.0,0.4552469136
6,KNeighborsClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,1,0.5627777778,0.2944444444,0.5925925926,0.1181368722,0.4135339321,0.6666666667000001,0.4435185185
7,KNeighborsClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,2,0.7805555556,0.3222222222,0.8314814815,0.2263492063,0.5158177738,0.1666666667,0.5768518519
8,KNeighborsClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,3,0.7833333333,0.2,0.8481481481,0.1558441558,0.4118611776,0.3333333333,0.5240740741000001
9,KNeighborsClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,1,0.9466666667,0.6833333333,0.9759259259,0.7192982456,0.8156569975,0.5,0.8296296296000001
10,KNeighborsClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,2,0.8461111111,0.2277777778,0.9148148148,0.2253869357,0.4524141083,0.3333333333,0.5712962963
11,KNeighborsClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,3,0.8255555556,0.1555555556,0.9,0.1510178459,0.3736113341,0.3333333333,0.5277777778
12,KNeighborsClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,1,0.4727777778,0.3055555556,0.4913580247,0.103871577,0.386188428,0.5,0.3984567901
