,File,N,D,N_min,N_maj,IR,Z,CL_min,CL_maj,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,NuSVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,1,0.9844444444,0.8444444444,1.0,0.9146769077,0.9184371088,0.5,0.9222222222
1,NuSVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,2,0.6955555556,0.3055555556,0.7388888889,0.1673717461,0.4751464994,0.3333333333,0.5222222222
2,NuSVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,3,0.7827777778,0.4111111111,0.8240740741,0.2744051314,0.5774766162,0.3333333333,0.6175925926
3,NuSVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,1,0.3461111111,0.5722222222000001,0.3209876543,0.1488892837,0.4283265959,1.0,0.4466049383
4,NuSVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,2,0.5666666667,0.4222222222,0.5827160494,0.1630824373,0.4959949064,0.3333333333,0.5024691358
5,NuSVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,3,0.6144444444,0.0888888889,0.6728395062,0.0439879373,0.2410614552,0.0,0.3808641975
6,NuSVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,1,0.3372222222,0.6388888889000001,0.3037037037,0.1612783157,0.4391625118,0.6666666667000001,0.4712962963
7,NuSVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,2,0.4472222222,0.7388888889,0.4148148148,0.2109492929,0.5533855006,1.0,0.5768518519
8,NuSVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,3,0.6072222222,0.4888888889,0.6203703704,0.1991681033,0.5503622107,0.8333333333,0.5546296296000001
9,NuSVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,1,0.9733333333,0.7444444444,0.9987654321,0.8471076904,0.8617018513,0.3333333333,0.8716049383000001
