,File,N,D,N_min,N_maj,IR,Z,CL_min,CL_maj,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,SGDClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,1,0.8677777778,0.7000000000000001,0.8864197531,0.5115440115000001,0.7847475052,0.5,0.7932098765000001
1,SGDClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,2,0.4416666667,0.4277777778,0.4432098765,0.1325470336,0.4340401426,0.5,0.4354938272
2,SGDClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,3,0.9,0.0,1.0,0.0,0.0,0.0,0.5
3,SGDClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,1,0.4577777778,0.2888888889,0.4765432099,0.0962296151,0.3707494227,0.3333333333,0.3827160494
4,SGDClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,2,0.6238888889,0.2722222222,0.662962963,0.1242532855,0.4170130913,0.1666666667,0.4675925926
5,SGDClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,3,0.5433333333,0.6888888889,0.5271604938000001,0.2319401525,0.6025256421,0.5,0.6080246914
6,SGDClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,1,0.7016666667,0.2055555556,0.7567901235000001,0.1188536953,0.3871142602,0.1666666667,0.4811728395
7,SGDClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,2,0.805,0.2222222222,0.8697530864,0.1821915017,0.428989735,0.3333333333,0.5459876543000001
8,SGDClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,3,0.4894444444,0.0555555556,0.537654321,0.0213133444,0.1724522463,0.3333333333,0.2966049383
9,SGDClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,1,0.8577777778000001,0.7000000000000001,0.875308642,0.4939223102,0.7799148314000001,0.5,0.7876543210000001
10,SGDClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,2,0.4127777778,0.4555555556,0.4080246914,0.134162811,0.4303231215,0.5,0.4317901235
