,File,N,D,N_min,N_maj,IR,Z,CL_min,CL_maj,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,1,0.7683333333,0.7222222222,0.7734567901,0.3836879293,0.7461715356,0.5,0.7478395062000001
1,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,2,0.4411111111,0.4277777778,0.4425925926,0.1324162369,0.4337027669,0.5,0.4351851852
2,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,3,0.7055555556,0.2388888889,0.7574074074,0.1393541325,0.4244337492,0.6666666667000001,0.4981481481
3,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,1,0.3661111111,0.45,0.3567901235,0.1241007356,0.3996979487,0.3333333333,0.4033950617
4,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,2,0.6816666667,0.4277777778,0.7098765432,0.2120593257,0.5510619824,0.5,0.5688271605
5,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,3,0.3594444444,0.5944444444,0.3333333333,0.1558852719,0.4425111549,0.6666666667000001,0.4638888889
6,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,1,0.6905555556,0.2388888889,0.7407407407000001,0.1314698929,0.4145446349,0.1666666667,0.4898148148
7,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,2,0.7877777778,0.2166666667,0.8512345679000001,0.1655251142,0.4197022555,0.3333333333,0.5339506173
8,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,3,0.4211111111,0.1166666667,0.4549382716,0.0387352505,0.2293145537,0.5,0.2858024691
9,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,1,0.7677777778,0.7388888889,0.7709876543,0.3883799172,0.7535393358,0.6666666667000001,0.7549382716
10,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,2,0.425,0.3944444444,0.4283950617,0.1203479994,0.4087904147,0.5,0.4114197531
11,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,3,0.6677777778,0.1833333333,0.7216049383,0.0994539995,0.3630677058,0.5,0.4524691358
12,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,1,0.3666666667,0.4,0.362962963,0.1120946548,0.3807710714,0.3333333333,0.3814814815
13,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,2,0.6872222222000001,0.4277777778,0.7160493827000001,0.2151850395,0.5534511941,0.5,0.5719135802
14,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,2,3,0.3338888889,0.6111111111,0.3030864198,0.1544419619,0.4279249992,0.6666666667000001,0.4570987654
15,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,1,0.68,0.2277777778,0.7302469136,0.1221291866,0.4001804272,0.1666666667,0.4790123457
16,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,2,0.8172222222000001,0.2055555556,0.8851851852,0.1803795777,0.419172891,0.3333333333,0.5453703704
17,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,4,3,3,0.4255555556,0.15,0.4561728395,0.0496425835,0.2608874647,0.5,0.3030864198
18,RidgeClassifier-SyntheticData-N_600-D_4-Nmin_60-Zmin_8-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,8,1,1,0.7577777778,0.7388888889,0.7598765432,0.3784328175,0.7480915751,0.6666666667000001,0.7493827160000001
