,File,N,D,N_min,N_maj,IR,Z,CL_min,CL_maj,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,SVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,1,0.9716666667,0.7888888889,0.9919753086,0.8472842413,0.8843535937,0.5,0.8904320988000001
1,SVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,2,0.5477777778,0.3833333333,0.5660493827,0.144879654,0.463903829,0.1666666667,0.474691358
2,SVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,3,0.7016666667,0.2944444444,0.7469135802,0.1651589558,0.4684191686,0.3333333333,0.5206790123
3,SVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,1,0.3677777778,0.45,0.3586419753,0.1246444217,0.4013809842,0.6666666667000001,0.4043209877
4,SVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,2,0.6477777778,0.1944444444,0.6981481481,0.0993906334,0.3683198157,0.0,0.4462962963
5,SVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,3,0.5361111111,0.1111111111,0.5833333333,0.0459045407,0.2512964177,0.0,0.3472222222
6,SVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,1,0.2672222222,0.7944444444000001,0.2086419753,0.1781085915,0.406706231,1.0,0.5015432099
7,SVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,2,0.4955555556,0.6555555556,0.4777777778,0.2061396178,0.5592367585,1.0,0.5666666667
8,SVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,3,0.5172222222,0.4888888889,0.5203703704,0.1681432263,0.5034666816,0.8333333333,0.5046296296
9,SVCpoly-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,1,0.9822222222,0.8333333333,0.9987654321,0.901934323,0.9114412816,0.5,0.9160493827
