,File,N,D,N_min,N_maj,IR,Z,CL_min,CL_maj,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
0,SVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,1,0.9683333333,0.7000000000000001,0.9981481481,0.8146224146000001,0.8353987743,0.5,0.8490740741
1,SVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,2,0.7983333333,0.2388888889,0.8604938272,0.1915048076,0.453325475,0.5,0.549691358
2,SVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_1_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,1,3,0.7272222222,0.0666666667,0.8006172840000001,0.0465569609,0.2267017732,0.0,0.4336419753
3,SVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,1,0.3855555556,0.5222222222,0.3703703704,0.1451919665,0.4394308632,0.6666666667000001,0.4462962963
4,SVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,2,0.7855555556,0.0611111111,0.8660493827,0.0525723292,0.2187541692,0.0,0.4635802469
5,SVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_2_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,2,3,0.5766666667,0.0833333333,0.6314814815,0.037937491,0.2273897409,0.1666666667,0.3574074074
6,SVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_1-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,1,0.3783333333,0.6222222222,0.3512345679,0.1666261544,0.4666629698,1.0,0.4867283951
7,SVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_2-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,2,0.6872222222000001,0.5166666667,0.7061728395,0.2483534137,0.6039102653,1.0,0.6114197531000001
8,SVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_0-CL_3_3-R_0_extra_info.dat.json,600,4,60,540,9.0,0,3,3,0.6977777778,0.4166666667,0.7290123457000001,0.2156510034,0.550155068,0.8333333333,0.5728395062
9,SVCrbf-SyntheticData-N_600-D_4-Nmin_60-Zmin_4-CL_1_1-R_0_extra_info.dat.json,600,4,60,540,9.0,4,1,1,0.9705555556,0.7222222222,0.9981481481,0.8291009786,0.8482176865000001,0.5,0.8601851852
