Classifier_name,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
SVC,10.0,8.0,10.0,2.0,4.0,8.0,2.0
NuSVClinear,12.0,6.0,12.0,12.0,6.0,4.0,16.0
ExtraTreeClassifier,7.0,11.0,7.0,15.0,9.0,11.0,12.0
DecisionTreeClassifier,8.0,10.0,8.0,13.0,8.0,10.0,10.0
NuSVCpoly,9.0,9.0,9.0,3.0,7.0,9.0,3.0
SVClinear,13.0,5.0,13.0,8.0,2.0,6.0,9.0
SVCpoly,11.0,7.0,11.0,1.0,5.0,7.0,1.0
NuSVCrbf,4.0,14.0,4.0,6.0,13.0,14.0,7.0
SVCsigmoid,16.0,2.0,16.0,11.0,11.0,2.0,13.0
RidgeClassifier,15.0,3.0,15.0,14.0,1.0,3.0,14.0
GaussianProcessClassifier,2.0,16.0,2.0,16.0,16.0,16.0,8.0
NuSVCsigmoid,17.0,1.0,17.0,7.0,15.0,1.0,15.0
NuSVC,5.0,13.0,5.0,5.0,12.0,13.0,5.0
GaussianNB,1.0,17.0,1.0,17.0,17.0,17.0,17.0
KNeighborsClassifier,3.0,15.0,3.0,10.0,14.0,15.0,6.0
SGDClassifier,14.0,4.0,14.0,9.0,3.0,5.0,11.0
SVCrbf,6.0,12.0,6.0,4.0,10.0,12.0,4.0
