Classifier_name,Accuracy,Sensitivity,Specificity,F1,G-mean,AUC,Balanced Accuracy
SVC,0.6421351165970371,0.42120047031345675,0.66764192160321,0.24987968312419756,0.4976630010250617,0.3862139917702469,0.5444211959576544
NuSVClinear,0.5539811385445679,0.47233294140654325,0.5601606781711111,0.21208614265271605,0.4839245067529629,0.4629629629624692,0.51624680979
ExtraTreeClassifier,0.66879629629679,0.33874740348777777,0.7058637755779011,0.20991046135333333,0.4642388336390124,0.3248971193425926,0.5223055895330864
DecisionTreeClassifier,0.6656210562422222,0.34508465608629635,0.700730719936173,0.211156179781358,0.4655013766512346,0.32921810699753085,0.5229076880103705
NuSVCpoly,0.6559595336096296,0.3978689006449383,0.6871242237118518,0.248315593828642,0.47551208415555557,0.3452674897107407,0.5424965621790123
SVClinear,0.5536454046633333,0.4876701940045679,0.5591570755037037,0.2177010115958025,0.506202653701358,0.4489711934156791,0.5234136347545679
SVCpoly,0.6211920438974075,0.4552578875167902,0.6382101923945679,0.26112949342604935,0.49622562771740736,0.41172839506172837,0.5467340399560494
NuSVCrbf,0.7192109053503704,0.3003176562780247,0.7688350598572841,0.2253411439308642,0.41973222070382715,0.26234567901296296,0.5345763580681482
SVCsigmoid,0.5261779835398765,0.5221211052325927,0.5180942915503703,0.21360331080234568,0.43879711035987656,0.49362139917851855,0.5201076983918518
RidgeClassifier,0.5368772290807408,0.49661022927790127,0.5407397290545679,0.2104128097965432,0.5117131280740741,0.46975308642,0.5186749791662963
GaussianProcessClassifier,0.7916320301776543,0.18902645502716048,0.8697718090818519,0.19007296395975307,0.3537110461725926,0.16255144032753086,0.5293991320533333
NuSVCsigmoid,0.2818432784634568,0.8255294924549383,0.2111280940495062,0.22155590736962963,0.3673867466761728,0.8176954732513579,0.518328793251605
NuSVC,0.708143347051111,0.315155006857037,0.7553122712695063,0.22898416575518515,0.4319517730598765,0.2771604938279012,0.535233639061358
GaussianNB,0.8556827846338272,0.0609811875380247,0.9642574373819753,0.08229694241950616,0.16814429850382712,0.03189300411728395,0.5126193124601235
KNeighborsClassifier,0.75211282579,0.2537440721134568,0.8164037521019754,0.21469726680493828,0.4193214705628395,0.22716049382592593,0.5350739121072839
SGDClassifier,0.5480682441698765,0.49187909073259267,0.5529176849032099,0.21523069433209877,0.5046675725201235,0.45761316872320995,0.5223983878185186
SVCrbf,0.7043566529492593,0.327554771701605,0.7514171894688889,0.23731258723518517,0.4465704614523457,0.28683127571987654,0.5394859805874074
