@relation SyntheticData-N_1200-D_16-Nmin_100-Zmin_0-CL_1_2-R_0
@attribute X0 real [-7.99, 7.99]
@attribute X1 real [-7.87, 8.31]
@attribute X2 real [-7.70, 6.73]
@attribute X3 real [-7.58, 9.81]
@attribute X4 real [-8.64, 8.69]
@attribute X5 real [-8.57, 8.77]
@attribute X6 real [-6.63, 8.27]
@attribute X7 real [-7.13, 8.13]
@attribute X8 real [-6.96, 10.14]
@attribute X9 real [-8.43, 6.36]
@attribute X10 real [-8.34, 7.68]
@attribute X11 real [-9.62, 9.62]
@attribute X12 real [-7.14, 7.02]
@attribute X13 real [-7.55, 8.43]
@attribute X14 real [-7.39, 10.82]
@attribute X15 real [-6.88, 7.55]
@attribute cluster_idx {0,1,2}
@attribute is_noise {0}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,cluster_idx,is_noise
@output Class
@data
2.06,-0.81,-4.45,0.11,-1.95,4.25,-0.78,1.44,2.64,0.88,-1.91,0.75,-1.42,-0.21,-2.63,-1.29,0,0,1
2.81,-2.36,-1.6,-3.25,2.49,0.29,-3.69,0.52,3.63,-0.41,-3.92,0.11,-0.81,1.26,2.1,1.7,0,0,1
1.33,-1.73,2.73,1.53,-2.54,-4.56,6.06,3.27,-5.91,-1.23,4.21,0.1,5.85,-2.35,3.84,-0.29,0,0,1
1.79,-1.32,1.84,-0.63,0.96,-1.97,-1.81,0.45,-0.73,0.15,-1.07,3.37,2.99,0.41,5.13,2.38,0,0,1
-2.07,0.24,-0.4,1.87,-5.19,-1.31,-1.37,3.34,2.1,0.2,1.52,2.25,3.94,4.5,1.34,-3.46,0,0,1
0.0,0.79,3.05,-0.28,0.01,-0.26,0.62,-0.78,-0.36,-2.14,-1.8,0.05,-0.35,-0.86,-1.73,-0.16,0,0,1
1.83,-2.3,1.41,-3.1,-0.67,0.08,1.57,0.24,-0.09,-1.21,-2.2,-1.28,-0.48,0.65,3.16,2.05,0,0,1
-0.05,1.89,-2.02,1.49,-0.12,-1.07,0.07,1.18,-0.64,1.62,4.32,1.19,3.08,1.1,3.76,-0.84,0,0,1
1.41,2.71,-2.29,0.36,2.67,0.25,-0.06,0.18,3.92,-1.75,0.93,-2.06,-0.81,-1.63,-0.12,-1.76,0,0,1
1.92,-0.59,-1.88,-0.71,1.46,1.4,1.23,-1.28,-0.54,-1.16,-0.28,-1.64,-1.87,-2.15,-5.34,-3.42,0,0,1
-0.87,0.23,1.64,0.43,0.34,-1.11,2.99,0.63,-1.13,-1.07,0.47,-0.56,1.61,-1.06,1.55,-0.38,0,0,1
1.93,-3.85,1.55,-1.27,1.62,1.48,1.31,-3.13,-4.63,2.44,-4.38,-0.79,-2.9,-2.51,-4.33,4.18,0,0,1
4.52,-7.87,-1.12,-3.1,-0.69,-2.11,0.55,2.96,-0.28,0.37,-1.26,-5.31,-0.49,-0.38,1.29,0.35,0,0,1
-2.92,2.36,-2.63,5.68,-2.7,-2.8,0.36,1.0,0.11,2.46,-1.55,1.8,1.31,1.31,-3.73,-3.48,0,0,1
-1.42,-1.95,1.99,0.26,-2.67,-2.88,-0.77,3.27,-1.74,-0.11,1.56,-0.36,0.44,0.14,0.79,2.33,0,0,1
-0.07,-0.9,1.93,0.25,2.91,-1.83,1.88,-1.1,-3.1,0.82,-3.28,0.56,2.02,-0.4,0.71,0.17,0,0,1
1.75,-1.94,-0.05,0.33,2.1,-1.57,-2.23,-1.71,-0.9,0.16,-3.69,0.69,-1.54,-0.86,-4.82,1.1,0,0,1
1.31,-3.9,-3.52,1.0,-3.11,0.39,-2.94,2.59,0.41,3.73,-2.18,-0.3,-1.69,0.47,-3.02,1.2,0,0,1
-2.48,-2.39,3.42,-2.22,-2.26,-5.07,-1.14,4.47,0.98,-1.53,-0.97,-0.72,1.21,2.89,4.3,-0.52,0,0,1
-4.87,4.78,-1.24,5.73,-1.56,-4.45,-1.65,2.23,-0.38,4.57,2.63,2.42,0.94,1.64,5.3,1.44,0,0,1
-2.98,2.09,-1.03,2.54,1.85,-1.55,-1.11,-1.29,-0.3,-0.14,-0.66,-0.22,-0.07,2.35,-3.98,0.74,0,0,1
-4.39,2.5,0.72,3.96,-1.45,-4.15,-5.27,-0.84,-0.79,-2.39,-2.21,6.07,0.63,4.24,-3.45,2.79,0,0,1
7.81,0.37,-2.48,-3.91,4.67,0.99,1.19,-2.74,-0.43,-1.79,-0.41,-1.23,-0.1,-1.98,0.96,0.21,0,0,1
0.24,-0.36,2.6,-2.43,1.11,4.55,3.96,-2.44,-2.74,-0.74,-0.65,-0.43,0.25,-1.14,-0.34,0.0,0,0,1
1.91,1.15,-3.8,2.19,0.86,-1.32,0.55,0.06,2.25,-1.98,0.52,-0.76,-0.25,-1.55,-0.06,-0.26,0,0,1
1.19,0.66,-2.55,1.72,-3.37,0.2,1.52,1.78,1.78,-1.23,2.18,-0.03,0.32,-1.05,0.5,-1.75,0,0,1
3.39,-4.06,3.02,-3.7,-2.18,-0.21,-0.59,1.57,0.22,-4.33,-0.02,0.53,1.83,0.0,2.3,-1.44,0,0,1
-1.78,-0.57,3.77,-2.51,-2.75,3.27,-1.24,0.07,1.94,-1.12,1.04,-0.36,-2.86,-1.16,-2.22,-1.56,0,0,1
-4.81,-1.68,-2.25,3.87,-0.72,-2.66,-4.36,2.82,0.5,2.38,0.76,1.3,1.61,4.25,-0.33,1.74,0,0,1
-5.43,-0.06,2.05,0.19,1.71,0.02,-4.57,-1.08,1.43,-0.92,-0.53,0.96,0.78,4.83,-1.39,0.09,0,0,1
-0.11,0.43,-0.11,1.54,2.72,-4.3,2.23,1.51,-0.1,1.44,-2.07,-1.56,0.36,-3.09,2.46,-0.56,0,0,1
1.36,-2.02,2.01,-3.05,-2.44,2.07,0.17,-1.59,-1.46,-4.43,-0.69,1.13,1.69,3.21,-0.36,0.1,0,0,1
-2.55,0.01,0.79,-0.09,1.6,-1.09,-3.68,1.7,2.15,1.51,0.46,-0.1,1.13,2.7,2.72,1.1,0,0,1
0.85,-0.32,-2.07,3.38,-2.11,-4.02,2.03,-0.27,0.47,-2.18,-3.59,0.21,0.61,0.96,-1.17,0.03,0,0,1
0.33,1.4,-1.58,-0.03,5.06,-3.65,0.49,-2.73,0.15,-2.5,-2.51,-1.36,0.8,2.66,-0.84,2.3,0,0,1
0.73,-1.22,0.38,-1.35,3.32,-1.81,2.11,1.11,0.98,-0.31,-0.11,-3.37,0.85,-1.98,-0.15,-3.87,0,0,1
3.36,-4.12,1.25,-5.04,1.89,2.88,0.52,0.94,1.58,0.08,-0.86,-4.94,-2.62,-2.66,1.88,2.02,0,0,1
-2.17,-0.82,3.12,-0.41,-2.71,3.44,3.37,-0.22,-3.15,-0.0,-0.54,0.18,0.32,-0.54,-2.2,0.24,0,0,1
-1.25,-0.04,-1.45,3.69,-1.75,-2.69,-0.01,1.95,-3.8,4.89,-0.8,1.69,0.83,-0.23,-3.73,-1.93,0,0,1
1.82,-2.04,-2.29,0.28,-3.65,4.68,1.02,-0.33,0.89,-2.0,-1.6,-0.51,-1.82,-0.9,-2.98,1.95,0,0,1
4.19,-5.81,-0.04,-4.4,-1.67,-3.83,-0.29,6.89,2.49,-1.82,0.46,-2.39,2.16,-0.44,7.18,0.15,0,0,1
1.21,4.84,-1.0,1.19,3.74,-1.32,1.95,-1.72,-1.08,0.55,-0.33,1.32,-0.38,-2.97,-3.73,-3.24,0,0,1
3.23,-2.0,1.63,-3.77,1.47,-0.26,2.14,0.25,0.4,-1.81,1.14,-3.01,1.88,-0.19,3.47,-1.92,0,0,1
0.61,-1.39,-0.68,2.98,-0.76,-4.25,4.71,2.93,-2.72,3.54,-0.69,-1.11,1.91,-3.67,3.62,-0.61,0,0,1
2.55,-0.23,-0.19,-4.19,5.25,-1.88,-3.13,-3.32,1.61,-3.87,-3.32,0.33,0.16,3.39,1.6,2.35,0,0,1
1.54,-3.61,-0.49,-1.09,-0.9,1.43,-0.0,0.48,-0.29,1.08,-1.7,-2.56,-3.66,-3.14,-3.64,1.5,0,0,1
5.13,-2.95,-1.5,-4.18,-0.83,5.92,0.25,-3.16,-0.19,-1.7,-4.63,-0.66,-3.89,-0.74,-5.55,2.47,0,0,1
-5.19,-0.97,4.31,2.0,-5.97,0.6,-1.98,1.2,0.46,-0.32,0.54,0.96,-2.64,0.55,-4.09,-2.3,0,0,1
-1.97,0.37,0.26,-0.11,-2.57,0.95,-1.42,0.17,0.65,-1.2,0.55,1.57,-0.26,2.89,0.64,2.25,0,0,1
1.03,-1.36,1.65,-0.37,-1.06,-1.96,2.12,4.79,-0.94,1.07,-0.87,-0.58,1.03,-3.24,2.36,-0.96,0,0,1
-2.39,4.08,-3.15,2.64,0.2,4.0,0.34,-0.99,-0.12,2.98,3.02,2.69,1.91,1.26,-1.21,-1.95,0,0,1
1.79,2.03,-1.53,1.3,1.41,-0.41,1.95,-1.21,3.19,-4.61,2.25,-4.16,-1.33,-2.86,-1.35,-1.54,0,0,1
1.86,-1.12,0.92,-1.49,-4.32,4.61,0.61,1.07,-0.65,-0.91,2.04,0.48,0.04,-1.3,-2.89,-3.56,0,0,1
2.52,-2.17,-0.93,-1.13,-2.0,1.82,-0.84,-0.77,0.48,-1.12,-3.4,-2.69,-7.14,-3.44,-7.39,3.48,0,0,1
0.12,0.66,-2.15,2.67,-1.83,-5.92,1.32,0.53,0.75,-5.75,0.42,0.61,2.97,2.08,0.42,-1.18,0,0,1
-2.64,0.66,4.6,-0.77,-3.14,3.27,1.66,-0.07,-0.99,-0.75,-0.6,0.79,-2.01,-0.94,-0.97,2.7,0,0,1
-0.66,-1.21,0.28,1.24,1.62,-3.04,0.63,0.71,-3.36,3.17,-2.47,1.78,2.86,0.73,0.95,0.34,0,0,1
1.33,1.17,0.13,1.08,1.14,-0.75,2.71,0.04,-0.04,-0.05,2.14,0.39,1.75,-2.2,5.28,2.34,0,0,1
4.77,1.17,-5.92,-0.19,2.6,-1.44,0.17,-0.07,4.43,-2.08,1.51,-2.52,-0.65,-1.82,3.38,-2.03,0,0,1
0.59,0.08,-0.5,2.46,-0.98,-2.18,5.34,1.72,-1.56,1.57,0.36,-3.62,-1.3,-4.54,-0.78,-1.4,0,0,1
1.89,-0.11,-0.26,-1.01,-2.37,-2.11,0.33,1.7,1.29,-3.52,-1.11,-0.1,-0.36,0.19,-2.42,-2.49,0,0,1
1.33,1.19,1.72,0.57,-3.33,0.69,6.06,0.48,-1.73,-1.66,-0.67,-0.81,-0.01,-3.18,-0.65,0.17,0,0,1
2.63,-0.67,0.98,-3.89,2.62,-0.07,-1.17,-1.28,0.92,-3.54,1.0,-1.12,0.74,1.41,0.98,1.18,0,0,1
3.17,1.87,-7.54,2.51,1.45,-4.15,-1.43,1.03,5.39,-3.64,1.0,-2.29,0.03,-0.03,-1.78,-1.39,0,0,1
2.52,0.64,-4.83,3.04,-0.17,-1.62,-0.61,1.21,2.47,0.16,-1.47,-0.09,-0.14,-1.45,-2.08,-1.83,0,0,1
2.95,2.1,0.27,-3.04,4.02,-0.88,1.2,-3.59,3.16,-6.38,-0.91,-4.01,-2.01,-0.78,-1.84,-0.37,0,0,1
-1.0,-3.61,0.52,-0.84,-4.21,1.84,3.17,4.65,1.12,1.18,-0.67,-3.51,-0.52,-1.96,-0.8,-2.78,0,0,1
0.76,-0.56,-0.43,0.22,-5.14,4.84,1.05,1.0,1.74,0.43,-0.75,-0.19,-2.94,-2.45,-2.08,-1.04,0,0,1
5.62,1.06,-2.57,0.28,3.05,-3.23,7.1,-1.31,-1.84,-1.37,0.38,-6.22,-0.95,-5.35,-0.41,-1.02,0,0,1
0.15,2.5,2.11,-1.09,0.46,2.32,-1.79,-2.49,-0.15,-1.41,1.67,1.57,-1.98,-1.34,-3.06,0.15,0,0,1
-1.09,-0.81,-0.88,0.55,-1.2,2.99,-0.77,-0.83,0.06,-1.05,-0.17,-0.03,-0.11,1.96,-4.67,-0.1,0,0,1
-4.25,-1.37,2.48,2.48,-2.45,-2.16,-1.85,-0.6,-2.02,0.46,-0.07,0.17,1.18,3.69,-1.9,0.12,0,0,1
5.72,-2.82,-0.39,-3.05,3.19,0.94,2.31,-0.63,-1.5,-1.93,-1.52,-1.61,-0.24,-4.04,-0.67,1.3,0,0,1
0.43,5.74,-2.54,0.26,2.8,2.86,2.44,-1.44,1.1,0.33,3.3,-0.79,-0.6,-2.07,-3.42,-4.15,0,0,1
-0.32,0.26,2.58,-1.35,2.56,-2.77,3.95,3.8,0.06,0.44,2.32,-0.55,6.56,0.12,10.82,-2.8,0,0,1
-0.27,1.19,-0.33,2.03,-2.2,-0.6,-1.23,-0.5,0.69,-2.89,1.13,2.53,0.13,-0.17,-2.23,-1.45,0,0,1
2.6,1.44,0.39,-0.04,1.63,-3.19,0.95,0.04,0.88,-4.21,-0.33,0.84,0.87,-2.07,1.87,-0.87,0,0,1
1.7,5.0,-0.68,2.02,0.38,-0.71,5.86,-0.4,0.05,-4.07,0.97,0.53,1.09,-5.15,-0.84,-3.88,0,0,1
0.82,-2.61,-0.26,0.61,0.7,-6.0,-4.13,-0.1,0.07,-2.28,-3.31,1.12,-0.39,2.38,-3.93,0.37,0,0,1
