@relation SyntheticData-N_1200-D_16-Nmin_100-Zmin_0-CL_3_3-R_0
@attribute X0 real [-7.70, 6.16]
@attribute X1 real [-6.59, 6.71]
@attribute X2 real [-7.28, 7.38]
@attribute X3 real [-9.08, 7.60]
@attribute X4 real [-9.20, 7.53]
@attribute X5 real [-9.47, 7.48]
@attribute X6 real [-7.36, 6.56]
@attribute X7 real [-7.71, 7.02]
@attribute X8 real [-7.23, 7.65]
@attribute X9 real [-8.34, 7.75]
@attribute X10 real [-7.44, 6.85]
@attribute X11 real [-8.36, 8.42]
@attribute X12 real [-6.64, 8.27]
@attribute X13 real [-8.21, 9.68]
@attribute X14 real [-7.35, 7.79]
@attribute X15 real [-8.71, 7.12]
@attribute cluster_idx {0,1,2,3,4,5}
@attribute is_noise {0}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,cluster_idx,is_noise
@output Class
@data
0.98,-0.16,-1.5,-0.39,1.17,4.12,5.65,-2.7,0.43,0.3,-0.53,0.93,-3.5,4.96,-0.09,-3.46,0,0,1
2.25,1.55,2.28,-1.41,2.62,-3.38,-2.17,0.3,-2.83,2.87,-1.11,-1.71,0.76,0.14,4.58,3.56,0,0,1
-0.76,1.01,7.38,-1.82,0.28,-4.66,-0.7,-1.25,0.23,-1.97,1.31,-4.31,-1.04,-1.12,2.24,3.34,0,0,1
1.95,0.69,-1.0,1.66,3.37,-3.39,1.17,-1.53,5.14,-3.06,4.19,-3.44,-2.15,-2.06,-0.82,-1.12,0,0,1
-2.61,-1.73,0.96,1.67,0.01,0.34,-1.86,-1.21,-0.5,0.45,1.71,0.74,3.25,-1.28,-4.75,-0.7,0,0,1
-0.72,-2.59,-2.25,0.87,1.42,-3.45,0.98,-1.95,-0.26,-4.28,5.49,3.24,-2.41,1.5,0.19,0.92,0,0,1
-3.23,0.11,1.8,-1.93,-2.78,4.26,2.11,1.81,0.12,4.34,-4.44,-3.22,5.13,1.01,0.9,0.78,0,0,1
-1.35,2.9,3.21,-0.1,-1.05,2.98,6.15,-0.17,0.97,-0.62,-0.1,-2.67,-1.0,0.03,-3.98,-0.72,0,0,1
-2.79,-1.33,0.76,3.43,-1.38,1.85,3.94,2.62,2.81,-2.63,-0.65,-0.24,0.39,1.23,0.77,-3.5,0,0,1
1.49,0.3,2.28,-4.46,2.18,-2.29,-1.31,1.3,-0.48,2.45,-2.65,-0.69,-2.18,-4.51,-1.24,2.93,0,0,1
-3.21,-0.16,-3.3,3.73,2.65,-4.2,-2.92,2.83,4.88,-1.48,2.99,-3.29,3.73,-4.24,0.16,2.25,0,0,1
-0.43,-0.22,3.54,-2.25,-0.77,-1.42,1.56,-0.86,-1.06,-2.97,1.37,2.33,-1.64,1.27,0.57,-0.98,0,0,1
-0.09,1.98,0.87,-1.33,0.09,0.47,4.8,2.84,-3.41,-1.36,-0.18,2.46,1.48,1.59,2.08,0.61,0,0,1
1.34,-0.27,2.69,-2.41,0.11,0.41,0.48,-0.37,0.96,3.48,-1.59,-4.18,-1.45,-1.71,-0.97,2.2,0,0,1
4.04,0.98,1.23,2.72,2.04,-3.1,2.73,-2.92,1.76,-5.06,5.14,-0.5,-4.97,1.51,0.49,-4.6,0,0,1
4.24,1.41,2.82,0.16,-1.02,2.69,3.22,1.32,-4.56,2.44,0.48,2.78,1.44,3.47,2.07,1.09,0,0,1
3.26,-0.79,0.61,-0.9,-0.83,1.95,-0.16,2.13,1.44,3.38,-1.69,0.63,0.49,0.42,2.17,-0.61,0,0,1
-0.11,-1.14,0.04,0.79,1.06,-4.56,-3.13,-3.38,0.77,-1.87,4.53,-0.36,-1.04,0.74,0.27,-0.59,0,0,1
-2.85,-1.36,-2.74,-1.59,0.55,-2.26,-4.26,1.65,1.43,1.9,-1.51,-0.81,1.74,-2.55,1.13,0.55,0,0,1
-1.62,-1.06,-4.18,-0.5,-0.31,-1.23,-5.85,5.95,0.55,3.36,-0.47,-0.8,4.12,-4.16,0.78,0.73,0,0,1
1.88,4.89,0.85,-2.03,-0.05,-0.19,0.84,2.94,1.95,-0.43,3.65,-2.13,-1.85,-2.78,-4.53,-0.76,0,0,1
-2.6,1.68,0.14,3.2,0.99,2.28,4.16,0.3,2.52,-1.7,3.5,-3.83,0.5,0.51,-4.1,-0.45,0,0,1
1.57,0.41,1.92,-2.98,-3.06,1.18,-1.09,6.15,-4.7,3.44,-4.44,1.36,2.87,0.34,5.59,-1.51,0,0,1
1.68,-1.19,-0.5,0.58,-1.07,1.51,0.41,1.38,-1.81,1.64,-0.33,3.75,2.17,1.46,1.63,-1.01,0,0,1
2.38,0.17,-0.01,-0.11,-0.93,-2.06,-2.78,4.28,0.33,-0.35,0.04,3.33,1.54,-1.12,5.1,-1.29,0,0,1
0.26,-0.21,-0.95,-0.55,2.52,-2.19,0.76,-0.6,-1.21,-0.01,0.48,-0.63,0.68,-0.99,1.33,1.86,0,0,1
0.69,-5.23,-0.72,-1.62,-0.81,-2.17,-2.57,-4.22,0.15,-1.41,6.66,4.23,-4.42,0.6,-4.67,1.05,0,0,1
-2.57,-4.67,-0.9,-0.3,-3.39,0.31,-1.59,-1.65,-4.51,-1.09,5.79,8.3,1.74,2.81,-2.74,2.64,0,0,1
