@relation SyntheticData-N_1200-D_16-Nmin_140-Zmin_0-CL_1_3-R_0
@attribute X0 real [-9.92, 8.64]
@attribute X1 real [-8.69, 7.95]
@attribute X2 real [-7.09, 7.56]
@attribute X3 real [-6.91, 8.18]
@attribute X4 real [-9.62, 9.16]
@attribute X5 real [-6.83, 8.24]
@attribute X6 real [-7.36, 8.56]
@attribute X7 real [-8.74, 8.28]
@attribute X8 real [-6.85, 7.89]
@attribute X9 real [-7.58, 6.19]
@attribute X10 real [-7.23, 6.73]
@attribute X11 real [-10.18, 7.34]
@attribute X12 real [-6.51, 8.85]
@attribute X13 real [-9.21, 6.40]
@attribute X14 real [-8.43, 7.47]
@attribute X15 real [-9.52, 8.15]
@attribute cluster_idx {0,1,2,3}
@attribute is_noise {0}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,cluster_idx,is_noise
@output Class
@data
-2.58,6.44,0.08,-1.98,0.0,0.53,-3.05,1.07,4.32,-1.34,4.01,-0.99,0.66,0.21,0.38,-0.46,0,0,1
-0.34,-3.8,-2.63,-1.07,1.56,-0.7,2.02,2.46,-3.46,3.28,1.75,1.39,3.08,1.94,-0.11,-6.55,0,0,1
1.96,-1.65,2.16,-3.18,-0.46,-0.46,-1.64,3.71,0.15,2.49,3.16,-0.22,-0.32,0.18,-0.44,-1.39,0,0,1
-0.27,-3.09,-0.55,3.55,-2.7,1.27,1.28,1.27,-2.12,-1.95,-1.49,2.12,-1.63,-2.34,-0.65,2.05,0,0,1
4.61,-4.03,3.61,-0.75,2.19,-2.35,-0.63,-8.74,-4.53,1.37,0.14,-2.01,1.59,5.74,3.88,1.89,0,0,1
-0.39,0.07,1.32,-0.03,-2.18,-3.75,-0.71,-2.08,1.42,2.34,-3.92,-0.04,-1.84,-1.11,-0.14,1.69,0,0,1
-0.64,-0.52,-1.35,0.01,2.16,2.07,1.72,5.79,1.85,-0.17,1.61,1.12,-0.1,-4.58,0.69,0.32,0,0,1
-2.23,1.21,0.34,0.83,-0.76,-0.49,-2.95,5.31,0.15,-1.88,-0.28,4.03,-1.79,-2.26,-3.5,4.56,0,0,1
4.33,-4.0,2.07,-1.66,0.31,-0.39,1.84,0.33,-3.35,2.96,1.02,-0.1,1.7,2.32,-2.69,-1.35,0,0,1
-1.41,-1.59,-2.63,0.42,-1.1,3.84,0.84,-1.4,0.62,-0.7,1.28,-2.35,1.04,-0.83,0.85,0.35,0,0,1
2.3,2.35,3.66,-3.18,-1.14,-0.0,0.4,-2.08,1.12,0.83,-0.17,-3.72,-3.61,1.93,0.73,0.71,0,0,1
0.41,-5.23,-2.96,3.39,0.57,1.23,-3.12,2.34,-1.08,-0.25,-1.78,4.44,-0.7,-0.75,-3.81,-0.83,0,0,1
-1.79,0.61,-0.35,1.36,-2.34,1.37,0.72,1.15,-0.05,0.43,1.89,-0.48,1.68,0.72,-1.59,-4.29,0,0,1
0.97,-0.47,-4.51,1.97,4.23,-4.32,-3.64,-5.28,-2.52,-3.2,0.19,2.98,2.16,3.75,3.36,3.26,0,0,1
-0.89,1.5,-2.2,-0.25,-0.18,1.89,-1.97,1.78,0.73,-2.81,2.95,1.15,-0.86,0.6,-1.25,0.87,0,0,1
1.7,1.81,0.52,-0.77,2.36,2.34,-0.96,1.19,1.61,-3.23,1.17,-1.63,0.33,-3.81,2.46,6.75,0,0,1
2.33,-2.88,-3.94,-1.11,2.72,-2.82,-0.85,-2.92,0.89,1.75,-2.79,0.15,1.98,-0.09,1.99,-1.52,0,0,1
-0.61,5.51,0.16,0.32,2.06,0.46,-1.87,-1.06,-0.42,-2.01,-2.84,-2.95,-4.03,2.0,1.58,0.61,0,0,1
1.77,2.55,-0.55,3.9,-3.99,-2.42,-3.52,4.01,-0.02,-4.67,-0.44,4.48,-1.99,-2.16,-4.45,2.42,0,0,1
-4.33,-1.62,-4.19,2.26,-2.32,2.49,-0.73,1.94,2.23,-1.49,-2.2,2.64,-4.72,-0.61,-2.72,-1.72,0,0,1
-3.1,2.78,-1.22,0.75,1.61,1.66,-0.22,0.72,3.38,0.11,0.51,-0.28,-0.3,-0.44,0.25,-1.88,0,0,1
-0.36,0.14,-1.61,-0.99,2.78,-1.32,-1.74,-0.45,-0.91,-1.11,3.34,-0.62,1.88,-0.14,5.03,3.6,0,0,1
3.96,-1.17,1.24,-3.07,-0.58,0.78,-1.59,0.86,-0.53,2.06,-0.47,-2.58,-0.88,-0.45,-0.73,-1.46,0,0,1
0.11,0.59,2.06,-5.26,-1.2,2.29,2.49,0.36,0.2,3.17,0.98,-5.56,-2.28,0.09,0.29,2.13,0,0,1
1.03,-2.38,-1.61,2.9,0.55,1.54,-2.03,1.47,-4.47,-1.27,-1.67,0.2,-3.07,0.74,0.08,-0.46,0,0,1
-0.22,3.8,0.36,2.4,-0.26,-2.59,-2.87,-1.7,-2.11,-3.44,0.16,0.15,0.1,1.74,1.59,3.6,0,0,1
-3.72,2.52,-1.29,-0.71,-3.48,-3.88,-3.1,3.5,-1.07,0.34,-0.52,1.26,-2.25,-0.15,-1.55,1.84,0,0,1
-2.04,-1.71,-4.69,2.09,1.47,-1.95,-2.22,-1.68,0.69,-1.08,-1.39,3.66,1.35,-1.25,1.06,2.39,0,0,1
-2.17,-3.19,-3.12,2.85,-1.8,-1.24,3.15,1.64,-0.65,0.8,0.43,3.91,4.12,-3.43,-1.25,-0.27,0,0,1
-4.22,5.77,1.97,1.61,-7.45,-0.38,0.33,4.61,4.18,-2.95,0.78,1.08,-2.34,-4.97,-2.45,3.04,0,0,1
-1.9,-0.17,-0.48,-1.39,-1.77,0.1,0.85,1.21,-3.44,2.38,-2.0,-2.5,-2.04,1.56,-0.25,-1.8,0,0,1
-3.98,-0.16,-1.13,2.54,2.07,0.45,-0.27,2.46,-2.4,2.46,-7.23,0.58,-5.75,-2.21,-0.39,1.25,0,0,1
-3.1,1.6,-1.9,0.44,-3.78,1.42,1.22,-0.88,0.19,-0.7,0.49,-2.61,0.56,1.42,0.95,-5.89,0,0,1
1.74,1.86,1.7,-0.51,-3.28,-3.19,-3.43,-1.09,-0.12,-1.1,1.05,-1.19,-2.47,2.65,0.98,1.05,0,0,1
-1.4,-0.68,0.98,2.87,-6.24,-3.69,-0.84,-2.33,3.83,0.06,-2.94,1.76,-1.32,-3.87,-0.94,4.49,0,0,1
-2.3,0.84,-2.55,1.97,1.86,-1.65,-0.79,-0.27,-1.88,-0.33,1.04,1.0,1.27,2.58,1.62,-2.75,0,0,1
-1.12,0.84,-2.47,3.12,-0.97,-0.37,2.12,-4.06,0.91,-1.6,-1.3,-1.28,1.48,-1.16,3.18,-0.41,0,0,1
-1.26,0.34,-1.75,-0.71,0.04,1.14,2.0,0.41,-1.52,0.7,0.14,-1.81,0.28,0.84,0.86,-3.05,0,0,1
-1.03,-1.74,-0.33,-0.21,-1.99,-2.73,-3.55,2.19,-4.79,0.85,-1.97,0.47,-3.84,0.85,0.22,2.65,0,0,1
-4.32,3.35,-5.87,8.18,-3.66,-0.77,-1.68,-0.31,2.33,-7.58,-1.33,4.29,0.94,-3.95,-0.04,3.33,0,0,1
-0.99,0.58,2.53,1.04,-1.08,-1.02,0.87,-4.23,-0.38,2.44,-1.96,-0.08,0.52,1.19,-2.32,1.83,0,0,1
-1.31,2.02,2.36,-0.38,-1.46,-0.01,-1.21,0.75,2.46,-0.23,-0.44,-1.63,-3.97,-2.22,1.91,3.53,0,0,1
-4.83,-2.74,-4.36,5.01,2.23,1.51,0.39,-0.48,0.91,-2.12,-0.71,4.16,-0.93,-0.1,1.77,-1.45,0,0,1
0.62,0.19,-2.6,-2.04,-0.66,-1.23,0.41,-0.02,0.77,-2.03,5.77,1.16,5.35,1.26,0.16,-0.63,0,0,1
-7.11,3.81,-4.98,1.51,-4.31,3.81,0.2,1.79,5.96,-2.93,0.57,1.66,-0.6,-4.88,-3.02,1.95,0,0,1
-2.55,-0.34,1.06,3.14,-3.79,2.36,2.15,1.74,0.74,-1.18,1.47,0.18,-0.18,-3.72,-0.32,2.7,0,0,1
-1.63,-0.07,-2.26,0.7,-3.13,0.91,2.98,-3.32,5.38,-1.8,1.01,-0.23,2.28,-3.53,0.98,2.32,0,0,1
-2.95,-3.85,1.23,-0.27,-1.5,-3.66,1.53,0.61,-1.07,4.19,-5.39,1.66,-3.64,-4.24,1.72,4.51,0,0,1
-1.03,-3.07,-3.26,-0.61,0.01,2.58,1.42,-0.35,-1.06,1.77,-1.5,-0.85,-1.15,0.9,-1.47,-1.75,0,0,1
1.47,-1.39,-2.01,-0.5,3.22,-4.69,0.38,-0.98,-0.35,1.6,-2.03,3.04,2.45,0.36,0.96,-1.59,0,0,1
-0.1,-1.58,-2.1,2.49,-2.18,1.47,0.58,-2.94,0.86,-1.2,2.44,1.36,1.94,1.76,-2.48,-1.34,0,0,1
0.38,2.66,-0.15,-0.18,2.12,-0.56,-0.56,-3.71,1.24,-1.51,-1.12,-3.21,-1.23,0.9,4.95,1.75,0,0,1
-1.63,-1.26,-2.48,1.28,-0.7,1.05,-2.11,1.79,-3.11,-1.24,2.29,-0.04,-1.12,1.42,1.76,-0.78,0,0,1
-3.58,1.95,-0.56,1.94,-8.18,3.17,3.13,1.9,3.8,-2.42,3.01,1.83,1.07,-1.18,-6.99,-2.14,0,0,1
-2.13,0.58,1.57,-1.73,-4.15,-0.26,-1.95,0.4,0.84,-0.2,1.22,-1.79,-2.84,-0.46,1.41,2.47,0,0,1
-2.99,-1.84,-2.81,1.63,0.72,-2.93,2.51,-1.56,0.21,1.85,-1.96,1.44,0.37,0.04,3.64,-3.15,0,0,1
0.62,-0.2,-1.34,-2.82,0.49,-0.07,-4.44,1.2,1.85,0.92,1.88,-0.19,-0.45,0.97,-0.57,-0.51,0,0,1
-6.0,0.18,-0.29,4.62,-8.5,1.18,-0.31,1.65,3.2,-0.34,-1.97,1.07,-2.51,-4.51,-2.41,-0.89,0,0,1
4.36,-0.83,0.12,-1.45,-1.5,-2.05,-2.75,-3.18,-0.08,-0.47,3.99,-1.9,1.2,3.49,2.06,-0.83,0,0,1
1.94,-3.43,-1.56,1.41,3.6,-3.72,0.94,1.05,-1.73,1.57,-0.98,4.57,3.4,-1.97,0.0,0.81,0,0,1
0.56,-0.59,0.67,-2.78,0.86,-0.1,5.07,-2.8,-0.21,3.02,0.51,-1.65,2.23,1.75,0.16,-2.45,0,0,1
1.31,-0.18,-0.68,1.17,-1.1,-1.36,-1.35,-1.49,1.69,-0.42,0.43,-0.55,1.4,-2.85,2.95,0.6,0,0,1
-2.72,0.56,-1.39,1.59,-1.29,1.59,2.36,4.86,0.32,-0.93,3.54,3.12,2.78,-1.86,-2.48,-3.09,0,0,1
-3.05,3.57,-0.03,-0.44,2.23,2.98,-3.62,4.72,-1.72,-2.36,-0.21,-0.9,-5.83,1.76,-0.09,1.47,0,0,1
-0.31,0.07,-1.65,0.1,1.86,3.03,2.81,2.5,2.71,0.22,-0.62,0.72,-0.53,-1.87,-1.2,-3.5,0,0,1
1.98,-5.31,0.12,0.35,0.36,-0.69,-0.54,3.96,-1.65,1.76,-0.98,2.04,-2.63,-1.69,-0.51,0.8,0,0,1
0.37,-4.57,-3.84,1.37,-0.43,1.09,0.34,-0.34,1.18,-1.23,2.28,1.6,1.78,-1.39,1.72,-0.97,0,0,1
-4.04,2.12,2.24,-2.13,-1.54,2.46,3.16,2.54,-1.15,3.68,-3.46,-3.65,-3.86,-0.06,-1.52,-2.48,0,0,1
-2.9,-2.0,-1.13,-1.77,0.61,3.02,2.81,0.82,-1.58,1.98,0.99,-2.84,-1.67,1.4,3.31,-2.91,0,0,1
