@relation SyntheticData-N_1200-D_16-Nmin_140-Zmin_16-CL_1_1-R_0
@attribute X0 real [-8.93, 8.05]
@attribute X1 real [-10.24, 10.79]
@attribute X2 real [-7.81, 9.19]
@attribute X3 real [-7.58, 7.62]
@attribute X4 real [-7.53, 8.02]
@attribute X5 real [-6.81, 7.21]
@attribute X6 real [-8.50, 9.52]
@attribute X7 real [-8.59, 9.13]
@attribute X8 real [-8.21, 6.83]
@attribute X9 real [-7.89, 8.32]
@attribute X10 real [-8.36, 8.38]
@attribute X11 real [-7.27, 9.15]
@attribute X12 real [-10.40, 9.37]
@attribute X13 real [-7.85, 7.22]
@attribute X14 real [-7.44, 6.94]
@attribute X15 real [-7.82, 7.93]
@attribute cluster_idx {0,1}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,cluster_idx,is_noise
@output Class
@data
3.0,5.64,2.13,0.43,3.17,0.07,0.49,-1.65,-1.19,-2.79,2.41,-3.15,2.46,-0.95,0.4,0.01,0,0,1
1.92,4.27,9.19,0.33,2.41,2.53,-0.27,0.16,-1.37,-6.69,0.5,-3.0,3.75,-0.96,0.44,-2.1,0,0,1
0.58,-4.29,0.33,4.18,-4.79,3.93,1.33,-2.47,0.54,-2.59,0.89,6.03,-0.19,-7.85,4.39,1.49,0,0,1
2.5,2.52,-4.61,3.65,-1.24,4.05,-0.78,-2.71,0.33,-1.62,-3.07,3.4,-0.82,-2.64,1.24,2.83,0,0,1
-0.32,-2.62,-0.25,2.92,-0.73,0.39,-0.09,-0.16,-1.2,-3.48,-2.76,1.42,-1.23,-0.91,0.68,1.14,0,0,1
2.16,2.34,1.39,1.0,0.24,-0.15,-1.39,-1.12,-0.9,1.64,-1.55,-1.52,-0.28,-1.07,-1.54,0.16,0,0,1
3.56,1.96,-2.06,1.98,-1.36,4.22,-2.46,1.08,-0.44,-1.82,0.4,4.6,-0.23,0.58,2.64,-0.83,0,0,1
-3.31,-6.79,-1.57,3.4,-3.9,-1.89,-1.57,-1.22,-2.23,-2.81,0.4,1.72,1.41,-0.16,4.28,0.35,0,0,1
2.44,2.0,0.59,-1.17,1.72,-0.91,1.57,3.01,-1.12,0.04,0.19,-0.7,-2.72,-0.09,-2.47,0.73,0,0,1
-0.31,-0.16,3.39,-1.16,-0.85,-2.52,-2.33,-0.9,0.25,-0.71,0.72,0.75,1.75,0.6,1.82,-1.61,0,0,1
1.84,1.7,-1.41,-0.69,4.14,0.29,-0.07,3.33,-0.47,-2.33,2.71,1.81,-1.2,3.22,0.5,-3.19,0,0,1
1.61,-2.54,-1.32,-2.29,0.59,-2.36,-2.98,1.85,-1.58,1.52,2.91,1.97,-2.15,4.54,1.02,-1.05,0,0,1
-0.61,0.74,-4.86,-4.63,4.24,0.34,0.18,3.96,0.42,3.14,-1.66,-0.94,-2.22,2.66,-2.53,-1.63,0,0,1
1.48,3.56,-2.26,-1.25,2.1,-0.67,1.43,4.07,3.27,0.37,-1.25,2.51,-0.41,2.94,-2.08,-0.48,0,1,0
2.73,1.84,-2.54,0.47,0.63,-1.26,-2.71,-0.34,-1.9,0.91,2.52,-0.61,0.14,3.15,0.74,0.2,0,0,1
3.94,2.93,-1.86,-1.86,-0.47,-1.45,-2.94,0.22,-1.6,0.33,0.13,0.52,-2.22,3.07,-0.11,3.44,0,0,1
1.46,-1.03,0.86,1.07,4.0,4.88,1.79,1.12,-0.04,-0.01,-3.25,-1.7,1.58,-2.61,-1.7,-2.96,0,0,1
2.72,2.31,3.26,-1.21,-0.51,-2.55,0.63,4.34,-0.47,2.04,-1.44,-1.32,-1.44,1.41,-4.2,0.92,0,0,1
1.71,2.63,0.02,2.93,0.11,0.52,1.0,-0.15,3.64,-4.0,0.77,3.37,5.62,0.78,2.86,-0.87,0,0,1
0.62,-0.78,-3.87,1.38,1.51,4.49,-0.04,-1.9,-1.47,-0.53,2.04,0.71,0.55,-2.94,2.53,-0.85,0,0,1
1.78,2.84,0.85,1.54,-0.09,0.93,-3.2,0.13,-4.91,-5.58,1.06,0.81,-2.73,2.28,2.73,-0.84,0,0,1
4.36,-0.48,2.07,3.03,0.57,-0.25,-0.22,1.99,-0.74,-3.93,0.96,2.78,-0.02,0.15,0.81,-0.65,0,0,1
-5.02,-3.04,2.27,0.08,-4.1,0.56,-0.56,0.57,0.61,2.09,-4.09,-0.34,0.5,1.72,-0.74,-0.25,0,1,0
1.21,-2.09,4.07,-0.34,-0.45,-3.36,0.38,0.14,1.65,-0.54,0.83,2.57,-1.46,1.2,-0.7,1.2,0,0,1
-2.2,0.87,-0.19,-0.73,-4.0,0.81,1.55,3.07,3.15,3.82,-4.01,4.51,-4.03,-0.36,-2.96,0.73,0,0,1
-2.16,-4.6,-3.74,0.41,-3.45,-2.16,-2.12,0.08,-0.71,2.2,0.11,2.67,-0.87,2.25,2.18,0.08,0,0,1
3.34,3.89,1.33,1.63,0.2,-3.08,-3.53,-1.66,-4.0,0.58,0.01,-2.99,-2.62,4.69,-2.05,2.03,0,0,1
5.04,1.49,-1.11,3.36,-3.11,-0.95,-1.75,-1.92,-3.08,0.46,-0.16,1.07,-4.89,-2.63,-1.33,5.85,0,0,1
-0.08,-2.27,-0.22,2.29,0.61,2.35,0.21,1.16,-1.36,-4.05,1.38,2.47,-0.13,0.63,2.24,-1.68,0,0,1
2.93,-3.89,-2.52,-2.28,1.38,-0.48,-0.28,2.49,0.21,5.78,3.26,4.37,-4.71,0.1,-0.92,-2.35,0,0,1
3.66,1.6,0.12,4.1,0.52,-0.29,-0.25,2.32,-3.98,-0.68,1.01,-1.48,-2.16,1.39,-2.54,0.59,0,0,1
1.0,-2.05,1.96,0.64,-3.68,0.9,-2.13,-1.75,0.44,2.07,-0.05,2.09,0.5,1.12,1.23,1.17,0,0,1
-5.23,-4.15,2.33,0.42,-3.27,0.52,0.88,2.09,1.16,-0.01,-1.51,2.01,-0.43,-1.47,0.68,-2.31,0,0,1
-2.7,-2.16,0.02,1.58,1.31,-3.3,0.04,1.28,-1.55,-0.54,-0.55,-4.18,1.94,2.7,-1.57,-0.6,0,0,1
-2.78,5.58,0.99,-0.93,3.47,-1.07,-1.11,-2.0,-1.77,-0.14,3.32,-5.79,1.9,3.2,-0.9,-1.75,0,0,1
4.63,-0.14,-1.6,0.15,4.28,1.88,-3.17,-0.57,-4.95,1.01,2.59,-2.99,-0.89,1.51,-0.19,-1.56,0,0,1
2.13,0.16,-0.57,1.58,0.32,-3.24,-1.85,0.55,-3.43,-4.82,1.55,-0.51,-2.0,0.46,0.43,3.45,0,0,1
-4.28,-1.55,-0.89,-0.53,2.01,3.71,-1.47,-2.48,-2.34,-1.85,0.43,-0.65,-1.78,-0.37,2.21,-2.66,0,0,1
0.37,1.53,1.84,1.94,2.08,1.93,-0.62,-3.41,-0.39,0.31,1.38,-2.16,0.8,0.16,-0.83,-0.22,0,0,1
-2.9,-0.63,0.44,-3.25,1.97,1.63,1.13,2.63,2.29,1.73,-1.74,-1.22,2.87,-0.21,-0.43,-3.85,0,0,1
0.82,1.02,-5.05,0.55,-0.23,0.95,2.05,-1.22,6.83,3.96,-0.89,3.42,4.64,-0.17,0.19,1.27,0,0,1
-0.44,-3.45,-5.2,0.19,0.05,-2.75,1.12,3.38,1.98,8.23,-0.58,0.26,-2.5,2.68,-5.01,1.12,0,0,1
-2.57,4.27,3.57,-3.54,3.44,0.34,-0.1,0.08,2.5,0.01,-0.64,-3.66,3.74,4.16,-1.81,-1.84,0,0,1
-0.49,-1.81,-2.18,-0.1,1.15,-1.36,0.11,-0.13,-0.22,3.13,1.14,-0.6,-2.81,-0.8,-2.74,1.94,0,0,1
4.16,1.2,2.73,1.14,-1.85,-0.0,-1.67,-0.14,-0.18,-0.29,-0.22,0.65,1.15,0.47,0.18,1.55,0,0,1
1.83,-0.76,-2.35,0.29,-0.91,2.81,-1.01,-1.95,-0.02,0.79,-0.6,2.21,-1.33,-0.77,0.91,2.43,0,0,1
0.05,0.9,-0.39,-3.57,3.15,-6.81,0.11,1.71,0.35,1.53,4.02,-2.08,0.69,2.46,-1.1,-0.43,0,0,1
-0.71,2.01,3.06,1.12,-0.24,-3.13,0.95,-0.07,-0.29,-1.45,-0.85,-0.73,-4.14,-0.41,-3.63,3.44,0,0,1
-2.57,-2.23,-0.36,-7.46,1.1,2.19,-0.43,3.64,2.5,3.63,-2.14,-0.15,0.39,1.24,-0.85,-1.66,0,0,1
2.13,0.73,2.53,0.19,1.49,2.26,-2.53,1.43,-4.39,-5.94,1.5,-0.42,-0.43,1.41,2.08,-1.2,0,0,1
-4.05,-4.08,2.43,2.09,-2.5,0.17,-0.59,-4.12,-0.05,0.99,2.1,-0.57,3.85,-2.32,3.32,-2.45,0,0,1
-2.87,-0.93,0.94,1.78,-4.78,-1.95,-0.51,-4.57,2.61,2.15,1.41,0.98,3.83,-0.09,2.64,1.57,0,0,1
4.65,1.06,0.24,1.65,3.09,1.57,-3.17,-1.05,-5.6,-3.07,2.12,-0.14,-4.42,0.6,0.44,-0.34,0,0,1
-0.55,-1.25,-0.07,0.58,2.69,0.74,-1.2,-1.19,-3.22,-1.37,1.23,-2.05,-1.74,1.01,0.23,-1.24,0,0,1
0.5,-6.25,0.3,2.35,-3.17,-3.18,1.17,-0.07,1.07,1.05,1.17,3.92,0.01,-2.34,1.54,0.54,0,0,1
-2.98,-2.44,1.27,-4.05,1.17,-2.75,-3.17,2.13,-1.36,-0.41,0.33,-2.71,3.25,6.58,2.16,-3.73,0,0,1
-1.6,2.6,0.32,-0.63,2.07,0.04,-3.4,0.19,-6.08,-2.69,1.12,-4.47,-2.83,4.29,-0.34,-0.62,0,0,1
1.14,4.22,-0.49,3.6,1.6,-0.43,-1.94,-1.41,-3.97,-4.03,0.43,-3.17,1.84,0.94,1.41,-1.05,0,0,1
2.7,3.42,0.63,-1.81,3.49,-2.4,0.04,3.12,-1.07,-1.0,0.88,-2.3,-1.28,3.35,-2.8,0.83,0,0,1
-0.48,-0.14,-2.84,-0.09,1.37,-0.55,1.64,3.92,0.56,0.9,-0.56,1.38,-2.84,-0.28,-2.42,-0.38,0,0,1
-4.63,1.15,2.63,1.53,-1.95,1.01,0.69,-3.06,-0.42,-4.26,1.57,-1.37,3.44,-0.85,3.32,0.0,0,0,1
0.13,-2.97,-4.0,2.84,-0.83,-0.2,1.97,1.92,0.46,-1.14,-2.0,4.06,-3.2,-1.0,-0.69,2.29,0,0,1
-3.98,2.25,2.23,-3.04,2.7,-2.27,2.22,-0.83,4.32,-0.61,2.93,-4.14,8.15,2.33,0.85,-1.03,0,0,1
-0.67,-2.43,2.73,2.04,-3.64,-3.36,-4.01,-0.85,-4.23,1.02,-0.18,-2.15,-2.67,3.79,-1.39,2.5,0,0,1
2.89,1.59,2.32,-1.76,0.03,1.44,-0.73,4.18,-2.42,-0.92,2.51,3.32,-4.2,-1.47,0.23,-2.6,0,0,1
3.4,7.81,2.64,-1.54,0.01,1.81,-0.33,0.19,0.09,1.28,-1.57,-3.65,0.9,-0.21,-3.63,3.45,0,0,1
-3.24,1.69,-0.79,1.79,2.32,-1.68,1.05,-2.7,-0.7,-5.11,3.72,-2.21,3.59,0.22,3.23,-1.09,0,0,1
-1.97,-5.38,1.88,1.06,-0.88,-1.69,0.2,-1.2,0.44,0.11,1.86,0.47,0.16,1.47,0.48,0.8,0,0,1
2.99,4.01,-0.6,-0.06,0.42,-0.32,1.43,1.85,3.02,4.03,-2.19,0.81,0.18,1.59,-3.37,0.5,0,0,1
-1.67,-1.56,-7.81,1.84,2.15,-1.24,-1.51,-1.75,-2.97,-1.11,3.43,0.89,-2.59,1.79,2.29,0.17,0,0,1
-2.38,-0.95,-5.15,1.68,-0.89,2.92,-2.36,-0.8,-3.46,-2.25,0.94,0.66,-1.13,-0.55,2.83,0.19,0,0,1
0.99,0.02,0.92,-1.68,2.57,3.79,1.41,-0.45,2.9,0.28,0.43,0.13,4.26,-0.88,1.12,-1.64,0,0,1
6.14,2.98,-0.66,3.11,-0.85,1.6,0.59,0.47,2.08,1.89,-0.97,2.08,-0.09,-2.42,-2.33,2.84,0,0,1
0.58,-3.6,1.11,2.19,-3.88,-0.7,0.46,1.48,0.96,-0.01,0.11,3.45,1.62,-0.28,1.64,0.03,0,0,1
-1.7,-0.28,0.74,0.17,0.38,1.39,3.01,-1.56,1.9,1.34,-1.2,0.63,-0.6,-3.61,-0.99,0.23,0,0,1
1.74,1.6,-2.85,1.0,3.32,5.39,-1.28,-1.74,-3.56,-0.25,-0.33,-0.67,-2.29,-2.36,0.81,-2.45,0,0,1
-2.7,0.72,-2.67,0.77,1.64,0.32,5.62,2.24,3.22,4.41,-0.98,-2.14,0.33,-2.04,-5.0,0.72,0,0,1
-2.72,-2.55,-0.34,-0.63,-1.11,-4.36,0.51,-0.95,2.48,1.47,0.06,-1.22,3.69,1.04,0.08,1.85,0,0,1
-1.27,0.17,-0.51,-0.33,4.83,-2.39,3.57,2.21,0.42,1.31,0.58,-3.91,-0.89,-0.93,-4.47,-0.2,0,0,1
-4.91,2.12,0.19,-2.96,1.15,1.6,-1.16,0.24,0.05,-1.67,1.26,-2.34,3.63,1.94,2.12,-2.8,0,0,1
-3.14,0.4,0.7,-3.87,1.66,-1.98,-1.95,-0.8,-2.32,3.21,1.9,-2.79,-3.9,3.37,-1.59,-1.01,0,0,1
-3.45,-0.44,5.28,-4.19,1.26,1.02,3.77,7.14,2.03,1.06,-2.63,0.12,-2.87,1.84,-4.78,-2.89,0,0,1
