@relation SyntheticData-N_1200-D_4-Nmin_100-Zmin_32-CL_1_1-R_0
@attribute X0 real [-3.46, 3.74]
@attribute X1 real [-2.72, 2.77]
@attribute X2 real [-3.83, 2.82]
@attribute X3 real [-4.82, 4.48]
@attribute cluster_idx {0,1}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,cluster_idx,is_noise
@output Class
@data
-1.08,0.43,-1.69,0.57,0,0,1
-0.43,0.81,-1.13,0.9,0,0,1
-1.08,0.88,-1.83,1.8,0,0,1
-0.97,-2.22,0.19,-0.6,0,0,1
-0.2,-1.31,0.99,-0.0,0,0,1
2.11,2.77,2.01,0.05,0,0,1
1.48,1.34,1.22,0.41,0,0,1
2.48,0.56,2.82,-0.36,0,0,1
-0.42,1.46,-1.01,1.29,0,0,1
0.82,0.51,0.13,-0.13,0,0,1
0.5,0.3,0.37,0.12,0,0,1
-1.82,-0.45,-1.93,0.12,0,0,1
0.35,2.02,-0.63,0.61,0,0,1
1.28,1.88,0.58,-0.28,0,0,1
-0.42,-1.35,0.41,-0.16,0,0,1
-1.65,-2.52,-1.02,-0.59,0,0,1
1.36,0.43,1.58,-1.32,0,0,1
1.27,0.45,1.05,0.31,0,0,1
1.73,0.24,2.01,-0.72,0,0,1
-0.59,0.0,-0.78,-0.76,0,0,1
1.32,0.57,1.65,0.17,0,0,1
1.84,0.56,2.27,0.46,0,0,1
0.39,0.81,0.31,0.24,0,0,1
-1.0,0.72,-1.41,-0.01,0,0,1
1.33,-0.04,1.78,0.21,0,0,1
-0.46,0.49,-0.49,0.76,0,0,1
-0.06,-0.78,0.21,-0.74,0,0,1
0.26,2.69,-0.68,0.9,0,0,1
-0.54,-1.46,0.07,-0.3,0,0,1
0.31,-0.55,0.68,0.05,0,0,1
0.87,0.55,0.43,0.78,0,0,1
0.57,-0.36,0.91,-0.99,0,0,1
-0.55,-2.48,0.44,-0.92,0,0,1
0.44,0.83,0.5,0.45,0,0,1
-1.0,-2.72,0.17,-1.96,0,0,1
-0.57,-0.68,-0.16,0.44,0,0,1
-0.66,-1.25,-0.25,-0.28,0,0,1
-0.72,0.19,-1.16,-0.98,0,0,1
1.05,0.26,0.58,0.6,0,0,1
0.35,0.3,0.75,-0.46,0,0,1
0.38,1.1,-0.13,0.09,0,0,1
1.85,1.8,2.44,0.19,0,0,1
-1.28,-0.82,-0.89,0.77,0,0,1
1.75,0.84,1.91,0.39,0,0,1
0.7,-2.15,2.07,-0.52,0,0,1
-0.22,-1.04,0.64,-0.94,0,0,1
1.05,1.14,0.6,-0.03,0,0,1
1.57,1.13,1.2,0.51,0,0,1
-1.87,-0.82,-1.98,-0.0,0,0,1
0.5,0.52,0.0,-0.53,0,0,1
-2.78,0.08,-3.83,0.04,0,0,1
0.62,-0.7,1.15,-0.28,0,1,0
1.53,0.5,1.81,0.16,0,0,1
-1.15,-0.22,-1.01,-0.37,0,0,1
0.75,1.14,0.52,1.02,0,0,1
1.1,0.35,1.26,0.63,0,0,1
0.63,1.34,0.26,-0.05,0,0,1
-0.11,-0.42,-0.12,-0.4,0,0,1
-0.19,0.59,-0.43,0.57,0,1,0
1.48,1.79,1.13,0.98,0,0,1
-1.86,-1.74,-1.67,0.4,0,0,1
0.85,1.51,0.11,1.0,0,0,1
0.22,0.51,-0.16,0.82,0,0,1
0.74,0.04,0.36,0.91,0,0,1
-1.36,0.04,-1.35,0.77,0,0,1
-0.14,1.37,-0.89,0.68,0,0,1
0.69,1.77,-0.01,-0.27,0,0,1
-2.08,-1.5,-2.17,-0.25,0,0,1
-0.81,-1.26,-0.88,-0.64,0,0,1
0.33,1.1,-0.15,0.4,0,0,1
-0.04,-1.14,0.45,-0.6,0,0,1
-0.54,-0.36,-0.37,0.59,0,0,1
1.88,-0.01,1.99,-0.87,0,0,1
0.17,1.66,-0.64,1.14,0,0,1
-1.97,-0.94,-1.82,0.47,0,0,1
1.55,1.73,1.21,0.62,0,0,1
-0.29,1.59,-1.38,1.06,0,0,1
0.82,1.89,0.37,0.41,0,0,1
0.41,-0.92,1.19,-0.19,0,0,1
0.15,0.75,0.19,0.48,0,0,1
-3.34,-1.62,-3.69,-0.31,0,0,1
-1.78,-0.9,-1.99,-0.13,0,0,1
-0.03,0.47,-0.27,-0.01,0,0,1
-0.11,0.81,-0.34,-0.33,0,0,1
0.87,0.48,0.63,0.05,0,0,1
-0.54,-1.17,-0.18,-0.41,0,0,1
-0.7,-0.07,-0.49,0.45,0,0,1
-0.12,1.13,-0.56,-0.9,0,1,0
-0.79,-1.43,-0.43,0.48,0,0,1
0.8,2.08,0.65,0.47,0,0,1
-0.56,0.32,-1.16,0.55,0,0,1
0.81,0.07,0.32,0.01,0,0,1
0.01,1.13,-0.67,0.76,0,0,1
0.76,0.36,0.55,0.0,0,0,1
1.01,0.77,1.21,-0.87,0,0,1
0.63,2.24,-0.18,0.56,0,0,1
1.22,1.24,0.53,0.97,0,0,1
