@relation SyntheticData-N_1200-D_4-Nmin_100-Zmin_32-CL_2_3-R_0
@attribute X0 real [-4.19, 4.16]
@attribute X1 real [-3.58, 3.23]
@attribute X2 real [-3.77, 5.07]
@attribute X3 real [-6.15, 4.07]
@attribute cluster_idx {0,1,2,3,4}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,cluster_idx,is_noise
@output Class
@data
1.44,0.8,0.42,0.86,0,1,0
0.04,0.01,-0.44,0.94,0,0,1
-0.17,0.14,-1.0,0.47,0,0,1
2.73,-0.57,1.67,-0.34,0,0,1
-0.34,-0.63,-1.4,1.06,0,0,1
1.99,1.32,3.07,-0.39,0,0,1
1.45,-0.92,-0.09,1.05,0,0,1
1.04,-2.33,0.77,-1.0,0,0,1
-1.02,0.65,-0.55,-0.1,0,0,1
2.18,-2.0,1.77,-0.31,0,0,1
-0.99,-0.4,-0.62,-1.02,0,0,1
0.31,-0.99,-1.01,0.3,0,0,1
2.53,-0.94,1.82,-0.51,0,0,1
-0.93,1.58,-0.01,0.75,0,0,1
0.95,0.36,0.24,0.58,0,0,1
0.07,-0.09,0.12,-0.77,0,1,0
0.4,-0.85,0.25,-0.74,0,0,1
1.45,-0.77,0.98,0.0,0,0,1
0.93,1.85,1.42,1.62,0,0,1
0.93,1.69,1.8,0.18,0,0,1
0.16,-0.23,0.6,-0.68,0,0,1
1.72,2.68,1.05,2.86,0,0,1
-1.66,0.93,-1.16,0.61,0,0,1
-1.32,0.51,-2.53,0.11,0,0,1
2.89,1.07,5.07,-0.55,0,0,1
0.02,2.64,1.09,1.18,0,1,0
0.6,0.91,2.28,-0.69,0,0,1
-0.86,0.4,-0.59,-0.48,0,0,1
0.1,-1.12,-0.76,-0.58,0,0,1
0.03,0.15,-1.14,0.81,0,0,1
-0.37,2.62,1.03,2.11,0,0,1
1.48,1.77,2.16,0.46,0,0,1
-3.0,1.31,-1.97,-0.98,0,0,1
0.34,0.9,0.05,0.71,0,0,1
2.28,3.16,2.73,2.72,0,0,1
-1.46,-1.22,-3.77,0.38,0,0,1
-0.2,0.06,-0.75,-0.43,0,0,1
0.31,1.24,0.13,1.07,0,0,1
0.98,0.18,1.2,0.01,0,0,1
-0.75,1.8,-1.98,1.45,0,0,1
1.1,0.07,1.06,-0.66,0,0,1
2.2,0.36,3.75,-0.86,0,0,1
0.82,-0.56,-1.29,0.61,0,0,1
0.69,1.36,-0.39,1.77,0,0,1
-0.55,0.23,-0.69,0.46,0,0,1
-1.59,-0.03,-2.11,-0.14,0,0,1
0.29,-0.49,-0.57,0.33,0,0,1
0.82,-0.17,0.23,0.6,0,1,0
1.18,2.52,3.24,-0.25,0,0,1
0.46,0.68,1.59,-1.38,0,0,1
-0.51,-0.49,-2.19,-1.71,1,0,1
3.0,2.73,1.23,-1.0,1,0,1
0.16,1.52,2.02,-0.06,1,0,1
-0.54,0.16,0.91,0.56,1,0,1
0.52,0.95,0.43,-0.21,1,0,1
1.54,1.66,-0.2,-1.83,1,0,1
2.66,2.99,1.44,-1.18,1,0,1
1.99,1.68,0.33,-0.98,1,0,1
-2.83,-1.18,1.22,1.19,1,0,1
-0.03,0.01,-0.69,-0.85,1,0,1
-1.46,-0.3,0.98,1.09,1,0,1
-1.08,-0.01,1.47,1.05,1,0,1
0.14,-0.39,-1.67,0.18,1,0,1
0.64,2.0,2.58,-0.09,1,0,1
-0.2,-0.35,-0.07,0.6,1,0,1
0.91,1.57,1.53,-0.74,1,0,1
0.38,0.31,-0.26,-0.63,1,0,1
-2.82,-1.82,-1.49,-0.51,1,0,1
-2.02,-2.08,-2.59,0.52,1,0,1
0.58,1.17,2.01,0.93,1,0,1
0.28,1.48,2.1,-0.33,1,0,1
-1.46,-1.68,-2.17,-0.62,1,0,1
-1.4,-1.52,-2.08,-0.66,1,0,1
-2.24,-1.63,0.06,1.78,1,0,1
0.64,1.14,0.82,0.3,1,0,1
-0.19,0.42,0.48,0.71,1,0,1
1.71,1.58,0.56,-0.68,1,0,1
-0.77,-0.95,-2.14,-1.14,1,0,1
1.19,1.33,0.68,-0.15,1,0,1
-1.18,-1.24,-1.47,-0.02,1,0,1
-1.0,0.18,0.74,0.28,1,1,0
-0.65,0.08,0.88,0.33,1,0,1
-0.59,-0.17,-0.36,-0.56,1,0,1
-2.25,-1.44,-1.0,-0.46,1,0,1
-0.56,0.6,1.0,-0.85,1,0,1
-3.92,-2.41,0.17,1.34,1,0,1
-0.46,0.98,3.17,1.76,1,0,1
0.1,0.11,-1.3,-1.42,1,0,1
-1.23,-0.48,-0.71,-0.49,1,0,1
0.75,0.84,0.87,-0.36,1,0,1
-3.07,-2.36,-0.83,1.26,1,0,1
0.76,0.79,-0.74,-1.5,1,0,1
0.13,0.62,-0.52,-2.26,1,0,1
