@relation SyntheticData-N_1200-D_8-Nmin_140-Zmin_16-CL_3_3-R_0
@attribute X0 real [-6.26, 6.66]
@attribute X1 real [-4.79, 5.62]
@attribute X2 real [-6.05, 6.54]
@attribute X3 real [-7.44, 7.92]
@attribute X4 real [-4.96, 5.01]
@attribute X5 real [-4.64, 4.88]
@attribute X6 real [-6.05, 4.98]
@attribute X7 real [-5.97, 5.16]
@attribute cluster_idx {0,1,2,3,4,5}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,cluster_idx,is_noise
@output Class
@data
-1.99,-0.21,-0.8,1.66,0.88,2.17,-2.08,-0.52,0,0,1
0.82,0.49,-0.73,-0.52,1.01,-1.12,-0.12,-0.13,0,0,1
-2.97,-1.3,0.39,0.43,1.42,-1.25,-3.08,0.56,0,0,1
0.49,-0.19,-0.59,0.78,1.3,-0.06,-0.32,1.56,0,0,1
0.63,-0.41,-0.16,0.96,-1.91,1.01,-1.29,-1.4,0,0,1
-2.52,-0.27,3.2,-2.27,-0.31,-3.22,1.22,1.15,0,0,1
-1.16,1.38,-0.62,1.39,1.95,-1.04,-2.33,2.38,0,0,1
-0.84,0.55,0.74,-1.2,-3.49,0.21,1.45,-0.62,0,0,1
-5.02,0.16,2.37,-0.47,-0.85,-0.72,-0.4,1.52,0,0,1
-6.26,-1.56,3.67,-2.78,0.28,-3.52,-0.26,0.58,0,0,1
3.84,1.73,-0.24,1.0,1.03,-1.53,-0.21,0.35,0,0,1
-2.55,0.57,1.43,-1.05,-3.4,0.44,1.99,0.72,0,0,1
0.76,-1.42,0.04,0.2,-0.75,-1.07,-2.41,-1.4,0,0,1
1.28,0.76,-0.11,1.84,-0.32,1.32,-1.24,-1.41,0,0,1
-0.47,0.76,-0.78,1.56,-0.48,3.07,-0.25,-1.01,0,0,1
-0.17,3.0,-2.08,1.51,1.22,0.13,-1.27,0.95,0,0,1
-1.94,-2.63,0.6,0.03,-0.23,0.11,-1.92,0.12,0,0,1
-0.83,1.83,0.05,1.05,-0.83,1.84,0.45,-1.54,0,0,1
-4.53,0.37,-0.1,-0.07,-0.42,1.15,-0.17,1.73,0,0,1
2.11,1.65,-0.46,1.14,-3.4,2.85,2.01,0.34,0,0,1
2.08,-0.34,0.09,2.08,-1.15,2.71,-0.67,-1.87,0,0,1
0.78,-2.1,2.05,-0.5,3.39,-3.35,-0.93,0.82,0,1,0
