@relation SyntheticData-N_1200-D_8-Nmin_140-Zmin_8-CL_1_1-R_0
@attribute X0 real [-5.79, 6.00]
@attribute X1 real [-6.84, 4.99]
@attribute X2 real [-5.66, 6.58]
@attribute X3 real [-5.34, 4.97]
@attribute X4 real [-3.55, 4.92]
@attribute X5 real [-5.59, 5.68]
@attribute X6 real [-5.55, 6.04]
@attribute X7 real [-4.53, 5.24]
@attribute cluster_idx {0,1}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,cluster_idx,is_noise
@output Class
@data
0.18,-1.23,-0.16,0.51,2.27,-0.52,-2.5,-0.69,0,0,1
-1.42,-2.25,1.71,0.83,-0.04,-1.85,-2.14,1.74,0,0,1
2.01,-2.05,0.5,0.3,0.56,-0.23,4.64,-2.23,0,0,1
-0.69,-2.82,2.41,-0.05,0.27,-1.89,2.61,-1.35,0,0,1
-0.74,-1.35,0.73,0.11,2.05,0.03,-1.15,0.15,0,0,1
1.57,1.3,-0.97,1.44,-1.46,0.48,-1.66,1.57,0,0,1
-0.03,-0.52,2.6,-1.01,2.2,0.38,0.36,-1.65,0,0,1
-1.06,-1.47,1.63,-0.43,0.49,-1.55,-0.41,-0.77,0,0,1
1.68,-0.21,0.65,1.17,-0.47,0.7,1.53,0.42,0,0,1
-2.73,-4.21,4.23,-2.15,4.92,-1.9,0.58,-3.35,0,0,1
-1.22,-2.98,2.5,-0.33,-0.44,-2.4,0.69,0.18,0,0,1
-0.03,-1.17,1.5,-0.37,-0.49,-1.59,0.67,-0.54,0,0,1
2.56,2.87,1.46,-1.43,0.86,1.19,-0.87,-2.93,0,0,1
-0.38,-0.47,-0.89,-0.09,-0.76,-1.65,0.15,-0.61,0,0,1
0.21,-2.5,0.2,1.3,1.9,-0.14,0.29,0.09,0,0,1
3.25,-1.66,4.12,-1.12,0.66,-1.99,1.61,-3.88,0,0,1
0.76,1.0,-0.84,0.51,-1.28,0.0,-0.52,0.71,0,0,1
2.17,2.74,-0.1,-0.47,2.11,2.16,-1.9,-1.77,0,0,1
-0.82,0.38,-1.11,1.32,2.34,1.38,-3.37,1.29,0,0,1
0.35,0.38,0.69,0.06,-2.47,-0.19,1.28,1.31,0,0,1
0.34,-0.2,-0.62,0.73,-2.58,-0.48,2.53,1.18,0,0,1
0.1,-1.01,2.1,-0.92,-0.36,-2.28,-0.25,-2.11,0,0,1
-2.68,-3.83,5.78,-3.64,3.26,-2.97,1.65,-4.03,0,0,1
1.93,2.99,-0.36,-1.03,0.15,1.75,1.03,-2.08,0,1,0
0.07,-3.62,3.32,-1.31,1.63,-2.46,2.75,-3.15,0,0,1
0.62,0.4,0.3,0.48,0.8,0.88,-0.72,0.26,0,0,1
1.32,-0.09,1.26,-1.27,2.75,0.73,0.93,-2.89,0,0,1
-1.87,-2.35,0.41,0.32,2.65,0.09,1.06,-0.05,0,0,1
1.93,-1.3,-1.27,2.81,-1.28,-0.03,0.55,1.77,0,0,1
0.42,1.28,-1.11,-0.0,0.91,0.4,-2.43,-0.68,0,0,1
-2.7,-4.82,1.49,-0.26,2.02,-3.18,0.58,-1.12,0,0,1
-0.01,-0.55,2.65,-0.74,1.25,-0.41,-0.55,-1.17,0,0,1
0.92,-0.0,1.15,1.28,-1.78,-0.06,-0.63,2.25,0,0,1
2.03,-1.89,3.02,-0.36,-0.15,-0.36,3.3,-0.93,0,0,1
1.93,0.34,2.84,-0.87,1.07,0.21,-0.48,-1.57,0,0,1
-0.55,1.5,0.91,-0.33,0.16,1.0,-0.36,0.34,0,0,1
-1.08,-3.45,2.67,0.05,-0.72,-3.26,1.47,-0.4,0,0,1
-2.66,-1.84,1.23,1.21,1.65,-0.62,-4.12,2.53,0,0,1
-2.61,1.53,-0.64,-1.6,0.35,0.25,-0.52,-0.0,0,0,1
2.42,2.85,-2.72,0.2,2.04,1.55,-3.35,-2.09,0,0,1
1.98,2.31,-2.26,1.31,-2.95,0.1,-1.14,1.04,0,0,1
4.2,2.16,-2.31,1.74,0.32,1.23,-3.14,-0.92,0,0,1
-0.93,1.09,0.87,-1.09,2.14,0.98,-2.1,-0.35,0,0,1
-1.97,-3.37,2.54,-1.21,2.46,-2.17,0.99,-2.37,0,0,1
-1.01,0.56,2.42,-0.23,-1.12,-0.04,-1.77,2.34,0,0,1
0.06,0.24,-2.05,1.3,0.11,0.49,-1.69,1.67,0,0,1
2.69,2.6,-0.85,0.44,-2.36,0.71,-0.66,0.17,0,0,1
-0.52,-1.46,0.62,-0.33,2.52,-0.45,-1.05,-1.09,0,0,1
1.25,-0.56,1.65,-0.73,1.87,0.11,0.49,-1.95,0,0,1
0.86,0.97,-1.43,-0.04,-0.61,0.57,1.93,-0.79,0,0,1
1.67,-1.28,2.75,-1.45,3.74,-0.21,0.5,-4.53,0,0,1
-1.04,-3.49,0.21,0.78,2.28,-1.1,0.86,-0.4,0,0,1
-0.7,-3.57,1.84,-0.0,1.41,-1.94,0.72,-0.45,0,0,1
2.09,-0.05,-0.03,0.16,1.1,-0.05,-0.11,-2.23,0,0,1
-0.7,-2.84,-0.1,2.08,2.16,-0.76,-2.51,0.95,0,0,1
0.93,-2.01,-2.09,2.21,3.99,0.77,-1.56,-0.64,0,0,1
-1.18,0.99,3.88,-2.84,0.17,0.15,1.43,-0.92,0,0,1
-1.0,0.48,-4.23,2.27,-0.39,0.52,-1.26,2.09,0,0,1
-1.12,-3.6,2.9,-0.48,-0.75,-2.82,2.55,-0.31,0,0,1
0.23,-2.12,1.71,-0.63,3.28,-0.45,-0.31,-2.37,0,0,1
-2.33,-3.42,0.92,-0.01,3.64,-0.68,-0.23,-0.11,0,0,1
-0.84,-3.44,-1.54,2.18,1.6,-1.04,-0.67,1.18,0,0,1
-3.66,-5.89,4.85,-1.21,0.65,-3.97,3.91,-1.05,0,0,1
0.05,-0.71,-0.28,1.12,-1.21,-1.19,-1.58,1.2,0,0,1
2.38,0.42,-0.21,0.54,1.09,0.46,-0.64,-1.65,0,0,1
0.12,-3.02,1.56,-0.03,1.86,-2.0,-0.35,-1.6,0,0,1
3.1,-1.49,0.24,1.26,3.52,0.52,-1.57,-1.87,0,0,1
1.98,-0.01,-1.41,1.37,-2.07,-0.26,1.14,0.64,0,0,1
0.91,-1.99,-0.17,1.92,1.83,0.1,-2.02,1.36,0,0,1
-2.27,-1.61,1.11,-0.05,1.21,-1.36,-1.81,0.07,0,0,1
-0.92,-1.17,-0.42,1.18,0.03,0.56,0.04,3.02,0,0,1
-2.4,-0.51,1.55,-2.58,2.61,-0.98,-0.33,-2.75,0,0,1
-0.73,-0.35,3.13,-0.89,-2.3,-1.47,1.44,0.36,0,0,1
-3.95,-3.83,2.93,-1.59,1.75,-2.98,0.0,-0.13,0,0,1
-1.23,-6.84,3.06,1.25,2.21,-3.36,0.41,0.39,0,0,1
-2.4,-0.01,1.69,-1.03,1.64,-0.22,-2.39,0.06,0,0,1
-0.14,-1.03,2.44,-1.45,3.81,-0.57,-2.78,-2.11,0,0,1
-2.23,-2.79,2.05,-0.29,3.56,-1.3,-1.57,-1.76,0,0,1
0.44,0.53,0.66,-0.47,-0.48,0.68,2.27,-0.06,0,0,1
2.35,-2.09,2.11,0.39,0.5,-1.43,0.05,-1.5,0,0,1
1.07,-3.28,6.58,-2.2,1.34,-2.47,3.05,-3.91,0,0,1
0.17,-0.07,2.29,-0.85,-1.43,-1.02,1.64,-1.04,0,0,1
-2.09,-1.74,1.86,-0.34,1.8,-0.05,0.2,0.94,0,0,1
-2.69,-2.03,3.66,-2.82,3.6,-2.0,-1.45,-3.15,0,0,1
0.64,-1.98,0.24,1.56,3.0,0.75,-0.65,-0.16,0,0,1
-0.93,-0.82,3.69,-0.72,-0.95,-1.39,-0.18,0.14,0,0,1
-1.09,-2.12,4.64,-2.55,3.74,-1.08,0.1,-3.57,0,0,1
2.76,3.18,1.83,-1.06,-0.56,0.99,-2.12,-0.87,0,0,1
1.13,-3.2,-0.59,1.73,1.21,-1.51,-0.14,-0.62,0,0,1
-0.62,-0.06,-1.29,-0.2,0.52,-0.27,-0.68,-0.26,0,0,1
-0.67,-1.8,0.03,0.18,3.0,0.22,-0.35,-0.35,0,0,1
-0.0,1.58,0.24,-0.36,0.41,0.92,-1.36,0.08,0,0,1
1.66,2.69,-0.37,0.05,-2.54,-0.43,-3.13,0.44,0,0,1
1.48,1.14,3.48,-2.54,0.79,-0.1,0.84,-3.57,0,0,1
2.14,4.2,-1.96,1.05,-0.01,2.94,-3.19,0.67,0,0,1
0.2,-1.25,2.28,-1.01,0.71,-0.77,2.32,-2.11,0,0,1
2.06,-1.51,-1.12,1.54,1.81,0.82,1.07,-0.5,0,0,1
3.08,3.29,-3.93,2.37,0.66,2.85,-3.45,0.96,0,0,1
0.93,1.36,-1.91,0.4,1.98,1.49,-1.99,-0.69,0,0,1
-0.11,1.79,0.69,-0.01,-1.6,0.01,-2.19,0.98,0,0,1
2.93,1.94,2.89,-2.03,-0.92,0.49,2.27,-2.92,0,0,1
-2.57,-3.08,4.68,-1.87,2.16,-2.43,-0.43,-1.65,0,0,1
0.65,-1.33,1.78,-0.26,2.15,-0.55,-0.06,-2.64,0,0,1
0.86,2.52,-0.65,0.13,1.45,1.74,-3.02,-0.6,0,0,1
0.3,0.2,-1.76,2.29,-1.24,1.04,0.61,2.63,0,0,1
-0.13,-4.19,5.03,-0.43,1.69,-3.01,-0.47,-1.58,0,0,1
0.26,-2.18,0.63,0.54,-0.59,-2.0,1.33,-0.44,0,0,1
5.8,3.28,-1.98,2.37,-2.34,1.88,-2.11,0.72,0,0,1
-0.19,2.14,2.36,-1.54,-0.2,0.47,-1.32,-0.43,0,0,1
-1.7,-0.12,3.72,-2.49,3.56,-0.16,-1.73,-2.34,0,0,1
0.23,-1.25,-1.1,0.9,0.4,-0.35,1.25,-0.27,0,0,1
0.65,-1.76,1.27,0.75,2.75,0.07,-1.42,-0.48,0,0,1
0.31,-0.26,1.8,-0.35,0.76,0.51,0.53,0.34,0,0,1
