@relation SyntheticData-N_600-D_16-Nmin_100-Zmin_16-CL_3_2-R_0
@attribute X0 real [-7.54, 7.90]
@attribute X1 real [-7.16, 6.88]
@attribute X2 real [-6.46, 7.78]
@attribute X3 real [-7.79, 8.18]
@attribute X4 real [-8.89, 10.20]
@attribute X5 real [-6.47, 7.79]
@attribute X6 real [-6.23, 6.77]
@attribute X7 real [-6.94, 6.91]
@attribute X8 real [-7.40, 7.36]
@attribute X9 real [-7.48, 5.92]
@attribute X10 real [-6.58, 7.96]
@attribute X11 real [-6.36, 7.97]
@attribute X12 real [-8.02, 8.67]
@attribute X13 real [-6.28, 8.27]
@attribute X14 real [-7.28, 6.57]
@attribute X15 real [-7.27, 9.33]
@attribute cluster_idx {0,1,2,3,4}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,cluster_idx,is_noise
@output Class
@data
-1.96,-1.72,3.06,2.03,-2.77,-2.62,0.43,0.21,-1.5,-2.31,3.23,2.76,-0.05,-2.47,3.81,-4.66,0,0,1
3.81,-0.62,-3.18,0.98,1.62,-0.01,1.36,-1.04,3.33,-0.58,-2.92,2.21,-1.14,2.17,0.41,4.77,0,0,1
2.18,0.23,-2.11,-2.37,-2.87,-0.59,1.01,0.42,1.94,2.12,0.87,0.78,-1.29,-3.83,-0.91,-2.26,0,0,1
0.79,1.1,-3.9,-0.84,0.7,0.23,1.58,1.66,2.05,2.1,0.37,-2.81,-2.59,-2.83,0.83,1.93,0,0,1
3.22,-0.1,-1.84,0.71,2.32,-0.53,1.3,-0.18,-0.49,0.44,1.58,-0.43,1.37,-1.49,1.38,0.42,0,0,1
3.01,-1.95,2.24,0.82,-0.61,1.1,1.84,0.6,-2.81,-2.23,-2.24,6.37,-2.62,1.49,1.34,-0.11,0,0,1
2.38,0.87,0.61,-3.46,-2.02,-5.4,2.31,-4.82,1.44,-0.94,0.24,4.49,-3.12,-4.76,-0.06,-6.82,0,0,1
-3.9,-1.81,6.76,-0.19,3.08,-1.51,-0.69,-0.85,-2.03,-3.12,1.56,2.63,1.83,4.72,-3.45,3.12,0,0,1
-1.97,0.96,3.63,2.54,-0.46,1.98,-1.15,-1.55,-0.81,-1.42,1.16,0.25,2.38,2.11,-1.52,0.93,0,0,1
-6.04,2.09,4.38,1.64,6.03,2.21,-0.7,-1.64,1.54,-2.56,-2.05,1.56,-2.2,7.32,3.51,4.67,0,0,1
