@relation SyntheticData-N_600-D_16-Nmin_100-Zmin_8-CL_2_1-R_0
@attribute X0 real [-8.77, 8.01]
@attribute X1 real [-6.30, 5.64]
@attribute X2 real [-6.47, 6.85]
@attribute X3 real [-6.60, 7.68]
@attribute X4 real [-6.52, 6.62]
@attribute X5 real [-8.87, 7.88]
@attribute X6 real [-5.96, 6.68]
@attribute X7 real [-5.19, 6.91]
@attribute X8 real [-6.96, 8.33]
@attribute X9 real [-6.10, 6.84]
@attribute X10 real [-6.25, 7.30]
@attribute X11 real [-6.50, 6.00]
@attribute X12 real [-7.00, 6.46]
@attribute X13 real [-7.16, 9.03]
@attribute X14 real [-7.49, 8.42]
@attribute X15 real [-7.73, 10.63]
@attribute cluster_idx {0,1,2}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,cluster_idx,is_noise
@output Class
@data
4.46,1.0,0.24,-0.61,-5.51,0.71,0.02,0.99,-2.79,-1.39,-3.15,-1.05,-3.54,0.79,-3.75,0.69,0,0,1
0.42,-0.9,6.05,-0.38,0.62,0.92,0.02,-0.64,2.08,-0.59,1.49,-2.15,-0.55,1.25,4.09,-1.49,0,0,1
-1.21,-1.69,-1.91,-1.76,0.16,0.77,1.39,2.06,4.34,-0.06,3.35,-0.18,2.68,0.94,-2.44,-3.21,0,0,1
-0.72,1.78,1.05,-1.08,-1.52,-2.19,1.38,0.1,2.31,-1.78,2.37,3.68,-0.01,-2.89,-2.63,1.84,0,0,1
2.47,-0.01,3.49,-0.66,1.32,2.48,-1.37,0.78,0.11,0.34,-0.31,-6.5,-3.48,4.57,4.74,-0.82,0,0,1
-1.31,1.81,1.36,-2.32,0.14,-1.09,0.92,3.35,-0.78,-3.16,0.71,1.11,-0.65,-0.79,-0.31,-0.53,0,0,1
-1.32,2.68,0.01,1.38,5.41,-2.62,-3.29,1.86,0.18,0.73,1.69,0.61,2.05,-1.99,1.16,0.37,0,0,1
2.51,2.74,-1.86,2.38,-0.81,0.69,0.12,1.64,0.23,-3.12,1.92,0.54,5.75,-0.98,0.21,-1.22,0,0,1
0.27,2.46,0.77,-2.37,-1.99,-0.63,-0.46,1.26,-1.53,-1.82,2.57,2.69,-0.13,-1.51,-0.26,1.1,0,0,1
-2.71,-4.93,-2.04,5.99,3.28,-3.32,-3.93,-0.37,2.61,2.89,-2.01,1.93,3.42,-2.21,0.83,-2.07,0,0,1
-0.74,1.06,0.17,-2.78,-1.33,-1.16,4.2,-2.54,-0.28,-3.88,-2.25,1.62,3.16,-2.29,-0.67,-2.43,0,0,1
3.53,4.6,3.85,-0.03,-1.03,2.92,3.48,-3.91,0.72,0.61,0.62,-1.6,0.95,0.96,-0.42,-3.55,0,0,1
