@relation SyntheticData-N_600-D_16-Nmin_60-Zmin_0-CL_2_3-R_0
@attribute X0 real [-7.23, 7.09]
@attribute X1 real [-8.88, 9.25]
@attribute X2 real [-6.59, 6.65]
@attribute X3 real [-6.06, 6.19]
@attribute X4 real [-6.99, 8.59]
@attribute X5 real [-6.81, 6.93]
@attribute X6 real [-6.87, 6.20]
@attribute X7 real [-7.93, 7.70]
@attribute X8 real [-7.28, 7.58]
@attribute X9 real [-6.84, 7.87]
@attribute X10 real [-6.64, 4.96]
@attribute X11 real [-9.14, 7.10]
@attribute X12 real [-7.36, 7.53]
@attribute X13 real [-6.68, 6.69]
@attribute X14 real [-6.03, 7.57]
@attribute X15 real [-6.37, 6.27]
@attribute cluster_idx {0,1,2,3,4}
@attribute is_noise {0}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,cluster_idx,is_noise
@output Class
@data
4.38,-0.59,2.66,1.34,0.91,-3.23,2.16,-1.65,-0.17,0.83,4.52,-3.73,2.16,-2.25,-1.0,-0.76,0,0,1
0.26,0.32,0.52,-0.61,1.9,1.65,-3.92,-1.79,0.79,-0.0,-0.61,-1.28,-0.48,-0.53,0.68,0.13,0,0,1
2.28,-0.93,0.14,1.17,2.73,-1.87,0.83,-1.04,-3.39,0.33,0.26,-1.22,0.15,1.13,-0.13,-0.57,0,0,1
4.86,-4.04,-0.06,-0.09,0.36,-1.12,3.9,1.14,-2.53,-1.39,-1.8,0.85,0.25,-1.21,-0.19,-1.09,0,0,1
0.78,1.05,-3.72,-1.49,1.42,-2.57,-0.94,7.7,4.01,-1.68,-0.88,2.04,5.07,-0.21,-0.84,3.6,0,0,1
1.08,1.68,1.69,-5.86,-0.34,2.33,-1.85,-0.75,-5.08,1.94,-6.41,-0.38,0.99,-0.16,-0.52,4.22,0,0,1
-2.91,0.09,2.9,4.27,0.66,0.01,-3.32,-1.66,3.65,-1.42,3.24,-1.53,4.55,2.78,-2.8,-0.02,0,0,1
1.63,1.65,3.56,-0.22,-1.41,-2.53,0.87,-3.23,2.0,0.89,4.8,-0.73,0.4,-1.61,0.39,-0.4,0,0,1
1.12,0.93,4.14,1.57,-1.52,1.81,-0.23,-3.04,2.34,-0.98,3.21,-0.58,-0.2,-1.87,1.2,-1.02,0,0,1
1.74,-2.91,0.32,0.72,-2.49,0.64,-0.15,0.37,3.34,-3.32,2.49,1.05,-1.55,-2.45,2.26,-0.6,0,0,1
-2.43,4.45,-0.95,-2.71,0.11,3.57,-0.86,-2.95,-4.4,1.7,-1.21,-0.82,-5.91,-1.02,2.09,0.52,0,0,1
2.3,-0.31,-1.31,-0.15,0.2,1.02,-1.93,-0.69,2.02,-1.07,-0.75,-2.28,1.01,-5.23,-1.95,-0.95,0,0,1
0.4,1.24,-2.13,2.29,3.59,-1.61,1.92,4.22,-0.66,-0.25,-0.35,0.68,3.58,4.28,0.77,-3.55,0,0,1
-2.31,-1.64,4.37,-3.36,-3.19,4.6,-3.95,-4.79,0.76,0.57,-2.78,-4.32,3.16,1.28,1.33,0.32,0,0,1
1.56,-3.37,1.88,1.41,0.23,-0.58,2.38,-2.73,1.22,-2.93,0.96,0.2,-0.56,-1.75,4.65,0.43,0,0,1
0.79,3.28,-0.3,-2.04,0.26,5.06,-2.35,-2.42,1.45,-0.02,-0.22,-0.14,-1.37,-1.57,3.21,2.76,0,0,1
5.0,-2.07,-2.09,-4.63,-3.64,1.08,3.92,-0.74,-3.12,-3.0,-4.03,0.52,1.19,-5.71,-2.35,3.4,0,0,1
-0.36,-1.96,0.65,-2.48,-1.64,-3.39,0.79,-0.5,-1.23,-2.36,1.44,-2.67,3.33,1.5,1.91,0.85,0,0,1
0.95,-2.26,5.06,0.82,-1.22,-6.81,-1.01,1.3,6.69,3.49,4.07,-3.69,7.4,-0.34,-0.71,1.16,0,0,1
0.63,0.5,0.5,2.83,1.39,-1.98,-0.97,0.07,1.36,0.48,0.15,3.04,2.84,2.71,-1.0,0.97,0,0,1
2.19,-1.13,-4.86,0.86,2.1,1.22,0.17,2.43,2.32,-0.74,-0.87,-1.6,1.09,-2.72,-0.13,-1.35,0,0,1
-1.36,0.69,-2.99,-1.87,-0.1,0.37,-1.04,1.15,0.84,-1.09,-3.94,1.82,0.5,-0.68,1.61,2.17,0,0,1
-1.46,-0.79,-1.46,0.62,2.14,-0.25,0.67,1.58,-1.04,0.36,-3.4,1.18,3.84,4.53,1.86,2.98,0,0,1
-2.5,-0.84,4.83,-0.33,-0.27,-1.46,-2.87,-1.48,-0.15,1.04,-1.93,-0.67,4.91,3.99,-0.54,3.2,0,0,1
-0.12,2.77,0.35,-4.11,2.87,-0.86,0.51,-3.67,-0.37,1.81,-2.99,2.24,-2.33,1.3,3.85,1.53,0,0,1
0.67,0.05,0.08,-0.09,-1.0,-0.86,-0.53,3.0,1.81,-1.7,-1.44,1.98,2.9,-1.4,-2.53,0.9,0,0,1
2.01,0.97,-3.33,2.14,2.09,-4.91,1.3,5.0,3.5,0.42,4.96,-0.09,-0.97,-4.2,-1.36,0.05,0,0,1
2.36,0.98,-1.32,1.97,2.32,-0.64,0.71,3.65,1.34,2.28,1.28,1.93,-2.82,-2.31,-3.0,-1.03,0,0,1
-3.69,0.46,2.24,-0.34,1.16,2.82,-4.37,-2.02,1.49,1.4,-4.25,0.38,5.36,6.69,0.74,0.83,0,0,1
1.18,0.18,-0.62,-5.69,-1.81,2.44,-1.84,1.12,1.18,-1.82,-4.68,3.28,-0.51,-0.38,3.79,1.68,0,0,1
0.2,1.85,-0.14,0.26,-2.41,1.4,1.5,0.11,0.57,-3.52,3.13,4.15,0.95,1.78,-0.8,-1.14,1,0,1
0.4,-1.92,-1.12,0.64,-3.77,-0.99,-1.11,5.05,-5.2,-5.52,1.46,-0.61,-1.78,-0.47,-0.25,-1.22,1,0,1
-0.47,-1.41,-0.47,-0.17,-0.4,-2.06,-1.15,2.2,-0.84,-2.23,0.01,0.68,-2.82,-0.52,-2.1,1.31,1,0,1
