@relation SyntheticData-N_600-D_16-Nmin_60-Zmin_16-CL_3_3-R_0
@attribute X0 real [-5.67, 8.30]
@attribute X1 real [-7.82, 8.26]
@attribute X2 real [-9.20, 7.06]
@attribute X3 real [-8.17, 8.64]
@attribute X4 real [-9.54, 8.95]
@attribute X5 real [-8.18, 6.44]
@attribute X6 real [-9.08, 7.63]
@attribute X7 real [-6.36, 5.89]
@attribute X8 real [-7.74, 6.75]
@attribute X9 real [-7.00, 6.93]
@attribute X10 real [-7.00, 6.44]
@attribute X11 real [-6.30, 8.40]
@attribute X12 real [-7.36, 8.04]
@attribute X13 real [-8.17, 9.05]
@attribute X14 real [-7.11, 6.71]
@attribute X15 real [-6.76, 6.36]
@attribute cluster_idx {0,1,2,3,4,5}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,cluster_idx,is_noise
@output Class
@data
-1.21,2.32,3.79,-2.3,-2.61,-3.15,-0.51,-0.38,-0.57,0.99,0.85,-0.43,-1.72,0.83,-0.94,-0.79,0,0,1
-2.14,2.65,-0.75,-3.09,-1.84,1.11,-0.37,-1.52,-1.29,-1.54,-0.26,1.32,-0.65,1.63,-0.28,0.68,0,0,1
3.81,-1.21,-3.34,-0.16,0.76,-0.2,-1.05,2.12,0.2,2.96,-0.84,-1.03,0.9,1.3,-2.07,-1.02,0,0,1
-1.82,-2.73,1.39,4.29,-1.46,-2.07,4.73,4.28,0.33,1.45,-3.67,-1.08,2.79,-2.24,-1.06,-4.51,0,0,1
-0.79,2.47,3.84,-1.64,-4.21,-1.35,2.72,0.44,0.0,-4.52,2.08,2.26,0.63,2.41,-0.63,2.42,0,0,1
-2.71,2.54,-0.8,1.11,-0.19,4.69,-0.31,-0.94,-0.42,-0.17,3.04,-0.19,-0.65,0.38,1.52,0.82,0,0,1
-4.8,2.34,1.56,-0.26,-1.4,3.63,-0.8,-0.74,-1.05,-0.52,5.24,1.45,-2.47,-0.35,-0.53,3.21,0,0,1
-0.93,-1.83,-2.29,2.99,-0.54,2.41,-1.35,-0.88,-2.1,0.29,-2.69,-0.34,1.93,-5.45,-2.7,-0.86,0,0,1
-0.99,1.69,2.84,-1.06,-1.88,-0.24,4.5,1.82,4.44,-0.98,1.66,-1.16,0.53,-0.49,6.34,-0.66,0,0,1
-0.23,-0.71,-3.83,1.31,1.53,0.92,-3.21,-1.55,-0.82,1.78,-3.63,0.07,3.42,-5.9,0.47,-2.11,0,0,1
1.1,-4.04,1.72,-0.8,0.3,0.33,3.28,-2.24,-2.08,0.22,-0.82,-0.32,1.74,3.4,-1.5,-0.72,0,0,1
-1.81,-0.04,3.05,2.36,-2.32,1.5,4.19,1.81,-1.82,-2.09,3.25,2.11,2.4,0.33,1.31,2.42,0,0,1
-1.84,3.94,1.79,-0.44,-0.42,0.71,-1.04,-0.03,-0.83,0.61,4.76,2.37,0.61,0.01,1.08,-1.28,0,0,1
-0.53,5.77,2.6,-1.57,-3.52,-5.11,-0.4,4.53,3.31,0.59,2.29,-1.38,2.0,-0.47,-0.98,-6.66,0,0,1
1.94,0.2,-0.51,2.14,-0.77,-0.3,-1.44,2.88,-1.66,1.19,-0.25,2.33,-2.69,2.56,-3.15,1.03,0,0,1
3.9,-0.57,-0.61,0.14,0.9,0.27,-3.95,0.94,0.07,3.85,4.43,-2.8,-0.75,0.85,-0.03,-0.83,0,0,1
-1.52,-0.07,-2.57,-1.87,3.59,0.37,-1.79,-3.99,-2.4,-0.5,-5.12,2.45,0.09,0.85,-1.99,-3.4,0,0,1
-1.55,-0.1,-9.2,-0.11,4.51,2.65,-3.51,-2.47,-2.89,1.79,-3.91,0.89,2.27,-4.13,-4.57,-2.31,0,0,1
-0.23,0.38,-0.69,0.13,0.11,2.07,1.78,-0.65,0.24,1.15,-0.32,1.36,2.13,1.21,1.42,-1.22,0,0,1
0.7,1.91,-0.64,-6.41,-3.3,-3.34,2.7,-0.04,0.16,-4.64,1.17,1.25,5.91,4.63,-0.72,4.16,0,0,1
