@relation SyntheticData-N_600-D_16-Nmin_60-Zmin_32-CL_1_3-R_0
@attribute X0 real [-7.27, 8.17]
@attribute X1 real [-7.38, 7.25]
@attribute X2 real [-7.28, 8.82]
@attribute X3 real [-6.43, 7.08]
@attribute X4 real [-5.39, 7.92]
@attribute X5 real [-6.53, 6.60]
@attribute X6 real [-7.43, 7.84]
@attribute X7 real [-6.72, 7.90]
@attribute X8 real [-5.71, 7.56]
@attribute X9 real [-6.68, 7.23]
@attribute X10 real [-7.35, 7.30]
@attribute X11 real [-6.84, 7.23]
@attribute X12 real [-7.43, 8.65]
@attribute X13 real [-10.58, 8.90]
@attribute X14 real [-7.18, 6.33]
@attribute X15 real [-8.48, 8.64]
@attribute cluster_idx {0,1,2,3}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,cluster_idx,is_noise
@output Class
@data
-2.96,1.18,-0.12,2.03,0.12,1.44,3.4,-3.48,1.3,0.75,1.23,-1.33,0.76,1.07,-1.06,4.0,0,0,1
2.21,1.07,-0.32,2.28,1.13,0.79,-3.69,-0.2,0.95,-3.79,3.18,-0.43,-6.09,-2.9,-1.05,-1.59,0,0,1
-0.32,-2.28,3.46,-0.18,2.2,1.75,-2.31,2.01,1.59,-3.67,2.02,-2.96,-5.72,-2.7,1.25,-8.48,0,0,1
1.32,-1.63,-0.72,-2.37,-0.48,0.23,-2.82,0.67,0.35,-2.1,-0.73,-1.36,-3.3,-3.98,-0.39,-0.26,0,0,1
0.4,-0.08,-2.1,-1.46,1.71,0.52,-3.04,0.93,2.12,-2.68,6.76,-0.72,-1.87,-1.58,0.5,0.46,0,0,1
1.63,-1.89,0.98,-1.88,0.55,-1.54,-2.1,2.33,-0.57,0.15,2.03,0.76,-1.71,-0.97,-0.77,-0.05,0,0,1
1.52,2.89,3.71,-0.07,1.11,2.35,-1.24,3.44,-0.11,-4.4,1.89,-0.13,-1.92,-0.06,-2.24,-2.54,0,0,1
-1.87,-2.48,-2.47,0.3,1.83,-1.35,-1.79,-5.46,2.5,0.66,1.52,2.07,1.5,0.7,1.2,3.22,0,0,1
1.94,1.72,-2.64,-1.33,0.86,-1.51,-2.0,0.05,2.32,1.17,0.79,0.41,1.72,3.98,1.62,2.5,0,0,1
-1.22,0.71,1.77,-0.59,-1.79,0.7,1.16,1.81,-2.33,0.42,-2.01,0.46,1.15,-1.31,0.4,-0.62,0,0,1
4.09,-0.7,-0.68,-1.65,-0.19,-2.18,-3.76,1.77,0.58,-2.73,0.96,-0.4,-1.54,-0.97,1.28,1.04,0,0,1
-3.3,-0.18,0.17,-3.18,-0.8,1.86,-0.07,2.58,2.83,2.38,-3.16,0.99,0.19,-0.64,-0.89,-0.85,0,0,1
1.58,0.91,-0.5,0.81,-1.88,0.57,-0.7,2.26,-0.87,-0.2,0.31,0.3,-3.68,-1.51,-1.95,-1.96,0,0,1
-2.18,-3.05,3.84,1.63,-1.46,3.61,5.79,0.69,-0.71,-0.29,-3.46,-2.34,0.21,-2.38,-3.36,1.39,0,0,1
5.92,2.04,-3.62,-3.01,3.08,-3.16,-4.58,4.22,-1.58,-1.57,5.15,4.56,-1.41,2.06,3.15,0.03,0,0,1
-0.11,2.72,2.02,-0.03,5.12,-2.07,-3.88,-2.19,3.51,1.06,2.77,-0.72,0.39,4.0,0.78,1.36,0,0,1
0.08,-0.98,0.09,1.38,2.25,-1.83,-0.99,-5.84,2.42,-0.07,-0.65,-3.06,-0.31,-0.17,1.67,1.95,0,0,1
-2.23,-0.3,1.8,1.6,0.07,1.61,3.42,-3.39,2.0,-0.94,1.51,-2.24,1.47,1.62,-1.86,5.52,0,0,1
-1.29,1.22,-2.84,0.75,-0.87,2.43,4.05,1.1,-1.02,-0.36,4.04,3.61,2.78,0.52,-0.88,5.97,0,0,1
1.88,2.18,2.94,3.31,-3.33,-1.04,-0.36,-0.9,-2.53,0.29,-6.17,-2.25,0.18,-0.03,2.39,-2.05,0,0,1
1.87,4.49,0.74,2.72,1.4,2.46,1.17,-1.51,-0.93,-2.29,0.86,-1.24,-1.37,1.93,-2.56,1.65,0,0,1
-0.85,-1.04,-1.13,-2.6,2.09,-0.11,-1.23,-1.35,0.05,-1.04,1.47,-0.64,0.44,-1.11,1.95,-0.54,0,0,1
1.47,2.91,-0.88,1.48,0.32,1.04,-0.53,3.72,-1.92,-2.0,4.22,4.03,-2.03,-0.51,-0.18,0.41,0,0,1
-1.06,-1.77,1.49,-0.8,0.09,3.11,1.99,2.09,-2.06,-1.97,-0.91,0.76,0.38,-2.35,-1.1,-1.59,0,0,1
