@relation SyntheticData-N_600-D_4-Nmin_100-Zmin_0-CL_2_1-R_0
@attribute X0 real [-4.29, 5.27]
@attribute X1 real [-4.44, 3.75]
@attribute X2 real [-5.39, 5.09]
@attribute X3 real [-4.83, 4.90]
@attribute cluster_idx {0,1,2}
@attribute is_noise {0}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,cluster_idx,is_noise
@output Class
@data
1.43,1.83,0.43,-0.21,0,0,1
0.56,2.63,-2.01,-1.43,0,0,1
0.15,-0.13,-0.42,0.41,0,0,1
0.41,1.08,-1.5,-0.05,0,0,1
0.23,-1.06,1.48,1.15,0,0,1
0.25,0.57,-0.31,1.33,0,0,1
-0.22,0.26,-0.72,0.07,0,0,1
0.88,-0.06,-0.45,1.19,0,0,1
1.23,2.02,-0.13,-1.19,0,0,1
1.45,-1.43,5.09,2.11,0,0,1
1.52,2.07,-1.93,-0.69,0,0,1
0.87,0.59,0.5,0.83,0,0,1
1.64,0.06,1.0,1.79,0,0,1
1.13,2.0,-1.05,-1.38,0,0,1
0.15,-1.39,0.78,1.53,0,0,1
0.3,0.59,0.33,-1.42,0,0,1
0.43,0.68,1.19,-0.12,0,0,1
0.48,-0.11,1.61,0.38,0,0,1
1.41,0.19,0.27,1.67,0,0,1
-0.4,-1.94,1.1,0.85,0,0,1
1.48,-0.07,0.05,2.4,0,0,1
1.41,1.72,-0.47,-0.01,0,0,1
-0.3,0.94,-0.34,-0.76,0,0,1
-1.08,-2.05,1.79,-0.14,0,0,1
2.34,0.6,4.07,2.41,0,0,1
0.36,1.35,-0.54,0.2,0,0,1
1.27,2.08,-0.63,0.17,0,0,1
1.26,2.04,-0.1,-0.17,0,0,1
0.66,0.06,0.66,1.32,0,0,1
0.11,-0.67,1.41,0.52,0,0,1
0.38,2.24,-1.94,-0.9,0,0,1
0.37,0.68,1.32,0.66,0,0,1
-0.08,-1.5,1.93,0.79,0,0,1
-0.02,0.41,-0.72,0.29,0,0,1
1.17,0.19,0.88,1.28,0,0,1
1.14,1.33,-0.58,0.1,0,0,1
1.17,-0.11,0.49,0.76,0,0,1
0.88,1.95,-0.89,-1.29,0,0,1
0.41,-1.15,1.49,0.7,0,0,1
1.24,0.61,-0.59,1.4,0,0,1
0.19,0.72,-0.81,-0.87,0,0,1
0.6,1.51,1.98,-1.24,0,0,1
1.35,2.58,-0.89,0.3,0,0,1
1.67,1.8,-0.32,1.61,0,0,1
-0.31,0.09,-0.14,0.68,0,0,1
0.26,0.13,0.7,1.01,0,0,1
1.42,0.33,0.03,1.34,0,0,1
0.44,-0.02,1.58,-0.88,0,0,1
0.22,0.05,0.17,-0.5,0,0,1
0.49,-1.51,1.68,1.34,0,0,1
-0.26,-0.69,1.05,1.03,1,0,1
-0.05,-1.73,-0.07,0.58,1,0,1
1.14,-0.62,2.66,-0.06,1,0,1
1.34,-1.1,-1.03,-1.54,1,0,1
-2.01,-0.3,-3.0,1.54,1,0,1
0.26,-0.48,-0.06,-0.51,1,0,1
0.96,0.72,0.12,-1.58,1,0,1
0.37,-1.1,0.75,0.48,1,0,1
-1.02,-0.2,0.06,1.11,1,0,1
0.05,-2.21,-0.62,0.9,1,0,1
0.44,1.64,0.3,-0.81,1,0,1
1.29,-1.43,1.07,0.14,1,0,1
0.17,2.78,1.29,-1.12,1,0,1
