@relation SyntheticData-N_600-D_4-Nmin_100-Zmin_4-CL_3_3-R_0
@attribute X0 real [-4.01, 3.43]
@attribute X1 real [-3.29, 3.19]
@attribute X2 real [-3.76, 5.69]
@attribute X3 real [-2.68, 3.57]
@attribute cluster_idx {0,1,2,3,4,5}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,cluster_idx,is_noise
@output Class
@data
0.44,0.6,-1.43,1.0,0,0,1
-0.82,0.47,-1.46,0.67,0,0,1
1.45,0.1,-1.18,0.97,0,0,1
0.49,0.99,0.51,0.25,0,0,1
-0.43,-0.53,0.7,-0.74,0,0,1
1.21,0.7,-0.44,0.91,0,0,1
0.62,1.09,-0.72,1.03,0,0,1
-0.2,0.04,0.67,-0.41,0,0,1
1.49,1.96,-0.8,1.66,0,0,1
-0.74,-0.01,-0.85,0.33,0,0,1
0.32,0.96,0.48,0.43,0,0,1
2.41,1.04,-1.44,1.65,0,0,1
-0.05,2.04,-2.36,1.98,0,0,1
-1.29,-0.84,1.06,-0.96,0,0,1
-1.64,-0.43,0.56,-0.95,0,0,1
0.75,0.06,-1.88,1.23,0,0,1
2.08,-0.59,0.9,-0.32,0,0,1
0.49,2.33,-1.22,1.85,0,0,1
0.58,-0.61,-0.64,0.39,0,0,1
1.68,-0.18,2.18,-1.04,0,0,1
-0.25,0.1,0.74,-0.51,0,0,1
-0.81,-1.51,1.28,-1.36,0,0,1
0.83,-0.14,2.85,-1.36,0,0,1
-0.27,0.39,-2.06,1.19,0,0,1
1.5,0.49,2.15,-0.51,0,0,1
0.09,1.46,0.41,0.38,0,0,1
-1.73,-1.62,0.59,-1.33,0,0,1
-0.5,-1.06,1.26,-1.33,0,0,1
2.37,0.96,0.97,0.08,0,0,1
-0.17,0.92,-1.24,1.02,0,0,1
0.61,0.55,-0.05,0.33,0,0,1
-0.22,-0.65,0.71,-0.69,0,0,1
-1.6,2.27,-0.56,0.77,0,0,1
1.23,0.63,-0.98,1.06,0,0,1
-0.18,1.27,-0.08,-1.95,1,0,1
-0.18,2.78,-1.69,-2.42,1,0,1
0.11,0.65,-0.2,-0.79,1,0,1
-0.32,1.6,-0.92,-1.92,1,0,1
0.54,-0.28,-0.65,0.92,1,0,1
0.66,-1.48,0.07,2.04,1,0,1
-0.18,0.19,0.17,-1.36,1,0,1
0.55,0.14,-1.08,1.2,1,0,1
-0.09,1.01,-0.62,-1.42,1,0,1
0.1,-0.37,0.39,-0.58,1,0,1
0.91,0.31,-0.58,0.79,1,0,1
0.3,0.0,-1.53,1.23,1,0,1
-0.18,0.47,-0.13,-1.12,1,1,0
0.21,-0.19,-0.18,0.14,1,0,1
0.38,0.25,-1.32,0.49,1,0,1
-0.36,1.21,-0.84,-1.84,1,0,1
-0.51,0.08,-1.06,-0.64,1,0,1
0.2,1.09,-0.62,-0.34,1,0,1
-0.35,-0.84,-1.01,-0.13,1,0,1
0.12,0.21,-0.73,0.17,1,0,1
0.21,0.75,-0.2,-0.89,1,0,1
0.72,-0.85,0.6,1.04,1,0,1
0.19,1.72,-1.04,-1.15,1,0,1
0.23,0.46,-0.3,-0.21,1,0,1
-0.12,-0.08,-0.77,-0.31,1,0,1
0.24,-0.81,0.72,0.1,1,0,1
0.42,-0.72,-0.48,1.62,1,0,1
0.16,0.82,-0.16,-1.01,1,0,1
-0.24,0.27,0.12,-1.4,1,0,1
0.38,0.77,-0.51,-0.13,1,0,1
0.19,-0.82,0.35,0.22,1,0,1
0.38,-0.53,0.21,0.59,1,0,1
0.4,-0.46,-0.75,0.71,1,0,1
1.39,-0.78,2.1,-0.06,2,0,1
-0.54,-0.63,-0.19,0.12,2,0,1
0.18,-0.14,-2.08,1.44,2,0,1
1.79,0.64,3.01,-1.18,2,0,1
1.78,1.7,-0.53,-0.19,2,0,1
0.1,-0.02,-0.52,0.0,2,0,1
-0.42,-1.21,0.8,-0.19,2,0,1
-0.53,-0.26,-1.13,0.55,2,0,1
1.04,-0.41,-0.79,0.93,2,0,1
0.68,1.17,-0.7,-0.21,2,0,1
-1.64,-0.87,-0.99,0.25,2,0,1
0.13,-0.85,-0.55,0.37,2,0,1
0.85,1.82,-1.19,-0.15,2,0,1
0.03,0.2,3.92,-2.61,2,0,1
-0.96,-1.52,-1.52,1.66,2,0,1
0.13,0.17,2.71,-2.26,2,0,1
