@relation SyntheticData-N_600-D_4-Nmin_100-Zmin_8-CL_1_3-R_0
@attribute X0 real [-3.61, 3.45]
@attribute X1 real [-3.82, 4.07]
@attribute X2 real [-3.28, 3.39]
@attribute X3 real [-3.03, 2.66]
@attribute cluster_idx {0,1,2,3}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,cluster_idx,is_noise
@output Class
@data
1.37,-1.6,-1.62,1.05,0,0,1
-0.73,0.26,0.41,-0.54,0,0,1
-0.61,-0.53,1.03,0.48,0,0,1
-0.94,2.03,1.63,-1.48,0,1,0
-0.0,-0.31,0.63,-0.41,0,0,1
2.07,-0.05,-1.64,0.99,0,0,1
1.13,0.96,-0.39,-0.79,0,0,1
-1.32,0.99,1.74,-0.49,0,0,1
-1.58,-1.75,0.89,1.35,0,0,1
1.05,0.1,-0.56,0.19,0,0,1
0.48,-0.64,-1.63,1.19,0,0,1
-0.41,1.13,0.74,0.36,0,0,1
-0.39,1.01,0.92,-0.8,0,0,1
1.59,-0.2,-2.31,1.4,0,0,1
2.5,-1.03,-3.04,1.37,0,0,1
1.62,-0.12,-1.84,-0.94,0,0,1
0.35,0.07,-0.24,-0.12,0,0,1
2.6,0.72,-2.21,0.08,0,0,1
0.36,-1.06,-0.3,0.11,0,0,1
-0.6,-0.15,0.31,0.69,0,0,1
0.84,-1.92,-1.85,1.56,0,0,1
2.31,-0.81,-1.25,-0.27,0,0,1
-0.87,1.12,1.06,-0.05,0,0,1
0.8,0.11,-0.54,0.91,0,0,1
0.01,1.29,0.6,-0.19,0,0,1
0.05,0.37,0.49,-0.24,0,0,1
0.24,0.35,-0.07,0.48,0,0,1
-1.84,0.58,1.36,0.02,0,0,1
-0.28,0.45,0.63,-0.7,0,0,1
-2.9,0.72,3.36,-1.42,0,0,1
-0.04,-0.99,-0.51,0.51,0,0,1
-0.42,0.51,0.77,0.39,0,0,1
0.32,-0.85,-0.6,1.76,0,0,1
1.4,0.57,-1.03,0.56,0,0,1
1.61,0.68,-0.98,-0.43,0,0,1
-0.73,0.37,0.19,-0.89,0,0,1
-2.01,0.61,2.64,-0.06,0,0,1
-1.0,0.92,1.34,-1.2,0,1,0
-0.4,-0.79,0.14,0.1,0,0,1
0.13,-1.15,-1.15,1.73,0,0,1
0.27,0.06,0.54,-1.09,0,0,1
0.68,-0.3,-1.34,-0.8,0,0,1
-0.27,2.13,0.08,-0.42,0,0,1
-0.83,1.34,0.82,-0.68,0,0,1
0.77,0.27,-0.54,-0.32,0,0,1
-0.31,-0.21,0.05,-0.88,0,0,1
