@relation SyntheticData-N_600-D_4-Nmin_140-Zmin_0-CL_2_2-R_0
@attribute X0 real [-5.71, 4.59]
@attribute X1 real [-3.93, 4.37]
@attribute X2 real [-4.91, 4.04]
@attribute X3 real [-3.29, 4.79]
@attribute cluster_idx {0,1,2,3}
@attribute is_noise {0}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,cluster_idx,is_noise
@output Class
@data
1.49,-1.2,1.83,-1.1,0,0,1
-0.29,-0.14,0.56,1.13,0,0,1
-0.23,-0.82,0.48,0.28,0,0,1
0.16,1.06,-1.6,-1.15,0,0,1
0.38,-0.57,0.82,0.5,0,0,1
-0.2,0.02,-0.54,0.54,0,0,1
0.94,-1.72,0.92,-0.99,0,0,1
1.78,-0.43,0.79,-2.21,0,0,1
1.72,-0.5,1.03,-2.0,0,0,1
0.23,-0.5,0.84,-0.76,0,0,1
-1.96,0.91,-0.88,2.03,0,0,1
-0.94,0.43,0.12,1.8,0,0,1
1.44,-0.85,0.77,-1.61,0,0,1
-0.72,-0.98,0.51,1.85,0,0,1
0.14,0.69,0.74,-0.54,0,0,1
-1.2,-1.02,0.07,1.34,0,0,1
-2.57,-0.84,-1.4,3.41,0,0,1
2.6,0.37,1.84,-3.29,0,0,1
1.04,-0.28,1.35,-0.98,0,0,1
-1.63,-0.23,-1.12,2.89,0,0,1
-1.18,-0.12,-1.29,0.85,0,0,1
0.82,-1.08,1.49,0.4,0,0,1
-0.93,-0.11,0.16,0.58,0,0,1
0.07,-0.97,0.97,1.09,0,0,1
0.76,-1.59,2.2,0.69,0,0,1
0.22,-0.04,0.05,0.06,0,0,1
-0.06,-0.76,0.8,0.28,0,0,1
-0.07,-0.88,-0.53,0.21,0,0,1
0.83,0.47,0.04,-1.27,0,0,1
-1.54,0.29,-0.64,2.14,0,0,1
-2.09,-1.17,-1.06,3.09,0,0,1
-2.26,-0.03,-2.81,2.92,0,0,1
-1.3,-2.52,-1.74,1.48,0,0,1
0.19,-0.22,0.2,-0.3,0,0,1
-3.35,0.78,-3.37,3.18,0,0,1
-0.35,-2.41,0.29,0.33,0,0,1
-0.34,0.47,0.41,-0.4,0,0,1
-0.45,-0.47,-0.41,0.83,0,0,1
0.66,1.31,0.79,-1.17,0,0,1
1.18,0.08,1.11,-1.17,0,0,1
1.68,1.46,1.35,-3.0,0,0,1
-0.83,3.47,-2.08,-0.16,0,0,1
0.59,0.63,0.88,-0.65,0,0,1
1.02,0.04,1.79,-1.63,0,0,1
0.04,0.01,-0.54,0.17,0,0,1
-0.55,2.17,-0.96,0.31,0,0,1
0.66,-0.74,1.38,-1.19,0,0,1
0.55,0.44,0.53,-1.27,0,0,1
1.79,-0.51,1.13,-2.49,0,0,1
0.44,-0.19,0.31,-1.16,0,0,1
0.39,1.27,-1.2,-0.92,0,0,1
1.43,-1.33,2.44,-0.99,0,0,1
0.56,-2.49,0.41,-0.82,0,0,1
-1.1,-1.44,-1.49,1.0,0,0,1
0.17,0.56,-0.77,-0.37,0,0,1
-1.27,-0.56,-1.6,0.5,0,0,1
-0.05,-1.2,-0.27,0.36,0,0,1
0.35,0.48,-0.16,-0.84,0,0,1
-0.7,-1.51,1.42,0.83,0,0,1
1.7,-2.48,1.18,-1.44,0,0,1
0.47,-1.22,-0.0,-0.13,0,0,1
2.33,-2.63,1.36,-2.45,0,0,1
-0.79,0.66,0.59,1.89,0,0,1
3.32,-0.66,3.07,-3.16,0,0,1
0.75,-0.79,0.47,-0.03,0,0,1
0.29,1.67,-0.64,-0.42,0,0,1
1.09,-1.11,1.64,-1.47,0,0,1
1.03,-0.79,-0.1,-1.15,0,0,1
0.41,-0.17,1.04,-0.31,0,0,1
0.46,-0.94,0.9,-0.51,0,0,1
1.57,0.65,-0.75,-0.89,1,0,1
-1.15,-0.68,0.64,0.31,1,0,1
-0.72,-1.38,0.93,0.42,1,0,1
-1.26,-0.19,0.59,-0.01,1,0,1
-5.71,-3.82,4.04,2.27,1,0,1
2.44,1.49,-1.82,-1.52,1,0,1
0.44,0.58,-1.03,-0.32,1,0,1
1.05,0.68,-1.65,-0.17,1,0,1
2.03,2.29,-4.91,0.26,1,0,1
2.17,2.07,-4.0,-0.05,1,0,1
-0.7,0.04,-2.46,1.43,1,0,1
1.25,0.54,0.93,-1.99,1,0,1
2.6,0.9,0.4,-2.57,1,0,1
-2.42,-2.41,1.17,1.32,1,0,1
-1.53,-2.31,2.76,-0.13,1,0,1
0.77,0.81,-1.14,-0.14,1,0,1
0.57,0.61,-0.45,-0.38,1,0,1
-0.0,-0.63,1.04,-0.66,1,0,1
0.34,0.43,0.84,-1.42,1,0,1
-1.57,-1.1,1.02,0.73,1,0,1
-0.48,-0.26,1.63,-0.89,1,0,1
2.02,0.05,1.44,-2.34,1,0,1
0.17,1.02,-1.27,0.27,1,0,1
1.01,0.49,0.48,-1.76,1,0,1
0.08,-0.04,-0.51,-0.02,1,0,1
-0.27,-0.41,0.49,-0.17,1,0,1
-3.05,-1.74,0.17,2.16,1,0,1
-1.74,-1.45,1.63,0.21,1,0,1
-0.88,-0.41,-1.41,1.36,1,0,1
-1.09,-0.86,0.59,0.08,1,0,1
-1.78,-0.69,-0.2,1.14,1,0,1
-0.83,-2.18,3.0,-0.35,1,0,1
-2.48,-1.14,-1.77,2.83,1,0,1
3.12,2.5,-1.57,-2.44,1,0,1
1.34,-0.11,-0.23,-1.16,1,0,1
1.49,1.44,-2.41,-0.52,1,0,1
0.11,-0.21,0.24,-0.51,1,0,1
0.86,1.23,-2.2,-0.37,1,0,1
-1.64,-0.79,1.42,0.1,1,0,1
0.33,-0.16,-0.13,-0.14,1,0,1
-0.38,-0.29,0.73,-0.41,1,0,1
0.6,0.82,0.79,-1.68,1,0,1
4.15,3.14,-2.92,-2.55,1,0,1
1.62,0.4,-2.71,-0.06,1,0,1
0.12,-0.47,0.46,-0.63,1,0,1
3.33,2.73,-1.62,-2.38,1,0,1
-0.77,-1.06,0.4,-0.02,1,0,1
3.07,1.9,-2.09,-1.95,1,0,1
-0.3,0.43,0.64,-0.8,1,0,1
1.64,1.16,-1.48,-1.09,1,0,1
0.18,0.08,1.06,-0.84,1,0,1
-0.17,-0.22,0.84,-0.7,1,0,1
1.9,0.47,-0.11,-1.6,1,0,1
-1.33,-0.85,1.31,0.27,1,0,1
0.55,0.51,-0.72,-0.49,1,0,1
-1.42,-0.57,-0.68,1.22,1,0,1
-2.48,-2.36,3.94,-0.26,1,0,1
-1.56,-1.07,0.6,0.58,1,0,1
0.28,-0.29,0.82,-0.9,1,0,1
-1.94,-0.63,-0.9,1.34,1,0,1
0.6,0.45,-0.87,-0.42,1,0,1
-0.65,-1.29,2.88,-1.02,1,0,1
-1.45,-1.26,0.51,0.66,1,0,1
-0.66,-0.12,-0.76,0.55,1,0,1
0.5,0.62,0.51,-1.07,1,0,1
-1.66,0.21,-0.47,0.67,1,0,1
-2.6,-1.91,0.13,1.86,1,0,1
-1.87,-0.28,-3.02,2.44,1,0,1
0.83,0.46,-0.76,-0.53,1,0,1
2.39,1.56,-2.21,-1.08,1,0,1
1.42,-0.81,0.51,0.6,2,0,0
1.24,1.39,-1.59,-1.22,2,0,0
0.93,-0.01,-0.74,0.13,2,0,0
-0.84,0.26,0.3,1.03,2,0,0
2.11,0.8,-0.31,0.4,2,0,0
-0.35,-1.47,-0.32,1.64,2,0,0
-1.21,-0.3,0.77,2.02,2,0,0
-1.96,-1.48,-1.38,1.38,2,0,0
-0.17,0.52,0.44,0.73,2,0,0
