@relation SyntheticData-N_600-D_4-Nmin_140-Zmin_16-CL_1_2-R_0
@attribute X0 real [-3.19, 3.08]
@attribute X1 real [-4.65, 4.96]
@attribute X2 real [-3.97, 3.76]
@attribute X3 real [-4.13, 3.22]
@attribute cluster_idx {0,1,2}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,cluster_idx,is_noise
@output Class
@data
-0.61,0.8,1.37,-0.37,0,0,1
0.09,-0.93,0.38,-0.02,0,0,1
1.35,-1.41,2.05,-0.45,0,0,1
-0.18,-1.26,-0.85,0.8,0,0,1
0.91,-0.47,1.4,-0.42,0,0,1
0.48,1.66,0.42,-0.52,0,0,1
-0.33,2.75,-1.04,-1.18,0,0,1
1.2,-0.22,2.33,-0.95,0,0,1
-0.68,1.17,-1.88,0.31,0,0,1
0.53,2.13,-0.91,-1.14,0,0,1
-1.47,0.26,-1.25,1.84,0,0,1
-0.57,0.05,0.0,0.56,0,0,1
0.35,0.45,-1.26,-0.92,0,0,1
0.78,-0.71,1.56,-0.31,0,0,1
-0.41,0.23,0.6,0.09,0,0,1
0.84,-1.39,1.64,0.28,0,0,1
-0.8,-0.91,-0.12,1.06,0,0,1
-0.34,-0.19,-0.52,-0.7,0,0,1
0.57,2.0,-0.11,-1.19,0,0,1
-0.63,2.47,-1.98,-0.67,0,0,1
-1.72,3.66,0.33,-0.89,0,1,0
-0.11,-2.88,1.56,1.11,0,0,1
-1.39,0.47,2.03,0.53,0,0,1
-1.88,1.53,-0.93,0.47,0,0,1
0.97,-0.47,0.11,-0.17,0,0,1
-1.98,0.47,0.45,0.85,0,0,1
-2.22,2.32,-1.43,0.37,0,0,1
-0.05,1.71,0.03,-0.5,0,0,1
0.4,1.43,0.29,-1.2,0,0,1
0.07,0.86,0.07,-1.12,0,0,1
0.99,-1.01,-0.38,0.24,0,0,1
-1.55,2.34,-2.4,0.16,0,0,1
-0.14,1.14,0.69,-1.08,0,0,1
-0.92,-1.33,-0.26,1.06,0,0,1
-0.37,1.75,-1.59,-0.3,0,0,1
0.94,0.2,-0.01,-1.15,0,0,1
-0.79,-1.03,1.6,0.66,0,0,1
0.39,0.6,-1.36,-0.81,0,0,1
-0.29,-0.96,1.11,0.0,0,0,1
1.18,-3.5,2.94,0.53,0,0,1
-0.49,-1.55,-1.58,0.78,0,1,0
0.81,-0.59,0.53,-0.19,0,0,1
1.25,-2.94,-0.26,-0.24,0,0,1
-1.74,2.28,-2.6,0.3,0,0,1
-0.49,0.07,0.21,-0.03,0,0,1
-0.59,0.15,0.04,0.3,0,1,0
0.8,-1.76,1.74,-0.12,0,0,1
-0.34,1.97,-2.01,-0.22,0,0,1
-0.96,1.53,-2.36,-0.24,0,0,1
-0.13,-0.4,0.46,-0.26,0,1,0
0.09,1.99,0.8,-1.01,0,0,1
-0.44,-0.98,1.96,0.57,0,0,1
-1.2,1.98,-2.83,0.14,0,0,1
-0.44,-0.31,1.28,0.32,0,0,1
-1.72,-0.6,1.84,1.32,0,1,0
0.06,0.98,1.28,-0.97,0,0,1
0.72,-3.22,1.76,1.11,0,0,1
-0.63,0.01,1.88,0.27,0,0,1
0.08,1.33,-1.11,-1.06,0,0,1
-0.92,0.51,-1.14,0.77,0,0,1
-0.23,2.13,0.52,-0.86,0,0,1
0.76,-1.4,0.91,-0.09,0,0,1
0.85,-1.6,1.18,0.56,0,0,1
-0.66,1.35,-0.24,0.16,0,0,1
-0.2,1.49,-0.34,-0.29,0,0,1
-0.32,-2.54,0.98,1.07,0,0,1
-0.14,1.88,-1.49,-0.22,0,0,1
-0.82,0.81,3.35,-0.28,0,0,1
-0.05,-1.36,-0.22,0.92,0,0,1
-0.88,4.25,-2.8,-0.32,0,0,1
-0.73,-2.42,3.29,1.39,0,1,0
0.29,0.6,-0.31,-0.41,0,0,1
-0.24,1.08,-0.82,-0.58,0,0,1
-0.74,2.49,-2.75,-0.11,0,0,1
-0.44,1.03,-1.36,0.09,0,0,1
1.48,-2.02,1.6,-0.07,0,0,1
-0.89,-1.81,-0.03,1.16,0,0,1
-1.16,0.84,-3.0,0.54,0,0,1
-0.33,1.82,-0.72,-0.07,0,0,1
-0.71,0.59,2.2,-0.91,0,0,1
1.62,-0.07,1.24,-1.74,0,0,1
-0.0,0.73,0.87,-0.79,0,0,1
0.95,-0.45,0.33,-0.11,0,0,1
1.59,-0.69,0.02,-0.88,0,0,1
-1.1,2.55,-2.34,-0.38,0,0,1
0.25,-1.4,1.34,0.44,0,0,1
-0.67,3.11,-1.58,-0.88,0,0,1
-1.3,1.2,-2.46,0.24,0,0,1
