@relation SyntheticData-N_600-D_8-Nmin_100-Zmin_0-CL_2_2-R_0
@attribute X0 real [-4.78, 5.32]
@attribute X1 real [-4.93, 5.34]
@attribute X2 real [-4.57, 5.44]
@attribute X3 real [-6.17, 3.63]
@attribute X4 real [-5.72, 5.01]
@attribute X5 real [-4.59, 4.41]
@attribute X6 real [-4.38, 4.33]
@attribute X7 real [-5.47, 5.01]
@attribute cluster_idx {0,1,2,3}
@attribute is_noise {0}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,cluster_idx,is_noise
@output Class
@data
-2.87,-1.1,-3.54,-1.11,-2.55,0.78,-1.99,0.34,0,0,1
0.21,1.3,1.11,-0.23,0.13,-0.4,0.42,0.25,0,0,1
0.01,-1.18,1.57,1.34,1.53,-2.03,-0.85,1.32,0,0,1
-2.04,-0.93,2.08,-0.61,0.8,-2.7,-1.69,2.24,0,0,1
-0.11,-1.5,-1.33,0.36,-0.23,0.96,-1.09,-0.27,0,0,1
0.03,0.05,0.16,-1.61,1.64,1.27,2.38,0.09,0,0,1
-1.85,1.18,-2.43,-0.78,-1.39,-1.34,0.01,1.62,0,0,1
-1.33,-0.26,0.53,0.49,-1.08,-2.0,-0.97,-1.25,0,0,1
-0.29,-0.81,1.85,-0.2,0.89,0.18,-1.25,1.18,0,0,1
1.23,0.81,-0.31,-0.34,0.65,-2.44,-0.83,1.98,0,0,1
-1.1,-0.83,-0.84,1.1,-0.84,2.48,-0.96,0.37,0,0,1
-1.43,-1.74,2.38,1.33,0.33,-2.02,-2.04,0.14,0,0,1
0.9,-1.32,3.93,1.09,0.44,1.36,-2.08,-1.92,0,0,1
3.18,1.17,2.11,1.9,0.07,3.64,1.51,-4.05,0,0,1
4.14,1.07,3.07,1.72,1.49,-0.78,0.36,-2.08,0,0,1
-0.53,1.58,-4.06,-0.86,1.07,-2.21,3.67,2.71,0,0,1
1.75,0.87,3.69,1.07,-1.44,1.49,-1.54,-4.36,0,0,1
0.55,-1.04,1.38,1.23,1.18,1.06,-0.64,0.66,0,0,1
-1.7,-0.36,1.13,-0.75,-0.75,1.92,-0.81,-0.39,0,0,1
-0.63,-0.07,2.0,-0.69,1.0,0.03,0.06,0.83,0,0,1
1.26,2.19,1.04,1.21,-0.28,-2.82,-0.29,0.47,0,0,1
1.3,1.04,0.39,-0.08,-0.74,-0.52,-0.57,-1.43,0,0,1
-1.62,0.54,0.6,0.93,-1.9,-0.78,-1.33,-0.77,0,0,1
-1.5,-1.87,0.54,0.46,-1.03,0.78,-2.18,-1.23,0,0,1
-1.34,-0.6,1.64,1.15,0.05,-0.91,-0.13,-0.66,0,0,1
1.61,0.28,-0.16,-0.45,0.62,0.43,-0.94,1.3,0,0,1
-2.68,1.54,-0.54,-3.84,-0.26,-3.15,0.27,2.7,0,0,1
-1.86,-0.73,-0.3,2.56,-1.21,0.08,-1.25,0.31,0,0,1
-1.42,-0.4,-0.77,0.09,0.71,0.18,0.47,2.29,0,0,1
-1.4,-3.26,0.87,-1.48,3.28,3.21,0.41,2.9,0,0,1
