@relation SyntheticData-N_600-D_8-Nmin_100-Zmin_16-CL_2_3-R_0
@attribute X0 real [-5.49, 5.54]
@attribute X1 real [-5.86, 4.97]
@attribute X2 real [-7.02, 5.48]
@attribute X3 real [-6.51, 5.10]
@attribute X4 real [-4.76, 5.36]
@attribute X5 real [-5.22, 5.11]
@attribute X6 real [-4.60, 4.23]
@attribute X7 real [-5.26, 5.06]
@attribute cluster_idx {0,1,2,3,4}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,cluster_idx,is_noise
@output Class
@data
0.76,-0.42,-2.94,-0.52,-2.63,1.69,1.44,0.09,0,0,1
-1.75,-0.64,-0.07,0.26,-0.08,-2.02,0.46,-1.4,0,0,1
-0.79,1.07,2.37,1.82,1.27,-1.15,-0.88,0.19,0,0,1
-0.39,-1.29,3.7,-0.37,0.5,-1.53,-1.11,1.22,0,0,1
1.8,-4.0,1.49,-0.8,1.14,0.48,-0.66,0.66,0,0,1
-1.39,0.82,2.11,0.95,2.33,-2.27,-1.98,-0.6,0,0,1
1.19,-4.01,1.16,-1.52,-0.26,-0.05,-0.63,0.75,0,0,1
0.23,-1.76,-0.09,0.17,-0.92,-0.52,-0.27,-0.23,0,0,1
-0.13,1.82,0.65,-0.15,-0.67,-1.69,-0.45,-0.23,0,0,1
2.48,-0.82,-2.06,-1.28,-1.99,2.61,-0.0,0.78,0,0,1
0.74,-3.98,0.63,-1.95,-1.12,1.37,1.18,1.1,0,0,1
1.41,-1.28,-2.11,-0.55,-1.87,4.68,3.0,1.98,0,0,1
-2.85,0.78,2.27,0.14,1.47,-2.22,0.38,-0.41,0,0,1
-0.74,1.21,-0.08,0.25,0.91,0.38,0.02,0.01,0,1,0
0.18,1.08,-2.13,-0.08,-0.97,0.6,0.53,-0.55,0,0,1
-0.72,0.01,0.03,0.84,0.35,-0.65,-0.45,-0.52,0,1,0
1.28,1.0,-2.26,-1.51,-2.35,1.87,0.42,0.25,0,0,1
3.81,0.5,-0.67,0.18,-0.17,2.68,0.34,0.55,0,0,1
-1.58,-0.52,4.11,0.03,1.01,-2.72,0.69,0.38,0,0,1
0.32,2.34,2.04,-0.33,1.27,-1.43,-1.27,-0.15,0,0,1
-0.26,0.4,0.7,-0.31,0.35,1.01,1.28,0.76,0,0,1
-2.85,4.92,1.81,3.78,4.32,-2.43,-1.47,-1.76,0,0,1
0.81,2.9,-1.21,-1.74,-1.49,2.81,2.17,0.8,0,0,1
-1.27,0.76,4.07,-0.27,1.37,-2.31,-0.56,0.19,0,0,1
0.83,1.5,0.27,1.19,0.32,-0.8,-0.91,-0.4,0,0,1
0.26,0.54,2.14,1.64,2.13,-0.81,-2.73,0.45,0,0,1
0.89,2.71,-3.43,-0.57,-3.51,0.41,0.35,-0.72,0,0,1
1.28,3.76,-1.02,0.47,-0.06,0.12,-1.45,-0.35,0,0,1
2.09,1.34,-3.82,-0.12,-0.55,2.33,-1.93,0.31,0,0,1
0.21,0.91,-1.01,-1.29,-1.33,1.33,0.65,0.38,0,0,1
-1.31,-1.3,-3.8,1.56,-1.37,-0.8,-1.6,-1.2,0,0,1
-0.65,-0.25,-0.22,0.52,-0.1,0.73,1.63,0.14,0,0,1
-2.61,-2.23,1.43,-0.22,0.37,-2.44,0.91,-0.39,0,0,1
0.49,-0.47,-0.86,-0.9,-1.42,1.89,1.37,1.28,0,0,1
-1.31,0.49,0.17,0.14,0.96,-0.84,-0.12,-0.4,0,0,1
-0.07,-0.29,-1.08,-1.44,-0.74,1.65,0.83,0.93,0,0,1
-0.3,1.09,-0.29,0.25,-0.25,0.73,0.59,0.08,0,0,1
-0.35,0.75,2.55,0.66,0.82,-0.9,-0.09,0.44,0,0,1
2.36,-1.39,-0.2,-2.16,-0.96,2.66,-0.39,1.77,0,0,1
2.8,-0.67,-3.35,-0.53,-1.11,2.43,-1.01,0.13,0,0,1
-0.54,-0.48,-1.19,0.67,-0.21,-0.54,-1.04,-0.18,0,0,1
-0.36,2.09,-0.26,0.5,0.71,-1.05,-1.96,-0.42,0,0,1
-0.49,-2.16,0.4,0.47,1.06,-1.24,-0.68,-0.8,0,0,1
0.9,1.71,-1.95,-1.36,-1.08,2.32,-0.49,0.79,0,0,1
-0.71,-0.78,-1.83,-0.49,-1.84,0.07,1.5,-0.7,0,0,1
-2.28,2.18,0.26,-0.17,-2.28,-1.74,1.84,-0.07,0,0,1
1.69,-1.14,-2.48,-1.76,-1.39,1.88,-0.14,0.09,0,1,0
-1.76,0.4,0.32,0.3,-0.65,-2.31,-0.08,-0.56,0,0,1
1.07,0.03,-0.3,-1.26,-0.21,1.67,0.4,0.88,0,0,1
0.11,-3.14,0.1,-0.45,-0.72,-0.82,0.2,-0.16,0,0,1
1.09,-0.64,-1.6,0.89,-0.36,-1.96,2.08,2.08,1,0,1
-0.73,1.82,-2.18,3.12,0.89,0.36,3.42,-0.91,1,0,1
1.63,1.7,-2.44,2.31,-1.79,-1.57,0.83,2.03,1,0,1
0.99,0.11,0.09,-0.09,-0.01,-0.53,-2.56,-3.24,1,0,1
0.49,-0.81,2.29,-0.84,1.36,1.42,0.51,-2.11,1,0,1
0.02,-0.41,0.77,1.33,1.22,1.59,1.04,-0.03,1,0,1
0.52,-0.57,-1.34,0.65,0.05,2.1,0.06,1.25,1,0,1
-0.37,-1.98,1.76,0.54,2.33,1.78,0.27,-1.58,1,0,1
2.84,-1.77,-0.49,1.44,2.76,-2.07,2.32,-2.27,1,0,1
3.28,1.82,-0.99,0.8,-1.83,-3.29,0.91,1.15,1,0,1
0.79,1.67,-1.29,1.61,-1.54,-1.71,-1.25,-0.16,1,0,1
1.18,1.76,-0.89,1.6,-0.67,-2.08,2.49,0.94,1,0,1
-0.29,2.17,-0.91,0.37,-2.34,-0.16,0.52,2.1,1,0,1
0.72,-1.54,0.81,-2.9,-0.98,-1.91,0.56,0.71,1,0,1
1.23,-1.08,0.69,1.91,1.51,-0.74,-0.11,-2.35,1,0,1
0.55,-0.98,0.97,-0.41,0.79,1.02,0.96,-0.27,1,0,1
0.08,-2.64,0.12,-3.58,-1.73,1.07,-2.73,1.91,1,0,1
-0.5,1.12,-1.88,2.22,0.44,-0.84,1.7,-0.76,1,0,1
-0.06,-1.72,-0.21,-0.38,1.69,2.79,-1.41,-1.98,1,1,0
1.28,-0.45,-1.0,0.03,-1.5,0.18,-1.86,1.78,1,0,1
0.34,0.28,-0.59,0.95,0.22,-0.6,-0.06,0.82,1,0,1
-1.83,0.75,0.28,-0.7,0.6,2.27,2.78,-1.89,1,0,1
1.39,-1.2,0.62,-2.36,-1.26,1.18,-2.32,1.64,1,0,1
1.21,1.69,-2.03,1.66,-3.02,-0.26,-0.92,4.06,1,0,1
1.44,0.1,0.1,-0.95,-1.83,-2.13,-1.4,0.79,1,0,1
0.57,-0.29,-0.76,0.64,0.34,-0.95,1.63,-0.55,1,0,1
0.19,-0.15,0.58,-1.0,-0.88,-1.06,-1.23,0.11,1,0,1
-0.76,-1.52,0.07,-1.31,0.29,-1.21,0.75,-0.61,1,0,1
0.48,-2.45,0.68,-2.29,-0.39,-0.07,-0.88,1.55,1,0,1
2.44,-1.29,0.27,-0.13,-0.24,-0.13,-2.71,0.63,1,0,1
-1.8,1.57,1.14,-2.01,-2.68,1.51,-2.56,-1.53,1,0,1
-1.1,-0.54,1.13,-0.68,1.6,0.56,0.87,-2.76,1,0,1
-0.54,-0.75,-2.18,0.78,-0.2,0.71,1.66,2.86,1,0,1
2.47,-1.31,-0.33,0.85,1.07,-3.88,2.17,0.42,1,0,1
1.73,-1.54,-0.01,0.2,0.65,-1.4,-1.77,-1.12,1,0,1
2.42,-1.82,0.2,-1.58,-0.49,-4.0,-1.87,-1.53,1,0,1
-0.77,-0.5,-0.06,-0.33,0.68,0.63,1.74,-0.25,1,0,1
-2.11,1.27,1.22,-0.58,0.24,2.78,0.42,-2.78,1,1,0
-0.25,-0.56,0.49,-1.6,-1.09,0.32,-0.97,0.4,1,0,1
0.19,-1.1,1.85,-1.79,0.04,-1.21,-0.04,-0.65,1,0,1
