@relation SyntheticData-N_600-D_8-Nmin_140-Zmin_0-CL_1_1-R_0
@attribute X0 real [-4.69, 4.48]
@attribute X1 real [-5.15, 5.39]
@attribute X2 real [-5.17, 4.91]
@attribute X3 real [-4.60, 5.42]
@attribute X4 real [-4.84, 4.43]
@attribute X5 real [-5.34, 5.10]
@attribute X6 real [-5.88, 6.16]
@attribute X7 real [-4.97, 4.02]
@attribute cluster_idx {0,1}
@attribute is_noise {0}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,cluster_idx,is_noise
@output Class
@data
-1.13,-1.37,0.99,-0.44,-1.88,-1.81,-1.1,-0.87,0,0,1
0.83,-0.52,-1.96,-2.02,-2.33,-0.4,-2.41,-1.92,0,0,1
-3.78,-0.29,-0.13,1.98,0.12,-1.76,-1.13,2.36,0,0,1
-0.28,0.97,1.37,0.41,0.56,0.75,1.43,1.08,0,0,1
-1.11,0.18,0.67,-0.12,0.72,0.17,0.09,0.78,0,0,1
1.12,0.69,-0.55,0.46,4.14,2.15,0.3,2.45,0,0,1
-0.56,-0.06,-0.22,-1.92,-2.58,-0.51,-1.43,-1.87,0,0,1
-1.11,2.87,0.38,-1.69,-4.38,-0.73,1.26,0.18,0,0,1
-2.68,2.23,-0.27,1.18,-2.64,-0.18,0.46,1.62,0,0,1
0.61,-0.94,-0.49,-3.15,-2.44,-0.87,-1.66,-2.77,0,0,1
-0.68,-0.5,-0.38,-1.18,0.52,0.07,-1.72,-0.96,0,0,1
0.33,-1.56,-2.15,-1.11,-1.18,-0.7,-3.28,-1.1,0,0,1
-0.33,-1.31,2.44,0.06,0.17,-1.61,-0.48,-2.38,0,0,1
-0.27,0.21,-0.36,-0.83,-1.0,-0.11,-0.55,1.1,0,0,1
3.49,1.6,-0.9,-4.6,-0.97,0.96,0.25,-1.89,0,0,1
-0.19,-0.43,-1.71,-2.11,-1.92,0.23,-2.06,-0.46,0,0,1
-1.49,-1.34,-0.85,0.1,-1.57,-0.84,-2.39,-1.23,0,0,1
0.73,1.07,-0.17,-0.34,1.37,1.26,0.51,1.27,0,0,1
-1.23,1.28,-2.44,-0.84,-2.5,0.93,-1.05,1.69,0,0,1
1.37,1.17,-3.32,-2.12,1.27,1.79,-1.33,2.45,0,0,1
-0.15,0.04,2.07,1.98,0.21,-0.07,1.2,0.29,0,0,1
-1.42,-0.38,0.93,0.08,-1.54,-0.99,-0.09,0.35,0,0,1
0.83,1.85,0.65,-0.54,0.33,1.41,1.26,-0.23,0,0,1
1.64,0.65,2.21,0.8,2.0,1.39,2.39,1.27,0,0,1
-0.72,2.48,-1.43,-1.73,-2.33,-1.28,0.02,1.45,0,0,1
-1.19,3.74,0.7,-0.52,0.24,-0.97,2.48,2.75,0,0,1
2.33,2.23,-2.22,-3.12,-0.23,2.7,-0.27,0.06,0,0,1
3.58,-0.58,-2.41,-2.33,1.85,2.58,-2.06,0.75,0,0,1
0.33,2.1,-0.01,-1.47,2.51,1.89,1.54,2.61,0,0,1
0.23,0.56,-0.53,0.5,1.64,0.36,-0.07,1.89,0,0,1
1.96,2.63,1.53,-1.0,1.83,2.94,3.13,0.74,0,0,1
1.02,-1.45,0.04,-0.38,0.94,-0.36,-1.21,-0.78,0,0,1
-0.91,-0.86,-1.43,-0.88,-0.73,-1.91,-2.38,0.5,0,0,1
0.1,-0.65,0.36,0.45,1.05,-0.4,-0.45,-0.31,0,0,1
0.1,-0.06,0.64,-0.49,1.48,-0.49,-0.1,-0.69,0,0,1
-0.33,-2.33,0.81,0.72,1.23,-0.96,-1.55,-0.42,0,0,1
2.03,-0.74,-0.89,-0.92,2.7,1.3,-1.05,1.3,0,0,1
-0.88,0.77,-1.19,-0.86,1.03,-0.86,-1.0,1.22,0,0,1
1.54,0.12,1.17,-0.18,1.19,-0.41,0.77,-0.68,0,0,1
1.21,-0.21,0.96,0.36,2.39,1.7,0.38,-0.36,0,0,1
0.94,-1.49,-1.12,-2.17,-2.02,0.24,-2.73,-3.29,0,0,1
1.45,2.9,-0.51,-0.41,0.99,1.93,2.19,2.96,0,0,1
2.73,-3.27,3.05,0.78,3.52,-1.39,-0.62,-3.23,0,0,1
3.28,2.52,-3.7,-4.29,-3.07,2.07,-0.61,0.54,0,0,1
-0.47,-4.22,0.71,-0.91,-1.13,-2.84,-3.84,-4.97,0,0,1
0.79,0.67,-1.21,-2.45,-2.02,0.86,-1.05,-1.11,0,0,1
-2.63,-1.67,1.97,4.39,3.01,-0.11,0.26,2.84,0,0,1
-0.32,0.45,-1.79,-2.13,-2.56,-1.09,-1.43,-0.61,0,0,1
0.65,-0.37,2.98,-0.04,-0.5,-0.48,1.39,-0.57,0,0,1
1.84,2.37,0.61,-1.88,1.77,1.16,1.84,1.13,0,0,1
-1.82,2.7,0.92,-1.49,-1.87,0.06,2.09,1.65,0,0,1
