@relation SyntheticData-N_600-D_8-Nmin_60-Zmin_16-CL_1_3-R_0
@attribute X0 real [-5.57, 4.30]
@attribute X1 real [-4.65, 4.91]
@attribute X2 real [-4.57, 5.12]
@attribute X3 real [-3.78, 4.37]
@attribute X4 real [-4.79, 4.64]
@attribute X5 real [-6.12, 5.87]
@attribute X6 real [-4.52, 6.57]
@attribute X7 real [-5.05, 4.39]
@attribute cluster_idx {0,1,2,3}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,cluster_idx,is_noise
@output Class
@data
1.18,-1.9,2.08,-1.06,-2.43,0.25,-0.75,0.65,0,0,1
1.0,0.4,-3.08,-1.24,0.48,-1.22,2.14,2.56,0,0,1
-3.33,2.45,-1.99,2.15,2.62,-0.29,-0.4,-1.61,0,0,1
0.6,-2.44,-0.59,2.32,1.13,-2.47,-2.37,-1.14,0,0,1
-1.29,2.33,-2.84,1.58,1.58,0.31,1.23,0.42,0,0,1
-2.71,1.58,0.17,1.18,-0.84,1.51,1.67,-1.58,0,0,1
-0.62,-1.06,-1.9,-0.49,1.52,-0.19,-1.34,-0.7,0,0,1
-0.63,0.94,2.07,-0.14,0.37,3.09,-4.49,0.2,0,0,1
0.64,-0.57,-1.49,-1.7,0.01,2.13,-0.04,0.47,0,0,1
-2.25,1.72,-2.81,1.0,0.83,-0.93,2.13,-0.01,0,0,1
1.53,-0.94,0.72,-1.23,-1.78,-0.06,-0.62,2.36,0,0,1
0.59,0.03,2.43,2.21,-2.11,-2.18,-0.68,1.77,0,0,1
2.07,0.8,2.01,-0.57,0.06,1.34,-2.47,2.16,0,0,1
0.83,-0.71,0.39,-0.04,0.42,-1.2,-1.1,0.37,0,0,1
-0.09,-0.65,-0.49,-0.5,1.64,0.6,-0.21,-2.23,0,0,1
2.08,0.07,0.83,-1.44,-1.52,0.15,1.64,2.2,0,0,1
2.67,-1.1,0.42,0.38,-1.12,-1.65,-1.64,3.16,0,0,1
-0.71,-0.99,-0.18,0.86,-0.03,-0.8,-2.12,-0.23,0,0,1
0.04,-0.59,1.31,0.84,-0.03,-1.04,-0.28,-0.94,0,0,1
2.42,-2.34,0.14,-0.71,-1.07,-1.6,0.72,1.02,0,0,1
1.25,-2.15,-0.68,-0.93,1.26,-0.88,-2.12,-0.05,0,0,1
0.78,-1.78,-0.33,-3.78,-1.26,2.69,3.64,-2.04,0,0,1
-2.81,1.05,-1.56,-0.08,2.24,1.26,-0.31,-2.65,0,0,1
3.53,-2.55,2.95,-1.67,-3.41,0.17,-0.02,1.75,0,0,1
