@relation SyntheticData-N_600-D_8-Nmin_60-Zmin_32-CL_1_2-R_0
@attribute X0 real [-4.84, 4.55]
@attribute X1 real [-4.60, 4.58]
@attribute X2 real [-5.76, 4.45]
@attribute X3 real [-5.62, 5.69]
@attribute X4 real [-4.83, 6.15]
@attribute X5 real [-5.33, 3.61]
@attribute X6 real [-5.89, 4.96]
@attribute X7 real [-6.47, 5.18]
@attribute cluster_idx {0,1,2}
@attribute is_noise {0,1}
@attribute Class {0,1}
@inputs X0,X1,X2,X3,X4,X5,X6,X7,cluster_idx,is_noise
@output Class
@data
0.9,2.99,-2.9,-0.14,-0.1,-1.4,-0.38,0.1,0,0,1
1.3,-0.09,-0.3,0.41,-1.47,1.61,-0.62,0.32,0,0,1
-1.02,-1.57,1.8,-0.25,-1.88,-1.05,1.92,1.03,0,0,1
1.0,-0.62,-0.08,1.55,-1.01,-0.19,0.57,-0.4,0,0,1
-1.61,-0.25,1.14,1.09,-0.34,1.44,1.06,-0.02,0,0,1
-1.0,1.14,0.32,0.81,-0.63,0.31,1.55,0.51,0,1,0
-0.92,1.19,2.11,2.37,1.0,-0.43,1.25,0.28,0,0,1
1.04,-0.25,3.05,1.42,1.31,2.87,3.02,-0.06,0,0,1
1.81,0.28,-0.63,0.65,-3.54,-2.58,0.41,1.46,0,0,1
2.33,1.04,0.11,0.4,-0.69,-0.22,0.18,1.59,0,0,1
1.58,-2.68,-0.19,-2.33,-0.33,-0.25,-2.28,-0.79,0,0,1
-0.59,-2.36,-0.74,0.79,-3.47,-2.38,-1.38,-0.22,0,0,1
-0.4,0.66,-1.18,-1.96,1.0,0.2,0.3,-0.21,0,0,1
-0.79,-1.22,-1.76,-3.38,1.91,0.65,-1.72,-2.22,0,0,1
0.24,0.58,-0.61,-1.3,1.06,2.15,-0.33,-0.84,0,0,1
-0.48,-2.23,0.64,-2.06,-0.68,0.4,-0.8,-0.19,0,0,1
-1.17,1.39,0.24,1.52,1.56,0.89,0.64,-1.3,0,0,1
1.81,-0.84,-0.51,-2.19,1.71,1.83,0.2,-1.09,0,0,1
-2.12,3.17,-2.21,0.57,-1.97,-4.29,-0.68,1.96,0,0,1
-1.73,-1.92,2.63,1.39,0.67,1.48,0.47,-0.6,0,0,1
1.18,-0.62,-2.67,-2.78,-1.78,-2.29,-2.1,0.6,0,0,1
3.32,1.56,-3.6,-1.16,2.13,-0.16,-0.86,-2.42,0,0,1
-2.01,1.88,-1.16,1.61,-1.65,-2.89,-0.28,1.07,0,0,1
-2.97,-2.48,1.9,0.34,-0.76,-0.73,-0.93,0.24,0,0,1
-0.04,0.54,1.23,2.56,-1.14,0.53,1.64,0.78,0,0,1
-0.77,0.55,-1.29,0.11,0.68,-2.29,-0.16,-1.24,0,0,1
1.96,-1.13,0.15,-2.68,1.92,2.98,-0.14,-1.29,0,0,1
2.11,-1.23,0.46,-1.51,2.12,3.36,-0.74,-1.36,0,0,1
1.11,0.53,-1.25,0.2,-1.32,0.53,-0.61,-0.37,0,0,1
-1.7,1.55,-4.88,-2.38,-0.54,-3.8,-1.73,-1.02,0,0,1
-2.07,1.48,0.22,0.42,-0.75,-0.48,0.16,1.28,0,0,1
-1.63,0.24,-0.19,-1.85,0.55,1.18,-1.98,-0.11,0,0,1
0.77,-4.08,3.4,-2.66,3.14,3.5,-1.29,-1.57,0,0,1
0.33,1.2,-0.98,0.21,1.79,2.09,0.46,-1.98,0,0,1
0.31,-2.33,-0.46,-2.96,1.58,-0.11,-0.06,-1.53,0,0,1
2.39,4.26,-3.91,0.62,-0.41,-0.44,1.46,0.07,0,0,1
1.15,1.34,-1.57,1.54,-1.56,-2.88,0.87,0.55,0,0,1
-1.26,-2.13,2.39,-2.37,2.92,3.61,-0.19,-0.99,0,0,1
-2.06,-1.64,2.22,1.39,-0.58,-2.16,-0.36,0.6,0,0,1
1.67,1.82,-1.98,-0.29,0.75,-0.65,-0.99,-0.71,0,0,1
2.1,0.75,-1.77,-0.78,-1.79,-0.02,-0.05,0.68,0,0,1
-1.46,2.31,-1.25,1.76,1.55,-1.53,0.28,-1.22,0,0,1
-2.92,0.54,-2.19,-0.61,-1.32,-2.78,-2.95,0.5,0,0,1
-0.31,0.86,-0.64,0.5,0.05,-0.89,0.52,-0.4,0,0,1
-2.6,0.46,2.6,2.27,0.82,-0.53,2.26,0.6,0,0,1
2.39,0.5,-2.17,-0.43,-1.62,0.76,-0.84,0.17,0,0,1
-0.44,-0.86,0.55,-0.16,-0.41,0.66,-0.42,-0.03,0,0,1
-2.01,-2.44,2.89,0.71,-1.11,-2.0,1.04,0.61,0,0,1
-1.94,-0.18,-1.05,-0.38,-0.28,-0.4,-2.42,-0.94,0,0,1
-3.43,1.27,0.92,1.87,1.54,0.2,-0.09,-0.38,0,0,1
-2.05,-0.36,1.27,-0.89,1.02,1.13,0.31,-0.01,0,0,1
-0.86,3.35,-1.67,0.9,-0.55,0.65,0.61,0.11,0,0,1
1.52,1.06,-0.74,1.15,0.51,2.06,-0.09,-0.32,0,0,1
-1.82,1.87,-0.24,0.16,4.39,0.24,-0.95,-2.14,0,0,1
3.5,-1.5,-2.8,-2.29,-1.88,-2.3,-1.66,-0.33,0,0,1
0.6,1.82,-2.2,0.96,-1.05,1.6,0.71,-0.94,0,1,0
-2.05,1.64,-1.46,-0.1,0.91,-0.08,0.28,-0.91,0,0,1
0.05,2.25,-0.88,0.39,0.04,0.32,0.26,-0.01,0,0,1
0.88,3.26,-1.98,0.53,1.83,0.16,-0.43,-0.25,0,0,1
-0.58,-0.75,0.9,-0.19,0.54,1.22,-0.06,-0.7,0,0,1
0.67,-0.73,1.17,-1.36,-0.01,0.83,-0.05,1.98,1,0,0
1.18,-1.23,2.85,1.3,-0.17,-2.83,-2.27,0.13,1,0,0
1.44,-1.95,1.73,-0.09,0.56,-1.18,-1.75,1.05,1,0,0
0.34,-0.58,0.1,1.26,2.61,0.44,1.1,2.04,1,0,0
-0.12,-1.46,1.58,-1.83,-0.53,1.17,-0.04,2.33,1,0,0
1.47,-0.08,-0.36,-2.2,0.15,0.32,0.84,0.58,1,0,0
1.7,-1.66,1.54,-0.57,1.65,0.43,-0.97,3.1,1,0,0
1.98,-1.08,1.98,1.22,3.12,-0.64,1.14,4.95,1,0,0
1.31,-0.7,-0.37,-0.46,0.43,0.2,0.43,0.48,1,0,0
-1.96,0.61,-1.12,-0.76,-2.48,0.1,0.77,-2.81,1,0,0
-2.66,-0.18,-0.42,0.34,-0.98,1.31,-0.06,-1.46,1,0,0
0.5,-2.32,1.51,2.87,2.82,-0.54,1.41,3.06,1,0,0
-2.97,1.21,-2.81,-0.94,-2.25,1.08,1.02,-4.91,1,0,0
-0.71,2.4,-2.6,-0.14,-0.68,1.11,0.82,-2.24,1,0,0
-1.89,1.28,-1.08,-0.16,-1.7,0.73,0.45,-1.87,1,0,0
-0.95,2.23,-0.23,-0.58,-0.27,0.22,-0.13,-0.36,1,0,0
0.8,0.31,0.55,-0.32,-1.0,-0.51,-1.6,-0.69,1,0,0
-1.63,-0.4,-1.29,0.16,-0.2,0.62,0.98,-1.99,1,0,0
-0.78,1.02,-2.38,-1.21,-1.09,0.92,0.56,-2.89,1,0,0
-0.8,-0.03,-1.02,-2.04,-1.46,2.06,0.76,-0.53,1,0,0
-0.34,-0.62,0.93,1.09,0.78,-0.52,0.76,0.58,1,0,0
0.05,2.1,0.16,-1.38,-0.58,0.91,0.76,2.0,1,0,0
